Geographic Area,Total—HOUSEHOLDS—Average household size—Estimate,HH size
"Abbeville County, South Carolina",2.43,2.43
"Acadia Parish, Louisiana",2.65,2.65
"Accomack County, Virginia",2.26,2.26
"Ada County, Idaho",2.54,2.54
"Adair County, Iowa",2.27,2.27
"Adair County, Kentucky",2.59,2.59
"Adair County, Missouri",2.58,2.58
"Adair County, Oklahoma",2.84,2.84
"Adams County, Colorado",2.85,2.85
"Adams County, Idaho",2.6,2.6
"Adams County, Illinois",2.33,2.33
"Adams County, Indiana",2.85,2.85
"Adams County, Iowa",2.34,2.34
"Adams County, Mississippi",2.36,2.36
"Adams County, Nebraska",2.35,2.35
"Adams County, North Dakota",2.11,2.11
"Adams County, Ohio",2.67,2.67
"Adams County, Pennsylvania",2.51,2.51
"Adams County, Washington",3.21,3.21
"Adams County, Wisconsin",2.16,2.16
"Addison County, Vermont",2.38,2.38
"Adjuntas Municipio, Puerto Rico",3.19,3.19
"Aguada Municipio, Puerto Rico",2.93,2.93
"Aguadilla Municipio, Puerto Rico",2.48,2.48
"Aguas Buenas Municipio, Puerto Rico",2.7,2.7
"Aibonito Municipio, Puerto Rico",2.73,2.73
"Aiken County, South Carolina",2.46,2.46
"Aitkin County, Minnesota",2.3,2.3
"Alachua County, Florida",2.41,2.41
"Alamance County, North Carolina",2.48,2.48
"Alameda County, California",2.78,2.78
"Alamosa County, Colorado",2.39,2.39
"Albany County, New York",2.25,2.25
"Albany County, Wyoming",2.15,2.15
"Albemarle County, Virginia",2.36,2.36
"Alcona County, Michigan",2.09,2.09
"Alcorn County, Mississippi",2.43,2.43
"Aleutians East Borough, Alaska",2.41,2.41
"Aleutians West Census Area, Alaska",3.82,3.82
"Alexander County, Illinois",2.97,2.97
"Alexander County, North Carolina",2.56,2.56
"Alexandria city, Virginia",2.09,2.09
"Alfalfa County, Oklahoma",2.48,2.48
"Alger County, Michigan",2.39,2.39
"Allamakee County, Iowa",2.31,2.31
"Allegan County, Michigan",2.67,2.67
"Allegany County, Maryland",2.22,2.22
"Allegany County, New York",2.53,2.53
"Alleghany County, North Carolina",2.19,2.19
"Alleghany County, Virginia",2.34,2.34
"Allegheny County, Pennsylvania",2.22,2.22
"Allen County, Indiana",2.5,2.5
"Allen County, Kansas",2.43,2.43
"Allen County, Kentucky",2.63,2.63
"Allen County, Ohio",2.42,2.42
"Allen Parish, Louisiana",2.52,2.52
"Allendale County, South Carolina",2.21,2.21
"Alpena County, Michigan",2.23,2.23
"Alpine County, California",3.32,3.32
"Amador County, California",2.38,2.38
"Amelia County, Virginia",2.51,2.51
"Amherst County, Virginia",2.41,2.41
"Amite County, Mississippi",2.15,2.15
"Añasco Municipio, Puerto Rico",2.89,2.89
"Anchorage Municipality, Alaska",2.64,2.64
"Anderson County, Kansas",2.43,2.43
"Anderson County, Kentucky",2.59,2.59
"Anderson County, South Carolina",2.51,2.51
"Anderson County, Tennessee",2.43,2.43
"Anderson County, Texas",2.69,2.69
"Andrew County, Missouri",2.61,2.61
"Andrews County, Texas",2.76,2.76
"Androscoggin County, Maine",2.36,2.36
"Angelina County, Texas",2.64,2.64
"Anne Arundel County, Maryland",2.61,2.61
"Anoka County, Minnesota",2.68,2.68
"Anson County, North Carolina",2.45,2.45
"Antelope County, Nebraska",2.4,2.4
"Antrim County, Michigan",2.18,2.18
"Apache County, Arizona",3.26,3.26
"Appanoose County, Iowa",2.41,2.41
"Appling County, Georgia",2.61,2.61
"Appomattox County, Virginia",2.47,2.47
"Aransas County, Texas",2.08,2.08
"Arapahoe County, Colorado",2.59,2.59
"Archer County, Texas",2.55,2.55
"Archuleta County, Colorado",2.32,2.32
"Arecibo Municipio, Puerto Rico",2.73,2.73
"Arenac County, Michigan",2.34,2.34
"Arkansas County, Arkansas",2.56,2.56
"Arlington County, Virginia",2.1,2.1
"Armstrong County, Pennsylvania",2.33,2.33
"Armstrong County, Texas",2.56,2.56
"Aroostook County, Maine",2.23,2.23
"Arroyo Municipio, Puerto Rico",2.52,2.52
"Arthur County, Nebraska",2.72,2.72
"Ascension Parish, Louisiana",2.74,2.74
"Ashe County, North Carolina",2.23,2.23
"Ashland County, Ohio",2.48,2.48
"Ashland County, Wisconsin",2.25,2.25
"Ashley County, Arkansas",2.62,2.62
"Ashtabula County, Ohio",2.45,2.45
"Asotin County, Washington",2.33,2.33
"Assumption Parish, Louisiana",2.5,2.5
"Atascosa County, Texas",3.07,3.07
"Atchison County, Kansas",2.49,2.49
"Atchison County, Missouri",2.2,2.2
"Athens County, Ohio",2.36,2.36
"Atkinson County, Georgia",2.69,2.69
"Atlantic County, New Jersey",2.52,2.52
"Atoka County, Oklahoma",2.64,2.64
"Attala County, Mississippi",2.77,2.77
"Audrain County, Missouri",2.62,2.62
"Audubon County, Iowa",2.18,2.18
"Auglaize County, Ohio",2.43,2.43
"Augusta County, Virginia",2.46,2.46
"Aurora County, South Dakota",2.36,2.36
"Austin County, Texas",2.53,2.53
"Autauga County, Alabama",2.61,2.61
"Avery County, North Carolina",2.26,2.26
"Avoyelles Parish, Louisiana",2.49,2.49
"Baca County, Colorado",2.15,2.15
"Bacon County, Georgia",2.7,2.7
"Bailey County, Texas",3.48,3.48
"Baker County, Florida",2.78,2.78
"Baker County, Georgia",2.6,2.6
"Baker County, Oregon",2.3,2.3
"Baldwin County, Alabama",2.53,2.53
"Baldwin County, Georgia",2.44,2.44
"Ballard County, Kentucky",2.58,2.58
"Baltimore city, Maryland",2.28,2.28
"Baltimore County, Maryland",2.53,2.53
"Bamberg County, South Carolina",2.64,2.64
"Bandera County, Texas",2.43,2.43
"Banks County, Georgia",2.76,2.76
"Banner County, Nebraska",2.69,2.69
"Bannock County, Idaho",2.57,2.57
"Baraga County, Michigan",2.22,2.22
"Barber County, Kansas",2.27,2.27
"Barbour County, Alabama",2.43,2.43
"Barbour County, West Virginia",2.58,2.58
"Barceloneta Municipio, Puerto Rico",2.74,2.74
"Barnes County, North Dakota",2.09,2.09
"Barnstable County, Massachusetts",2.27,2.27
"Barnwell County, South Carolina",2.43,2.43
"Barranquitas Municipio, Puerto Rico",3.15,3.15
"Barren County, Kentucky",2.49,2.49
"Barron County, Wisconsin",2.39,2.39
"Barrow County, Georgia",2.92,2.92
"Barry County, Michigan",2.55,2.55
"Barry County, Missouri",2.57,2.57
"Bartholomew County, Indiana",2.48,2.48
"Barton County, Kansas",2.48,2.48
"Barton County, Missouri",2.58,2.58
"Bartow County, Georgia",2.82,2.82
"Bastrop County, Texas",2.89,2.89
"Bates County, Missouri",2.66,2.66
"Bath County, Kentucky",2.61,2.61
"Bath County, Virginia",2.09,2.09
