Geographic Area,Percent—Total population—AGE—Under 5 years—Estimate,Under 5 yrs
"Abbeville County, South Carolina",4.80%,4.8
"Acadia Parish, Louisiana",6.70%,6.7
"Accomack County, Virginia",5.30%,5.3
"Ada County, Idaho",5.30%,5.3
"Adair County, Iowa",6.10%,6.1
"Adair County, Kentucky",5%,5
"Adair County, Missouri",5.50%,5.5
"Adair County, Oklahoma",7%,7
"Adams County, Colorado",6.60%,6.6
"Adams County, Idaho",3.60%,3.6
"Adams County, Illinois",6%,6
"Adams County, Indiana",8.90%,8.9
"Adams County, Iowa",5.40%,5.4
"Adams County, Mississippi",6.30%,6.3
"Adams County, Nebraska",6.40%,6.4
"Adams County, North Dakota",6.50%,6.5
"Adams County, Ohio",5.90%,5.9
"Adams County, Pennsylvania",4.70%,4.7
"Adams County, Washington",8.90%,8.9
"Adams County, Wisconsin",3.10%,3.1
"Addison County, Vermont",4%,4
"Adjuntas Municipio, Puerto Rico",3.30%,3.3
"Aguada Municipio, Puerto Rico",3.10%,3.1
"Aguadilla Municipio, Puerto Rico",3.40%,3.4
"Aguas Buenas Municipio, Puerto Rico",3.20%,3.2
"Aibonito Municipio, Puerto Rico",3.40%,3.4
"Aiken County, South Carolina",5.60%,5.6
"Aitkin County, Minnesota",3.70%,3.7
"Alachua County, Florida",4.80%,4.8
"Alamance County, North Carolina",5.70%,5.7
"Alameda County, California",5.40%,5.4
"Alamosa County, Colorado",5.90%,5.9
"Albany County, New York",4.80%,4.8
"Albany County, Wyoming",4.30%,4.3
"Albemarle County, Virginia",5%,5
"Alcona County, Michigan",3.40%,3.4
"Alcorn County, Mississippi",5.50%,5.5
"Aleutians East Borough, Alaska",3.20%,3.2
"Aleutians West Census Area, Alaska",4.20%,4.2
"Alexander County, Illinois",4.90%,4.9
"Alexander County, North Carolina",4.60%,4.6
"Alexandria city, Virginia",6.80%,6.8
"Alfalfa County, Oklahoma",4.50%,4.5
"Alger County, Michigan",3.60%,3.6
"Allamakee County, Iowa",6.80%,6.8
"Allegan County, Michigan",5.80%,5.8
"Allegany County, Maryland",4.50%,4.5
"Allegany County, New York",5%,5
"Alleghany County, North Carolina",4.10%,4.1
"Alleghany County, Virginia",4.10%,4.1
"Allegheny County, Pennsylvania",5.10%,5.1
"Allen County, Indiana",6.80%,6.8
"Allen County, Kansas",5.60%,5.6
"Allen County, Kentucky",6.10%,6.1
"Allen County, Ohio",6%,6
"Allen Parish, Louisiana",6%,6
"Allendale County, South Carolina",4.30%,4.3
"Alpena County, Michigan",4.60%,4.6
"Alpine County, California",8.90%,8.9
"Amador County, California",3.70%,3.7
"Amelia County, Virginia",5.40%,5.4
"Amherst County, Virginia",5.30%,5.3
"Amite County, Mississippi",5.30%,5.3
"Añasco Municipio, Puerto Rico",3%,3
"Anchorage Municipality, Alaska",6.70%,6.7
"Anderson County, Kansas",6.70%,6.7
"Anderson County, Kentucky",5.80%,5.8
"Anderson County, South Carolina",5.60%,5.6
"Anderson County, Tennessee",5.20%,5.2
"Anderson County, Texas",5.10%,5.1
"Andrew County, Missouri",5.70%,5.7
"Andrews County, Texas",8.20%,8.2
"Androscoggin County, Maine",5.50%,5.5
"Angelina County, Texas",6.50%,6.5
"Anne Arundel County, Maryland",6%,6
"Anoka County, Minnesota",6%,6
"Anson County, North Carolina",5%,5
"Antelope County, Nebraska",6.70%,6.7
"Antrim County, Michigan",3.90%,3.9
"Apache County, Arizona",6.20%,6.2
"Appanoose County, Iowa",4.90%,4.9
