Geographic Area,"Educational instruction, and library occupations",Total,Educ job
"Abbeville County, South Carolina",655,"10,114",6.5
"Acadia Parish, Louisiana","1,035","22,653",4.6
"Accomack County, Virginia",636,"14,408",4.4
"Ada County, Idaho","16,116","255,012",6.3
"Adair County, Iowa",143,"3,652",3.9
"Adair County, Kentucky",540,"7,825",6.9
"Adair County, Missouri","1,173","10,207",11.5
"Adair County, Oklahoma",630,"7,169",8.8
"Adams County, Colorado","11,794","275,757",4.3
"Adams County, Idaho",110,"1,746",6.3
"Adams County, Illinois","1,865","33,260",5.6
"Adams County, Indiana",753,"15,384",4.9
"Adams County, Iowa",100,"1,763",5.7
"Adams County, Mississippi",777,"10,253",7.6
"Adams County, Nebraska","1,015","15,546",6.5
"Adams County, North Dakota",55,"1,054",5.2
"Adams County, Ohio",682,"10,489",6.5
"Adams County, Pennsylvania","3,110","51,985",6
"Adams County, Washington",585,"8,305",7
"Adams County, Wisconsin",367,"8,202",4.5
"Addison County, Vermont","1,746","19,788",8.8
"Adjuntas Municipio, Puerto Rico",234,"4,875",4.8
"Aguada Municipio, Puerto Rico",706,"11,389",6.2
"Aguadilla Municipio, Puerto Rico","1,092","15,130",7.2
"Aguas Buenas Municipio, Puerto Rico",602,"8,452",7.1
"Aibonito Municipio, Puerto Rico",557,"7,849",7.1
"Aiken County, South Carolina","4,501","74,124",6.1
"Aitkin County, Minnesota",358,"6,124",5.8
"Alachua County, Florida","13,689","133,225",10.3
"Alamance County, North Carolina","4,742","82,298",5.8
"Alameda County, California","51,814","870,099",6
"Alamosa County, Colorado",542,"7,897",6.9
"Albany County, New York","11,863","160,947",7.4
"Albany County, Wyoming","3,194","21,096",15.1
"Albemarle County, Virginia","5,989","54,574",11
"Alcona County, Michigan",119,"3,540",3.4
"Alcorn County, Mississippi",803,"14,372",5.6
"Aleutians East Borough, Alaska",122,"2,305",5.3
"Aleutians West Census Area, Alaska",85,"3,559",2.4
"Alexander County, Illinois",148,"1,841",8
"Alexander County, North Carolina","1,032","16,607",6.2
"Alexandria city, Virginia","6,039","96,223",6.3
"Alfalfa County, Oklahoma",184,"2,113",8.7
"Alger County, Michigan",208,"2,915",7.1
"Allamakee County, Iowa",381,"6,868",5.5
"Allegan County, Michigan","2,475","57,047",4.3
"Allegany County, Maryland","1,624","26,552",6.1
"Allegany County, New York","2,213","19,595",11.3
"Alleghany County, North Carolina",290,"4,396",6.6
"Alleghany County, Virginia",504,"6,060",8.3
"Allegheny County, Pennsylvania","40,338","640,039",6.3
"Allen County, Indiana","10,620","189,834",5.6
"Allen County, Kansas",429,"5,674",7.6
"Allen County, Kentucky",339,"8,890",3.8
"Allen County, Ohio","2,103","46,253",4.5
"Allen Parish, Louisiana",485,"7,782",6.2
"Allendale County, South Carolina",275,"2,635",10.4
"Alpena County, Michigan",592,"12,174",4.9
"Alpine County, California",46,646,7.1
"Amador County, California",567,"15,877",3.6
"Amelia County, Virginia",364,"6,340",5.7
"Amherst County, Virginia",912,"14,978",6.1
"Amite County, Mississippi",185,"3,788",4.9
"Añasco Municipio, Puerto Rico",796,"8,619",9.2
"Anchorage Municipality, Alaska","8,717","142,335",6.1
"Anderson County, Kansas",231,"3,514",6.6
"Anderson County, Kentucky",598,"10,892",5.5
"Anderson County, South Carolina","5,771","92,914",6.2
"Anderson County, Tennessee","1,672","32,947",5.1
"Anderson County, Texas","1,085","20,005",5.4
"Andrew County, Missouri",548,"8,572",6.4
"Andrews County, Texas",677,"9,264",7.3
"Androscoggin County, Maine","2,826","56,011",5
"Angelina County, Texas","2,612","37,358",7
"Anne Arundel County, Maryland","19,124","299,789",6.4
"Anoka County, Minnesota","10,332","194,364",5.3
"Anson County, North Carolina",294,"8,731",3.4
"Antelope County, Nebraska",172,"3,260",5.3
"Antrim County, Michigan",614,"10,709",5.7
"Apache County, Arizona","1,407","18,242",7.7
"Appanoose County, Iowa",227,"4,989",4.6
"Appling County, Georgia",316,"7,394",4.3
"Appomattox County, Virginia",344,"7,832",4.4
"Aransas County, Texas",842,"9,291",9.1
"Arapahoe County, Colorado","18,495","354,417",5.2
"Archer County, Texas",301,"4,084",7.4
"Archuleta County, Colorado",321,"5,974",5.4
"Arecibo Municipio, Puerto Rico","1,471","25,727",5.7
"Arenac County, Michigan",198,"6,159",3.2
"Arkansas County, Arkansas",538,"7,298",7.4
"Arlington County, Virginia","8,957","146,957",6.1
"Armstrong County, Pennsylvania","1,580","30,185",5.2
"Armstrong County, Texas",47,818,5.7
"Aroostook County, Maine","1,767","28,719",6.2
"Arroyo Municipio, Puerto Rico",265,"3,877",6.8
"Arthur County, Nebraska",22,223,9.9
"Ascension Parish, Louisiana","3,506","62,579",5.6
"Ashe County, North Carolina",644,"11,710",5.5
"Ashland County, Ohio","1,307","24,707",5.3
"Ashland County, Wisconsin",363,"7,717",4.7
"Ashley County, Arkansas",366,"6,568",5.6
"Ashtabula County, Ohio","1,864","42,136",4.4
"Asotin County, Washington",535,"9,615",5.6
"Assumption Parish, Louisiana",587,"8,579",6.8
"Atascosa County, Texas",726,"20,548",3.5
"Atchison County, Kansas",757,"7,822",9.7
"Atchison County, Missouri",118,"2,546",4.6
"Athens County, Ohio","3,733","28,218",13.2
"Atkinson County, Georgia",225,"3,605",6.2
"Atlantic County, New Jersey","9,528","129,611",7.4
"Atoka County, Oklahoma",347,"5,015",6.9
"Attala County, Mississippi",484,"7,022",6.9
"Audrain County, Missouri",678,"11,077",6.1
"Audubon County, Iowa",163,"2,837",5.7
"Auglaize County, Ohio","1,349","23,945",5.6
"Augusta County, Virginia","2,111","37,573",5.6
"Aurora County, South Dakota",65,"1,396",4.7
"Austin County, Texas",822,"14,541",5.7
"Autauga County, Alabama","1,872","26,411",7.1
"Avery County, North Carolina",437,"6,698",6.5
"Avoyelles Parish, Louisiana",728,"14,861",4.9
"Baca County, Colorado",93,"1,494",6.2
"Bacon County, Georgia",213,"4,253",5
"Bailey County, Texas",256,"2,988",8.6
"Baker County, Florida",646,"11,509",5.6
"Baker County, Georgia",26,900,2.9
"Baker County, Oregon",345,"6,270",5.5
"Baldwin County, Alabama","5,902","107,254",5.5
"Baldwin County, Georgia","1,646","16,838",9.8
"Ballard County, Kentucky",49,"3,248",1.5
"Baltimore city, Maryland","22,452","275,370",8.2
"Baltimore County, Maryland","29,876","429,630",7
"Bamberg County, South Carolina",283,"5,043",5.6
"Bandera County, Texas",471,"9,206",5.1
"Banks County, Georgia",688,"8,420",8.2
"Banner County, Nebraska",22,348,6.3
"Bannock County, Idaho","3,086","39,464",7.8
"Baraga County, Michigan",178,"2,995",5.9
"Barber County, Kansas",117,"1,936",6
"Barbour County, Alabama",696,"8,452",8.2
"Barbour County, West Virginia",372,"5,728",6.5
"Barceloneta Municipio, Puerto Rico",211,"6,913",3.1
"Barnes County, North Dakota",373,"5,474",6.8
"Barnstable County, Massachusetts","7,041","113,900",6.2
"Barnwell County, South Carolina",544,"8,808",6.2
"Barranquitas Municipio, Puerto Rico",437,"8,759",5
"Barren County, Kentucky",925,"18,702",4.9
"Barron County, Wisconsin","1,245","22,593",5.5
"Barrow County, Georgia","2,712","41,974",6.5
"Barry County, Michigan","1,037","28,904",3.6
"Barry County, Missouri",479,"14,930",3.2
"Bartholomew County, Indiana","2,068","40,798",5.1
"Barton County, Kansas",572,"12,396",4.6
"Barton County, Missouri",277,"4,631",6
"Bartow County, Georgia","3,297","52,132",6.3
"Bastrop County, Texas","2,380","45,372",5.2
"Bates County, Missouri",375,"7,009",5.4
"Bath County, Kentucky",165,"4,862",3.4
"Bath County, Virginia",102,"1,753",5.8
"Baxter County, Arkansas",766,"15,371",5
"Bay County, Florida","4,892","84,899",5.8
"Bay County, Michigan","2,021","48,294",4.2
"Bayamón Municipio, Puerto Rico","4,265","66,908",6.4
"Bayfield County, Wisconsin",384,"7,434",5.2
"Baylor County, Texas",95,"1,490",6.4
"Beadle County, South Dakota",591,"9,304",6.4
"Bear Lake County, Idaho",210,"2,723",7.7
"Beaufort County, North Carolina","1,119","19,319",5.8
"Beaufort County, South Carolina","4,657","79,528",5.9
"Beauregard Parish, Louisiana","1,194","14,535",8.2
"Beaver County, Oklahoma",161,"2,359",6.8
"Beaver County, Pennsylvania","4,020","80,302",5
"Beaver County, Utah",310,"3,064",10.1
"Beaverhead County, Montana",377,"4,600",8.2
"Becker County, Minnesota",908,"16,607",5.5
"Beckham County, Oklahoma",413,"8,565",4.8
"Bedford County, Pennsylvania","1,024","22,220",4.6
"Bedford County, Tennessee","1,291","23,327",5.5
"Bedford County, Virginia","2,803","37,171",7.5
"Bee County, Texas",675,"10,381",6.5
"Belknap County, New Hampshire","2,184","32,842",6.7
"Bell County, Kentucky",625,"7,246",8.6
"Bell County, Texas","11,077","152,373",7.3
"Belmont County, Ohio","1,426","28,440",5
"Beltrami County, Minnesota","1,683","21,422",7.9
"Ben Hill County, Georgia",336,"7,089",4.7
"Benewah County, Idaho",113,"3,815",3
"Bennett County, South Dakota",128,"1,091",11.7
"Bennington County, Vermont","1,611","17,673",9.1
"Benson County, North Dakota",238,"2,048",11.6
"Bent County, Colorado",121,"1,682",7.2
"Benton County, Arkansas","7,376","142,914",5.2
