Geographic Area,Healthcare practitioners and technical occupations,Total,Health job
"Abbeville County, South Carolina",651,"10,114",6.4
"Acadia Parish, Louisiana","1,514","22,653",6.7
"Accomack County, Virginia",396,"14,408",2.7
"Ada County, Idaho","17,569","255,012",6.9
"Adair County, Iowa",179,"3,652",4.9
"Adair County, Kentucky",585,"7,825",7.5
"Adair County, Missouri",704,"10,207",6.9
"Adair County, Oklahoma",281,"7,169",3.9
"Adams County, Colorado","10,975","275,757",4
"Adams County, Idaho",23,"1,746",1.3
"Adams County, Illinois","2,354","33,260",7.1
"Adams County, Indiana",961,"15,384",6.2
"Adams County, Iowa",134,"1,763",7.6
"Adams County, Mississippi",842,"10,253",8.2
"Adams County, Nebraska",894,"15,546",5.8
"Adams County, North Dakota",77,"1,054",7.3
"Adams County, Ohio",972,"10,489",9.3
"Adams County, Pennsylvania","3,163","51,985",6.1
"Adams County, Washington",283,"8,305",3.4
"Adams County, Wisconsin",290,"8,202",3.5
"Addison County, Vermont","1,098","19,788",5.5
"Adjuntas Municipio, Puerto Rico",237,"4,875",4.9
"Aguada Municipio, Puerto Rico",585,"11,389",5.1
"Aguadilla Municipio, Puerto Rico",696,"15,130",4.6
"Aguas Buenas Municipio, Puerto Rico",373,"8,452",4.4
"Aibonito Municipio, Puerto Rico",334,"7,849",4.3
"Aiken County, South Carolina","5,022","74,124",6.8
"Aitkin County, Minnesota",339,"6,124",5.5
"Alachua County, Florida","13,399","133,225",10.1
"Alamance County, North Carolina","4,896","82,298",5.9
"Alameda County, California","44,348","870,099",5.1
"Alamosa County, Colorado",361,"7,897",4.6
"Albany County, New York","12,494","160,947",7.8
"Albany County, Wyoming","1,336","21,096",6.3
"Albemarle County, Virginia","4,551","54,574",8.3
"Alcona County, Michigan",220,"3,540",6.2
"Alcorn County, Mississippi","1,049","14,372",7.3
"Aleutians East Borough, Alaska",20,"2,305",0.9
"Aleutians West Census Area, Alaska",13,"3,559",0.4
"Alexander County, Illinois",96,"1,841",5.2
"Alexander County, North Carolina",897,"16,607",5.4
"Alexandria city, Virginia","3,595","96,223",3.7
"Alfalfa County, Oklahoma",66,"2,113",3.1
"Alger County, Michigan",133,"2,915",4.6
"Allamakee County, Iowa",384,"6,868",5.6
"Allegan County, Michigan","2,902","57,047",5.1
"Allegany County, Maryland","1,778","26,552",6.7
"Allegany County, New York","1,043","19,595",5.3
"Alleghany County, North Carolina",296,"4,396",6.7
"Alleghany County, Virginia",408,"6,060",6.7
"Allegheny County, Pennsylvania","53,903","640,039",8.4
"Allen County, Indiana","14,656","189,834",7.7
"Allen County, Kansas",319,"5,674",5.6
"Allen County, Kentucky",630,"8,890",7.1
"Allen County, Ohio","3,109","46,253",6.7
"Allen Parish, Louisiana",510,"7,782",6.6
"Allendale County, South Carolina",104,"2,635",3.9
"Alpena County, Michigan",798,"12,174",6.6
"Alpine County, California",32,646,5
"Amador County, California",730,"15,877",4.6
"Amelia County, Virginia",264,"6,340",4.2
"Amherst County, Virginia",781,"14,978",5.2
"Amite County, Mississippi",228,"3,788",6
"Añasco Municipio, Puerto Rico",410,"8,619",4.8
"Anchorage Municipality, Alaska","9,238","142,335",6.5
"Anderson County, Kansas",166,"3,514",4.7
"Anderson County, Kentucky",774,"10,892",7.1
"Anderson County, South Carolina","7,291","92,914",7.8
"Anderson County, Tennessee","2,833","32,947",8.6
"Anderson County, Texas","1,387","20,005",6.9
"Andrew County, Missouri",610,"8,572",7.1
"Andrews County, Texas",462,"9,264",5
"Androscoggin County, Maine","3,594","56,011",6.4
"Angelina County, Texas","2,380","37,358",6.4
"Anne Arundel County, Maryland","15,596","299,789",5.2
"Anoka County, Minnesota","10,971","194,364",5.6
"Anson County, North Carolina",429,"8,731",4.9
"Antelope County, Nebraska",257,"3,260",7.9
"Antrim County, Michigan",518,"10,709",4.8
"Apache County, Arizona","1,325","18,242",7.3
"Appanoose County, Iowa",343,"4,989",6.9
"Appling County, Georgia",551,"7,394",7.5
"Appomattox County, Virginia",421,"7,832",5.4
"Aransas County, Texas",667,"9,291",7.2
"Arapahoe County, Colorado","19,779","354,417",5.6
"Archer County, Texas",315,"4,084",7.7
"Archuleta County, Colorado",103,"5,974",1.7
"Arecibo Municipio, Puerto Rico","1,579","25,727",6.1
"Arenac County, Michigan",325,"6,159",5.3
"Arkansas County, Arkansas",483,"7,298",6.6
"Arlington County, Virginia","5,753","146,957",3.9
"Armstrong County, Pennsylvania","2,360","30,185",7.8
"Armstrong County, Texas",85,818,10.4
"Aroostook County, Maine","1,745","28,719",6.1
"Arroyo Municipio, Puerto Rico",261,"3,877",6.7
"Arthur County, Nebraska",7,223,3.1
"Ascension Parish, Louisiana","4,278","62,579",6.8
"Ashe County, North Carolina",637,"11,710",5.4
"Ashland County, Ohio","1,421","24,707",5.8
"Ashland County, Wisconsin",359,"7,717",4.7
"Ashley County, Arkansas",560,"6,568",8.5
"Ashtabula County, Ohio","2,654","42,136",6.3
"Asotin County, Washington",591,"9,615",6.1
"Assumption Parish, Louisiana",546,"8,579",6.4
"Atascosa County, Texas","1,022","20,548",5
"Atchison County, Kansas",314,"7,822",4
"Atchison County, Missouri",136,"2,546",5.3
"Athens County, Ohio","1,725","28,218",6.1
"Atkinson County, Georgia",243,"3,605",6.7
"Atlantic County, New Jersey","9,512","129,611",7.3
"Atoka County, Oklahoma",285,"5,015",5.7
"Attala County, Mississippi",312,"7,022",4.4
"Audrain County, Missouri",810,"11,077",7.3
"Audubon County, Iowa",144,"2,837",5.1
"Auglaize County, Ohio","1,546","23,945",6.5
"Augusta County, Virginia","2,534","37,573",6.7
"Aurora County, South Dakota",74,"1,396",5.3
"Austin County, Texas",464,"14,541",3.2
"Autauga County, Alabama","1,564","26,411",5.9
"Avery County, North Carolina",377,"6,698",5.6
"Avoyelles Parish, Louisiana","1,123","14,861",7.6
"Baca County, Colorado",121,"1,494",8.1
"Bacon County, Georgia",328,"4,253",7.7
"Bailey County, Texas",94,"2,988",3.1
"Baker County, Florida",836,"11,509",7.3
"Baker County, Georgia",55,900,6.1
"Baker County, Oregon",388,"6,270",6.2
"Baldwin County, Alabama","7,913","107,254",7.4
"Baldwin County, Georgia",835,"16,838",5
"Ballard County, Kentucky",343,"3,248",10.6
"Baltimore city, Maryland","19,422","275,370",7.1
"Baltimore County, Maryland","33,233","429,630",7.7
"Bamberg County, South Carolina",328,"5,043",6.5
"Bandera County, Texas",415,"9,206",4.5
"Banks County, Georgia",381,"8,420",4.5
"Banner County, Nebraska",3,348,0.9
"Bannock County, Idaho","2,896","39,464",7.3
"Baraga County, Michigan",284,"2,995",9.5
"Barber County, Kansas",156,"1,936",8.1
"Barbour County, Alabama",473,"8,452",5.6
"Barbour County, West Virginia",369,"5,728",6.4
"Barceloneta Municipio, Puerto Rico",383,"6,913",5.5
"Barnes County, North Dakota",351,"5,474",6.4
"Barnstable County, Massachusetts","8,197","113,900",7.2
"Barnwell County, South Carolina",218,"8,808",2.5
"Barranquitas Municipio, Puerto Rico",804,"8,759",9.2
"Barren County, Kentucky","1,569","18,702",8.4
"Barron County, Wisconsin","1,294","22,593",5.7
"Barrow County, Georgia","1,900","41,974",4.5
"Barry County, Michigan","1,866","28,904",6.5
"Barry County, Missouri",618,"14,930",4.1
"Bartholomew County, Indiana","2,218","40,798",5.4
"Barton County, Kansas",711,"12,396",5.7
"Barton County, Missouri",197,"4,631",4.3
"Bartow County, Georgia","2,153","52,132",4.1
"Bastrop County, Texas","1,510","45,372",3.3
"Bates County, Missouri",291,"7,009",4.2
"Bath County, Kentucky",236,"4,862",4.9
"Bath County, Virginia",38,"1,753",2.2
"Baxter County, Arkansas","1,185","15,371",7.7
"Bay County, Florida","5,165","84,899",6.1
"Bay County, Michigan","3,494","48,294",7.2
"Bayamón Municipio, Puerto Rico","3,797","66,908",5.7
"Bayfield County, Wisconsin",448,"7,434",6
"Baylor County, Texas",120,"1,490",8.1
"Beadle County, South Dakota",365,"9,304",3.9
"Bear Lake County, Idaho",110,"2,723",4
"Beaufort County, North Carolina","1,504","19,319",7.8
"Beaufort County, South Carolina","5,875","79,528",7.4
"Beauregard Parish, Louisiana",709,"14,535",4.9
"Beaver County, Oklahoma",67,"2,359",2.8
"Beaver County, Pennsylvania","5,525","80,302",6.9
"Beaver County, Utah",129,"3,064",4.2
"Beaverhead County, Montana",334,"4,600",7.3
"Becker County, Minnesota","1,169","16,607",7
"Beckham County, Oklahoma",478,"8,565",5.6
"Bedford County, Pennsylvania","1,540","22,220",6.9
"Bedford County, Tennessee",906,"23,327",3.9
"Bedford County, Virginia","2,544","37,171",6.8
"Bee County, Texas",633,"10,381",6.1
"Belknap County, New Hampshire","1,829","32,842",5.6
"Bell County, Kentucky",409,"7,246",5.6
"Bell County, Texas","10,792","152,373",7.1
"Belmont County, Ohio","2,277","28,440",8
"Beltrami County, Minnesota","1,857","21,422",8.7
"Ben Hill County, Georgia",319,"7,089",4.5
"Benewah County, Idaho",159,"3,815",4.2
"Bennett County, South Dakota",34,"1,091",3.1
"Bennington County, Vermont","1,124","17,673",6.4
"Benson County, North Dakota",69,"2,048",3.4
"Bent County, Colorado",53,"1,682",3.2
"Benton County, Arkansas","7,031","142,914",4.9
"Benton County, Indiana",69,"4,081",1.7
"Benton County, Iowa",922,"13,194",7
"Benton County, Minnesota","1,818","22,406",8.1
"Benton County, Mississippi",185,"3,253",5.7
"Benton County, Missouri",396,"7,062",5.6
"Benton County, Oregon","2,694","46,601",5.8
"Benton County, Tennessee",489,"6,071",8.1
"Benton County, Washington","5,583","94,424",5.9
"Benzie County, Michigan",562,"8,029",7
"Bergen County, New Jersey","38,246","492,359",7.8
"Berkeley County, South Carolina","5,799","108,726",5.3
"Berkeley County, West Virginia","3,011","61,928",4.9
"Berks County, Pennsylvania","12,567","211,422",5.9
"Berkshire County, Massachusetts","5,174","64,150",8.1
"Bernalillo County, New Mexico","23,599","321,945",7.3
"Berrien County, Georgia",365,"7,257",5
"Berrien County, Michigan","4,270","71,098",6
"Bertie County, North Carolina",323,"6,308",5.1
"Bethel Census Area, Alaska",309,"6,562",4.7
"Bexar County, Texas","62,596","957,948",6.5
"Bibb County, Alabama",457,"8,242",5.5
"Bibb County, Georgia","4,532","64,934",7
"Bienville Parish, Louisiana",201,"4,501",4.5
"Big Horn County, Montana",364,"4,740",7.7
"Big Horn County, Wyoming",237,"4,960",4.8
