Geographic Area,Total—Total population—SUMMARY INDICATORS—Median age (years)—Estimate,Median age 
"Abbeville County, South Carolina",44.5,44.5
"Acadia Parish, Louisiana",36.7,36.7
"Accomack County, Virginia",47.3,47.3
"Ada County, Idaho",38.1,38.1
"Adair County, Iowa",43,43
"Adair County, Kentucky",40.3,40.3
"Adair County, Missouri",29,29
"Adair County, Oklahoma",38.1,38.1
"Adams County, Colorado",34.4,34.4
"Adams County, Idaho",54.4,54.4
"Adams County, Illinois",41.3,41.3
"Adams County, Indiana",33.4,33.4
"Adams County, Iowa",46.3,46.3
"Adams County, Mississippi",41.5,41.5
"Adams County, Nebraska",38,38
"Adams County, North Dakota",46.9,46.9
"Adams County, Ohio",42.2,42.2
"Adams County, Pennsylvania",43.8,43.8
"Adams County, Washington",29,29
"Adams County, Wisconsin",55.1,55.1
"Addison County, Vermont",43.9,43.9
"Adjuntas Municipio, Puerto Rico",43.8,43.8
"Aguada Municipio, Puerto Rico",45.4,45.4
"Aguadilla Municipio, Puerto Rico",44,44
"Aguas Buenas Municipio, Puerto Rico",44.2,44.2
"Aibonito Municipio, Puerto Rico",45.8,45.8
"Aiken County, South Carolina",41.8,41.8
"Aitkin County, Minnesota",56.2,56.2
"Alachua County, Florida",31.7,31.7
"Alamance County, North Carolina",39.1,39.1
"Alameda County, California",38.4,38.4
"Alamosa County, Colorado",32.2,32.2
"Albany County, New York",38.1,38.1
"Albany County, Wyoming",28.3,28.3
"Albemarle County, Virginia",39.7,39.7
"Alcona County, Michigan",59.3,59.3
"Alcorn County, Mississippi",40.1,40.1
"Aleutians East Borough, Alaska",41.6,41.6
"Aleutians West Census Area, Alaska",39.2,39.2
"Alexander County, Illinois",44.9,44.9
"Alexander County, North Carolina",43.9,43.9
"Alexandria city, Virginia",37.4,37.4
"Alfalfa County, Oklahoma",43.6,43.6
"Alger County, Michigan",47.2,47.2
"Allamakee County, Iowa",43.1,43.1
"Allegan County, Michigan",40.4,40.4
"Allegany County, Maryland",41.9,41.9
"Allegany County, New York",38.9,38.9
"Alleghany County, North Carolina",50.6,50.6
"Alleghany County, Virginia",48,48
"Allegheny County, Pennsylvania",40.6,40.6
"Allen County, Indiana",36.1,36.1
"Allen County, Kansas",41.1,41.1
"Allen County, Kentucky",40.5,40.5
"Allen County, Ohio",39.8,39.8
"Allen Parish, Louisiana",38.5,38.5
"Allendale County, South Carolina",43.1,43.1
"Alpena County, Michigan",47.6,47.6
"Alpine County, California",43,43
"Amador County, California",49.6,49.6
"Amelia County, Virginia",45.1,45.1
"Amherst County, Virginia",43.9,43.9
"Amite County, Mississippi",48.2,48.2
"Añasco Municipio, Puerto Rico",45,45
"Anchorage Municipality, Alaska",34.5,34.5
"Anderson County, Kansas",39.7,39.7
"Anderson County, Kentucky",41.9,41.9
"Anderson County, South Carolina",40.6,40.6
"Anderson County, Tennessee",42.1,42.1
"Anderson County, Texas",39.3,39.3
"Andrew County, Missouri",41.5,41.5
"Andrews County, Texas",32.4,32.4
"Androscoggin County, Maine",40.8,40.8
"Angelina County, Texas",37.8,37.8
"Anne Arundel County, Maryland",38.8,38.8
"Anoka County, Minnesota",38.8,38.8
"Anson County, North Carolina",41.1,41.1
"Antelope County, Nebraska",42.5,42.5
"Antrim County, Michigan",51.5,51.5
"Apache County, Arizona",35.6,35.6
"Appanoose County, Iowa",45,45
"Appling County, Georgia",39.6,39.6
"Appomattox County, Virginia",43.1,43.1
"Aransas County, Texas",51,51
"Arapahoe County, Colorado",37.1,37.1
"Archer County, Texas",43.1,43.1
"Archuleta County, Colorado",50.8,50.8
"Arecibo Municipio, Puerto Rico",44.6,44.6
"Arenac County, Michigan",50,50
"Arkansas County, Arkansas",41.4,41.4
