Geographic Area,Households—Median income (dollars)—Estimate,Median income
"Abbeville County, South Carolina","49,759",49759
"Acadia Parish, Louisiana","44,977",44977
"Accomack County, Virginia","52,694",52694
"Ada County, Idaho","83,881",83881
"Adair County, Iowa","63,172",63172
"Adair County, Kentucky","49,690",49690
"Adair County, Missouri","51,020",51020
"Adair County, Oklahoma","44,955",44955
"Adams County, Colorado","86,297",86297
"Adams County, Idaho","55,891",55891
"Adams County, Illinois","63,767",63767
"Adams County, Indiana","61,731",61731
"Adams County, Iowa","64,750",64750
"Adams County, Mississippi","37,271",37271
"Adams County, Nebraska","61,502",61502
"Adams County, North Dakota","57,950",57950
"Adams County, Ohio","46,234",46234
"Adams County, Pennsylvania","78,975",78975
"Adams County, Washington","63,105",63105
"Adams County, Wisconsin","55,223",55223
"Addison County, Vermont","85,870",85870
"Adjuntas Municipio, Puerto Rico","17,659",17659
"Aguada Municipio, Puerto Rico","20,301",20301
"Aguadilla Municipio, Puerto Rico","18,348",18348
"Aguas Buenas Municipio, Puerto Rico","23,160",23160
"Aibonito Municipio, Puerto Rico","22,511",22511
"Aiken County, South Carolina","63,212",63212
"Aitkin County, Minnesota","56,406",56406
"Alachua County, Florida","57,566",57566
"Alamance County, North Carolina","60,866",60866
"Alameda County, California","122,488",122488
"Alamosa County, Colorado","52,271",52271
"Albany County, New York","78,829",78829
"Albany County, Wyoming","55,887",55887
"Albemarle County, Virginia","97,708",97708
"Alcona County, Michigan","50,295",50295
"Alcorn County, Mississippi","47,716",47716
"Aleutians East Borough, Alaska","79,961",79961
"Aleutians West Census Area, Alaska","100,662",100662
"Alexander County, Illinois","40,365",40365
"Alexander County, North Carolina","62,764",62764
"Alexandria city, Virginia","113,179",113179
"Alfalfa County, Oklahoma","75,028",75028
"Alger County, Michigan","55,528",55528
"Allamakee County, Iowa","64,049",64049
"Allegan County, Michigan","75,543",75543
"Allegany County, Maryland","55,248",55248
"Allegany County, New York","58,725",58725
"Alleghany County, North Carolina","42,115",42115
"Alleghany County, Virginia","52,546",52546
"Allegheny County, Pennsylvania","72,537",72537
"Allen County, Indiana","66,222",66222
"Allen County, Kansas","55,059",55059
"Allen County, Kentucky","57,159",57159
"Allen County, Ohio","58,976",58976
"Allen Parish, Louisiana","52,755",52755
"Allendale County, South Carolina","37,096",37096
"Alpena County, Michigan","49,133",49133
"Alpine County, California","101,125",101125
"Amador County, California","74,853",74853
"Amelia County, Virginia","63,438",63438
"Amherst County, Virginia","64,454",64454
"Amite County, Mississippi","34,866",34866
"Añasco Municipio, Puerto Rico","22,673",22673
"Anchorage Municipality, Alaska","95,731",95731
"Anderson County, Kansas","67,651",67651
"Anderson County, Kentucky","69,885",69885
"Anderson County, South Carolina","62,347",62347
"Anderson County, Tennessee","60,633",60633
"Anderson County, Texas","57,445",57445
"Andrew County, Missouri","68,774",68774
"Andrews County, Texas","86,458",86458
"Androscoggin County, Maine","64,500",64500
"Angelina County, Texas","57,055",57055
"Anne Arundel County, Maryland","116,009",116009
"Anoka County, Minnesota","95,782",95782
