Geographic Area,"Production, transportation, and material moving occupations",Production job
"Abbeville County, South Carolina",25.20%,25.2
"Acadia Parish, Louisiana",16.80%,16.8
"Accomack County, Virginia",22.30%,22.3
"Ada County, Idaho",8.50%,8.5
"Adair County, Iowa",17.70%,17.7
"Adair County, Kentucky",23.10%,23.1
"Adair County, Missouri",14.30%,14.3
"Adair County, Oklahoma",22.90%,22.9
"Adams County, Colorado",15.30%,15.3
"Adams County, Idaho",9%,9
"Adams County, Illinois",16.50%,16.5
"Adams County, Indiana",24.40%,24.4
"Adams County, Iowa",21.90%,21.9
"Adams County, Mississippi",14%,14
"Adams County, Nebraska",19.30%,19.3
"Adams County, North Dakota",5.30%,5.3
"Adams County, Ohio",21%,21
"Adams County, Pennsylvania",20.10%,20.1
"Adams County, Washington",17.80%,17.8
"Adams County, Wisconsin",23.40%,23.4
"Addison County, Vermont",11.80%,11.8
"Adjuntas Municipio, Puerto Rico",12.10%,12.1
"Aguada Municipio, Puerto Rico",14.70%,14.7
"Aguadilla Municipio, Puerto Rico",14.30%,14.3
"Aguas Buenas Municipio, Puerto Rico",16.60%,16.6
"Aibonito Municipio, Puerto Rico",19.30%,19.3
"Aiken County, South Carolina",15.60%,15.6
"Aitkin County, Minnesota",15.40%,15.4
"Alachua County, Florida",7.20%,7.2
"Alamance County, North Carolina",16.90%,16.9
"Alameda County, California",9.50%,9.5
"Alamosa County, Colorado",9.30%,9.3
"Albany County, New York",8.40%,8.4
"Albany County, Wyoming",8.30%,8.3
"Albemarle County, Virginia",4.80%,4.8
"Alcona County, Michigan",17.90%,17.9
"Alcorn County, Mississippi",23.50%,23.5
"Aleutians East Borough, Alaska",44%,44
"Aleutians West Census Area, Alaska",42.20%,42.2
"Alexander County, Illinois",29.30%,29.3
"Alexander County, North Carolina",30.50%,30.5
"Alexandria city, Virginia",5.80%,5.8
"Alfalfa County, Oklahoma",14.80%,14.8
"Alger County, Michigan",20.50%,20.5
"Allamakee County, Iowa",16.30%,16.3
"Allegan County, Michigan",22.50%,22.5
"Allegany County, Maryland",14.30%,14.3
"Allegany County, New York",15.90%,15.9
"Alleghany County, North Carolina",12.90%,12.9
"Alleghany County, Virginia",22.80%,22.8
"Allegheny County, Pennsylvania",8.90%,8.9
"Allen County, Indiana",19.80%,19.8
"Allen County, Kansas",22%,22
"Allen County, Kentucky",23.70%,23.7
"Allen County, Ohio",24.90%,24.9
"Allen Parish, Louisiana",15.50%,15.5
"Allendale County, South Carolina",23.80%,23.8
"Alpena County, Michigan",16.30%,16.3
"Alpine County, California",14.90%,14.9
"Amador County, California",10.10%,10.1
"Amelia County, Virginia",15.90%,15.9
"Amherst County, Virginia",18.10%,18.1
"Amite County, Mississippi",24.90%,24.9
"Añasco Municipio, Puerto Rico",17.10%,17.1
"Anchorage Municipality, Alaska",11.20%,11.2
"Anderson County, Kansas",13.10%,13.1
"Anderson County, Kentucky",20.10%,20.1
"Anderson County, South Carolina",19.90%,19.9
"Anderson County, Tennessee",17.20%,17.2
"Anderson County, Texas",17.20%,17.2
"Andrew County, Missouri",18.90%,18.9
"Andrews County, Texas",15.10%,15.1
"Androscoggin County, Maine",14.40%,14.4
"Angelina County, Texas",16.10%,16.1
"Anne Arundel County, Maryland",7.80%,7.8
"Anoka County, Minnesota",16%,16
"Anson County, North Carolina",34.10%,34.1
"Antelope County, Nebraska",11.20%,11.2
"Antrim County, Michigan",17.40%,17.4
"Apache County, Arizona",12.30%,12.3
"Appanoose County, Iowa",23.20%,23.2
"Appling County, Georgia",22.20%,22.2
"Appomattox County, Virginia",16.50%,16.5
"Aransas County, Texas",12.40%,12.4
"Arapahoe County, Colorado",10.80%,10.8
"Archer County, Texas",13.60%,13.6
"Archuleta County, Colorado",8.50%,8.5
"Arecibo Municipio, Puerto Rico",16.50%,16.5
"Arenac County, Michigan",23.50%,23.5
"Arkansas County, Arkansas",22.80%,22.8
"Arlington County, Virginia",3.30%,3.3
"Armstrong County, Pennsylvania",21.60%,21.6
"Armstrong County, Texas",9.90%,9.9
"Aroostook County, Maine",15.10%,15.1
"Arroyo Municipio, Puerto Rico",14.70%,14.7
"Arthur County, Nebraska",6.70%,6.7
"Ascension Parish, Louisiana",15.90%,15.9
"Ashe County, North Carolina",15.30%,15.3
"Ashland County, Ohio",24.80%,24.8
"Ashland County, Wisconsin",16.30%,16.3
"Ashley County, Arkansas",23.70%,23.7
"Ashtabula County, Ohio",24.60%,24.6
"Asotin County, Washington",13.90%,13.9
"Assumption Parish, Louisiana",18.10%,18.1
"Atascosa County, Texas",15.90%,15.9
"Atchison County, Kansas",13.60%,13.6
"Atchison County, Missouri",20%,20
"Athens County, Ohio",12.30%,12.3
"Atkinson County, Georgia",26.60%,26.6
"Atlantic County, New Jersey",9.80%,9.8
"Atoka County, Oklahoma",15.90%,15.9
