Geographic Area,Nursing facilities/Skilled-nursing facilities ,Total,Nurs Hom
"Abbeville County, South Carolina",84,"24,295",0.35
"Acadia Parish, Louisiana",480,"57,576",0.83
"Accomack County, Virginia",155,"33,413",0.46
"Ada County, Idaho","2,488","494,967",0.5
"Adair County, Iowa",153,"7,496",2.04
"Adair County, Kentucky",91,"18,903",0.48
"Adair County, Missouri",194,"25,314",0.77
"Adair County, Oklahoma",55,"19,495",0.28
"Adams County, Colorado","1,547","519,572",0.3
"Adams County, Idaho",0,"4,379",0
"Adams County, Illinois",862,"65,737",1.31
"Adams County, Indiana",346,"35,809",0.97
"Adams County, Iowa",35,"3,704",0.94
"Adams County, Mississippi",203,"29,538",0.69
"Adams County, Nebraska",72,"31,205",0.23
"Adams County, North Dakota",59,"2,200",2.68
"Adams County, Ohio",199,"27,477",0.72
"Adams County, Pennsylvania",606,"103,852",0.58
"Adams County, Washington",49,"20,613",0.24
"Adams County, Wisconsin",48,"20,654",0.23
"Addison County, Vermont",223,"37,363",0.6
"Adjuntas Municipio, Puerto Rico",33,"18,020",0.18
"Aguada Municipio, Puerto Rico",151,"38,136",0.4
"Aguadilla Municipio, Puerto Rico",378,"55,101",0.69
"Aguas Buenas Municipio, Puerto Rico",49,"24,223",0.2
"Aibonito Municipio, Puerto Rico",37,"24,637",0.15
"Aiken County, South Carolina","1,040","168,808",0.62
"Aitkin County, Minnesota",195,"15,697",1.24
"Alachua County, Florida","1,214","278,468",0.44
"Alamance County, North Carolina",601,"171,415",0.35
"Alameda County, California","6,218","1,682,353",0.37
"Alamosa County, Colorado",128,"16,376",0.78
"Albany County, New York","2,048","314,848",0.65
"Albany County, Wyoming",131,"37,066",0.35
"Albemarle County, Virginia","1,201","112,395",1.07
"Alcona County, Michigan",46,"10,167",0.45
"Alcorn County, Mississippi",252,"34,740",0.73
"Aleutians East Borough, Alaska",0,"3,420",0
"Aleutians West Census Area, Alaska",0,"5,232",0
"Alexander County, Illinois",58,"5,240",1.11
"Alexander County, North Carolina",146,"36,444",0.4
"Alexandria city, Virginia",521,"159,467",0.33
"Alfalfa County, Oklahoma",0,"5,699",0
"Alger County, Michigan",59,"8,842",0.67
"Allamakee County, Iowa",183,"14,061",1.3
"Allegan County, Michigan",554,"120,502",0.46
"Allegany County, Maryland",759,"68,106",1.11
"Allegany County, New York",466,"46,456",1
"Alleghany County, North Carolina",68,"10,888",0.62
"Alleghany County, Virginia",220,"15,223",1.45
"Allegheny County, Pennsylvania","8,485","1,250,578",0.68
"Allen County, Indiana","2,943","385,410",0.76
"Allen County, Kansas",91,"12,526",0.73
"Allen County, Kentucky",100,"20,588",0.49
"Allen County, Ohio",966,"102,206",0.95
"Allen Parish, Louisiana",56,"22,750",0.25
"Allendale County, South Carolina",46,"8,039",0.57
"Alpena County, Michigan",149,"28,907",0.52
"Alpine County, California",0,"1,204",0
"Amador County, California",51,"40,474",0.13
"Amelia County, Virginia",83,"13,265",0.63
"Amherst County, Virginia",111,"31,307",0.35
"Amite County, Mississippi",62,"12,720",0.49
"Añasco Municipio, Puerto Rico",144,"25,596",0.56
"Anchorage Municipality, Alaska",874,"291,247",0.3
"Anderson County, Kansas",24,"7,836",0.31
"Anderson County, Kentucky",99,"23,852",0.42
"Anderson County, South Carolina","1,006","203,718",0.49
"Anderson County, Tennessee",446,"77,123",0.58
"Anderson County, Texas",411,"57,922",0.71
"Andrew County, Missouri",129,"18,135",0.71
"Andrews County, Texas",59,"18,610",0.32
"Androscoggin County, Maine","1,497","111,139",1.35
"Angelina County, Texas",543,"86,395",0.63
"Anne Arundel County, Maryland","2,119","588,261",0.36
"Anoka County, Minnesota",851,"363,887",0.23
"Anson County, North Carolina",218,"22,055",0.99
"Antelope County, Nebraska",36,"6,295",0.57
"Antrim County, Michigan",20,"23,431",0.09
"Apache County, Arizona",80,"66,021",0.12
"Appanoose County, Iowa",138,"12,317",1.12
"Appling County, Georgia",79,"18,444",0.43
"Appomattox County, Virginia",56,"16,119",0.35
"Aransas County, Texas",169,"23,830",0.71
"Arapahoe County, Colorado","2,540","655,070",0.39
"Archer County, Texas",29,"8,560",0.34
"Archuleta County, Colorado",49,"13,359",0.37
"Arecibo Municipio, Puerto Rico",360,"87,754",0.41
"Arenac County, Michigan",44,"15,002",0.29
"Arkansas County, Arkansas",138,"17,149",0.8
"Arlington County, Virginia",831,"238,643",0.35
"Armstrong County, Pennsylvania",359,"65,558",0.55
"Armstrong County, Texas",41,"1,848",2.22
"Aroostook County, Maine",890,"67,105",1.33
"Arroyo Municipio, Puerto Rico",48,"15,843",0.3
"Arthur County, Nebraska",0,434,0
"Ascension Parish, Louisiana",258,"126,500",0.2
"Ashe County, North Carolina",212,"26,577",0.8
"Ashland County, Ohio",536,"52,447",1.02
"Ashland County, Wisconsin",177,"16,027",1.1
"Ashley County, Arkansas",109,"19,062",0.57
"Ashtabula County, Ohio",927,"97,574",0.95
"Asotin County, Washington",184,"22,285",0.83
