Geographic Area,Householder living alone—65 years and over,Lvng alone
"Abbeville County, South Carolina",15.40%,15.4
"Acadia Parish, Louisiana",12.10%,12.1
"Accomack County, Virginia",17.30%,17.3
"Ada County, Idaho",10%,10
"Adair County, Iowa",14.60%,14.6
"Adair County, Kentucky",16.90%,16.9
"Adair County, Missouri",12.20%,12.2
"Adair County, Oklahoma",13.80%,13.8
"Adams County, Colorado",7.70%,7.7
"Adams County, Idaho",16.70%,16.7
"Adams County, Illinois",15.70%,15.7
"Adams County, Indiana",12.30%,12.3
"Adams County, Iowa",20.20%,20.2
"Adams County, Mississippi",16.60%,16.6
"Adams County, Nebraska",14.70%,14.7
"Adams County, North Dakota",18.70%,18.7
"Adams County, Ohio",15.20%,15.2
"Adams County, Pennsylvania",12.80%,12.8
"Adams County, Washington",9.30%,9.3
"Adams County, Wisconsin",18.70%,18.7
"Addison County, Vermont",13.80%,13.8
"Adjuntas Municipio, Puerto Rico",13.50%,13.5
"Aguada Municipio, Puerto Rico",14.70%,14.7
"Aguadilla Municipio, Puerto Rico",15.50%,15.5
"Aguas Buenas Municipio, Puerto Rico",9.70%,9.7
"Aibonito Municipio, Puerto Rico",14.50%,14.5
"Aiken County, South Carolina",11.80%,11.8
"Aitkin County, Minnesota",20.90%,20.9
"Alachua County, Florida",11.10%,11.1
"Alamance County, North Carolina",12.80%,12.8
"Alameda County, California",9.40%,9.4
"Alamosa County, Colorado",9.60%,9.6
"Albany County, New York",13.10%,13.1
"Albany County, Wyoming",8.70%,8.7
"Albemarle County, Virginia",14.50%,14.5
"Alcona County, Michigan",19%,19
"Alcorn County, Mississippi",14%,14
"Aleutians East Borough, Alaska",12.70%,12.7
"Aleutians West Census Area, Alaska",5.70%,5.7
"Alexander County, Illinois",22.90%,22.9
"Alexander County, North Carolina",14.80%,14.8
"Alexandria city, Virginia",10.60%,10.6
"Alfalfa County, Oklahoma",15.20%,15.2
"Alger County, Michigan",15.90%,15.9
"Allamakee County, Iowa",14.80%,14.8
"Allegan County, Michigan",9.40%,9.4
"Allegany County, Maryland",17%,17
"Allegany County, New York",15.10%,15.1
"Alleghany County, North Carolina",15.30%,15.3
"Alleghany County, Virginia",21.30%,21.3
"Allegheny County, Pennsylvania",15%,15
"Allen County, Indiana",11.10%,11.1
"Allen County, Kansas",14.70%,14.7
"Allen County, Kentucky",10.30%,10.3
"Allen County, Ohio",15.10%,15.1
"Allen Parish, Louisiana",11.10%,11.1
"Allendale County, South Carolina",19.10%,19.1
"Alpena County, Michigan",15%,15
"Alpine County, California",15.60%,15.6
"Amador County, California",15.50%,15.5
"Amelia County, Virginia",11.70%,11.7
"Amherst County, Virginia",15%,15
"Amite County, Mississippi",16.90%,16.9
"Añasco Municipio, Puerto Rico",12.70%,12.7
"Anchorage Municipality, Alaska",8%,8
"Anderson County, Kansas",13.60%,13.6
"Anderson County, Kentucky",11.90%,11.9
"Anderson County, South Carolina",12.30%,12.3
"Anderson County, Tennessee",13%,13
"Anderson County, Texas",11%,11
"Andrew County, Missouri",14.40%,14.4
"Andrews County, Texas",7.30%,7.3
"Androscoggin County, Maine",12.80%,12.8
"Angelina County, Texas",10.60%,10.6
"Anne Arundel County, Maryland",10.10%,10.1
"Anoka County, Minnesota",9.90%,9.9
"Anson County, North Carolina",17.80%,17.8
"Antelope County, Nebraska",18.80%,18.8
"Antrim County, Michigan",15.10%,15.1
"Apache County, Arizona",12.60%,12.6
"Appanoose County, Iowa",16.70%,16.7
"Appling County, Georgia",10.90%,10.9
"Appomattox County, Virginia",13.70%,13.7
"Aransas County, Texas",13.60%,13.6
"Arapahoe County, Colorado",9.20%,9.2
"Archer County, Texas",13.70%,13.7
"Archuleta County, Colorado",12.70%,12.7
"Arecibo Municipio, Puerto Rico",15.70%,15.7
"Arenac County, Michigan",16.40%,16.4
"Arkansas County, Arkansas",13.30%,13.3
"Arlington County, Virginia",8.30%,8.3
"Armstrong County, Pennsylvania",14.60%,14.6
"Armstrong County, Texas",10.10%,10.1
"Aroostook County, Maine",17.70%,17.7
"Arroyo Municipio, Puerto Rico",15.40%,15.4
"Arthur County, Nebraska",19.70%,19.7
"Ascension Parish, Louisiana",7.80%,7.8
"Ashe County, North Carolina",15.60%,15.6
"Ashland County, Ohio",12.10%,12.1
"Ashland County, Wisconsin",17.50%,17.5
"Ashley County, Arkansas",16.90%,16.9
"Ashtabula County, Ohio",14.90%,14.9
"Asotin County, Washington",16.10%,16.1
"Assumption Parish, Louisiana",12.10%,12.1
"Atascosa County, Texas",10.60%,10.6
"Atchison County, Kansas",13.20%,13.2
"Atchison County, Missouri",16.50%,16.5
"Athens County, Ohio",12%,12
"Atkinson County, Georgia",11.70%,11.7
"Atlantic County, New Jersey",13.10%,13.1
"Atoka County, Oklahoma",12.30%,12.3
"Attala County, Mississippi",15.50%,15.5
"Audrain County, Missouri",12%,12
"Audubon County, Iowa",14.20%,14.2
"Auglaize County, Ohio",13.10%,13.1
"Augusta County, Virginia",13.50%,13.5
"Aurora County, South Dakota",15.70%,15.7
"Austin County, Texas",9.50%,9.5
"Autauga County, Alabama",12.10%,12.1
"Avery County, North Carolina",13.40%,13.4
"Avoyelles Parish, Louisiana",13.50%,13.5
"Baca County, Colorado",17.80%,17.8
"Bacon County, Georgia",16.10%,16.1
"Bailey County, Texas",13.30%,13.3
"Baker County, Florida",10%,10
"Baker County, Georgia",17%,17
"Baker County, Oregon",17.60%,17.6
"Baldwin County, Alabama",13.20%,13.2
"Baldwin County, Georgia",11.30%,11.3
"Ballard County, Kentucky",12.20%,12.2
"Baltimore city, Maryland",13.50%,13.5
"Baltimore County, Maryland",13.40%,13.4
"Bamberg County, South Carolina",20.80%,20.8
"Bandera County, Texas",16.10%,16.1
"Banks County, Georgia",11.10%,11.1
"Banner County, Nebraska",14.10%,14.1
"Bannock County, Idaho",11.10%,11.1
"Baraga County, Michigan",17.10%,17.1
"Barber County, Kansas",15.60%,15.6
"Barbour County, Alabama",16.60%,16.6
"Barbour County, West Virginia",16.70%,16.7
"Barceloneta Municipio, Puerto Rico",10.80%,10.8
"Barnes County, North Dakota",15.40%,15.4
"Barnstable County, Massachusetts",19%,19
"Barnwell County, South Carolina",15.80%,15.8
"Barranquitas Municipio, Puerto Rico",9.90%,9.9
"Barren County, Kentucky",11.90%,11.9
"Barron County, Wisconsin",14.70%,14.7
"Barrow County, Georgia",7.90%,7.9
"Barry County, Michigan",11.80%,11.8
"Barry County, Missouri",13.90%,13.9
"Bartholomew County, Indiana",11.50%,11.5
"Barton County, Kansas",15.80%,15.8
"Barton County, Missouri",15%,15
"Bartow County, Georgia",8.80%,8.8
"Bastrop County, Texas",9.10%,9.1
"Bates County, Missouri",14%,14
"Bath County, Kentucky",10.50%,10.5
"Bath County, Virginia",15.60%,15.6
"Baxter County, Arkansas",20.50%,20.5
"Bay County, Florida",10.40%,10.4
"Bay County, Michigan",15%,15
"Bayamón Municipio, Puerto Rico",15.40%,15.4
"Bayfield County, Wisconsin",15.80%,15.8
"Baylor County, Texas",18.70%,18.7
"Beadle County, South Dakota",12.70%,12.7
"Bear Lake County, Idaho",13.70%,13.7
"Beaufort County, North Carolina",14.50%,14.5
"Beaufort County, South Carolina",13.40%,13.4
"Beauregard Parish, Louisiana",10.50%,10.5
"Beaver County, Oklahoma",12.20%,12.2
"Beaver County, Pennsylvania",15.30%,15.3
"Beaver County, Utah",8%,8
"Beaverhead County, Montana",17.10%,17.1
"Becker County, Minnesota",14.10%,14.1
"Beckham County, Oklahoma",10.80%,10.8
"Bedford County, Pennsylvania",16.50%,16.5
"Bedford County, Tennessee",10%,10
"Bedford County, Virginia",12%,12
"Bee County, Texas",13.10%,13.1
"Belknap County, New Hampshire",14.60%,14.6
"Bell County, Kentucky",13%,13
"Bell County, Texas",7.50%,7.5
"Belmont County, Ohio",15.80%,15.8
"Beltrami County, Minnesota",11.40%,11.4
"Ben Hill County, Georgia",12.40%,12.4
"Benewah County, Idaho",11.40%,11.4
"Bennett County, South Dakota",10.70%,10.7
"Bennington County, Vermont",16.30%,16.3
"Benson County, North Dakota",9.20%,9.2
"Bent County, Colorado",16.50%,16.5
"Benton County, Arkansas",8.10%,8.1
"Benton County, Indiana",13.70%,13.7
"Benton County, Iowa",13.60%,13.6
"Benton County, Minnesota",8.60%,8.6
"Benton County, Mississippi",15.60%,15.6
"Benton County, Missouri",19.50%,19.5
"Benton County, Oregon",10.10%,10.1
"Benton County, Tennessee",18.30%,18.3
"Benton County, Washington",10.30%,10.3
"Benzie County, Michigan",13.90%,13.9
"Bergen County, New Jersey",11%,11
"Berkeley County, South Carolina",9.50%,9.5
"Berkeley County, West Virginia",9.70%,9.7
"Berks County, Pennsylvania",12.60%,12.6
"Berkshire County, Massachusetts",16.70%,16.7
"Bernalillo County, New Mexico",13.10%,13.1
"Berrien County, Georgia",12.10%,12.1
"Berrien County, Michigan",13.20%,13.2
"Bertie County, North Carolina",18.80%,18.8
"Bethel Census Area, Alaska",4.60%,4.6
"Bexar County, Texas",8.70%,8.7
"Bibb County, Alabama",11.90%,11.9
"Bibb County, Georgia",12.40%,12.4
"Bienville Parish, Louisiana",21.30%,21.3
"Big Horn County, Montana",10.30%,10.3
"Big Horn County, Wyoming",18.50%,18.5
"Big Stone County, Minnesota",18.50%,18.5
"Billings County, North Dakota",12.80%,12.8
"Bingham County, Idaho",10.90%,10.9
"Black Hawk County, Iowa",12.60%,12.6
"Blackford County, Indiana",16%,16
"Bladen County, North Carolina",16.70%,16.7
"Blaine County, Idaho",13.40%,13.4
"Blaine County, Montana",13.70%,13.7
"Blaine County, Nebraska",23.40%,23.4
"Blaine County, Oklahoma",16.20%,16.2
"Blair County, Pennsylvania",15.90%,15.9
"Blanco County, Texas",10.80%,10.8
"Bland County, Virginia",18.90%,18.9
"Bleckley County, Georgia",13%,13
"Bledsoe County, Tennessee",9.90%,9.9
"Blount County, Alabama",12.40%,12.4
"Blount County, Tennessee",11.90%,11.9
"Blue Earth County, Minnesota",8.80%,8.8
"Boise County, Idaho",15.80%,15.8
"Bolivar County, Mississippi",11.80%,11.8
"Bollinger County, Missouri",16%,16
"Bon Homme County, South Dakota",17.60%,17.6
"Bond County, Illinois",14%,14
"Bonner County, Idaho",13.50%,13.5
"Bonneville County, Idaho",10%,10
"Boone County, Arkansas",13.30%,13.3
"Boone County, Illinois",13.90%,13.9
"Boone County, Indiana",8.40%,8.4
"Boone County, Iowa",13.20%,13.2
"Boone County, Kentucky",9.10%,9.1
"Boone County, Missouri",9.30%,9.3
"Boone County, Nebraska",16%,16
