Geographic Area,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,Over 65 yrs
"Abbeville County, South Carolina",22.10%,22.1
"Acadia Parish, Louisiana",15.70%,15.7
"Accomack County, Virginia",24.90%,24.9
"Ada County, Idaho",15.30%,15.3
"Adair County, Iowa",22.20%,22.2
"Adair County, Kentucky",19.40%,19.4
"Adair County, Missouri",14.90%,14.9
"Adair County, Oklahoma",15.60%,15.6
"Adams County, Colorado",10.80%,10.8
"Adams County, Idaho",29.60%,29.6
"Adams County, Illinois",20.10%,20.1
"Adams County, Indiana",15.60%,15.6
"Adams County, Iowa",23%,23
"Adams County, Mississippi",20.30%,20.3
"Adams County, Nebraska",18.10%,18.1
"Adams County, North Dakota",27.70%,27.7
"Adams County, Ohio",18.20%,18.2
"Adams County, Pennsylvania",20.90%,20.9
"Adams County, Washington",11.30%,11.3
"Adams County, Wisconsin",30.50%,30.5
"Addison County, Vermont",21.40%,21.4
"Adjuntas Municipio, Puerto Rico",21.40%,21.4
"Aguada Municipio, Puerto Rico",21.50%,21.5
"Aguadilla Municipio, Puerto Rico",23%,23
"Aguas Buenas Municipio, Puerto Rico",21.50%,21.5
"Aibonito Municipio, Puerto Rico",23.10%,23.1
"Aiken County, South Carolina",20.10%,20.1
"Aitkin County, Minnesota",33.60%,33.6
"Alachua County, Florida",14.70%,14.7
"Alamance County, North Carolina",16.90%,16.9
"Alameda County, California",14.60%,14.6
"Alamosa County, Colorado",14.50%,14.5
"Albany County, New York",17.50%,17.5
"Albany County, Wyoming",12.50%,12.5
"Albemarle County, Virginia",19.70%,19.7
"Alcona County, Michigan",36.10%,36.1
"Alcorn County, Mississippi",18.50%,18.5
"Aleutians East Borough, Alaska",11.60%,11.6
"Aleutians West Census Area, Alaska",6.30%,6.3
"Alexander County, Illinois",23.50%,23.5
"Alexander County, North Carolina",20.40%,20.4
"Alexandria city, Virginia",12.30%,12.3
"Alfalfa County, Oklahoma",18.90%,18.9
"Alger County, Michigan",25%,25
"Allamakee County, Iowa",22.70%,22.7
"Allegan County, Michigan",17.40%,17.4
"Allegany County, Maryland",20.80%,20.8
"Allegany County, New York",19.30%,19.3
"Alleghany County, North Carolina",28%,28
"Alleghany County, Virginia",25.10%,25.1
"Allegheny County, Pennsylvania",19.50%,19.5
"Allen County, Indiana",15.10%,15.1
"Allen County, Kansas",20.50%,20.5
"Allen County, Kentucky",17.60%,17.6
"Allen County, Ohio",18.40%,18.4
"Allen Parish, Louisiana",15%,15
"Allendale County, South Carolina",20.40%,20.4
"Alpena County, Michigan",24%,24
"Alpine County, California",25.50%,25.5
"Amador County, California",26.90%,26.9
"Amelia County, Virginia",20%,20
"Amherst County, Virginia",21.20%,21.2
"Amite County, Mississippi",24.60%,24.6
"Añasco Municipio, Puerto Rico",22.10%,22.1
"Anchorage Municipality, Alaska",12%,12
"Anderson County, Kansas",20.80%,20.8
"Anderson County, Kentucky",16.20%,16.2
"Anderson County, South Carolina",18.10%,18.1
"Anderson County, Tennessee",20.20%,20.2
"Anderson County, Texas",14.80%,14.8
"Andrew County, Missouri",19.90%,19.9
"Andrews County, Texas",9.60%,9.6
"Androscoggin County, Maine",18.20%,18.2
"Angelina County, Texas",16.30%,16.3
"Anne Arundel County, Maryland",15.40%,15.4
"Anoka County, Minnesota",14.60%,14.6
"Anson County, North Carolina",19.50%,19.5
"Antelope County, Nebraska",23.70%,23.7
"Antrim County, Michigan",27.90%,27.9
"Apache County, Arizona",15.80%,15.8
"Appanoose County, Iowa",23.50%,23.5
"Appling County, Georgia",17.50%,17.5
"Appomattox County, Virginia",20.50%,20.5
"Aransas County, Texas",27.60%,27.6
"Arapahoe County, Colorado",13.70%,13.7
"Archer County, Texas",20.60%,20.6
"Archuleta County, Colorado",27%,27
"Arecibo Municipio, Puerto Rico",22.90%,22.9
"Arenac County, Michigan",25.60%,25.6
"Arkansas County, Arkansas",19.90%,19.9
"Arlington County, Virginia",11.30%,11.3
"Armstrong County, Pennsylvania",22.90%,22.9
"Armstrong County, Texas",28.70%,28.7
"Aroostook County, Maine",25.10%,25.1
"Arroyo Municipio, Puerto Rico",21.30%,21.3
"Arthur County, Nebraska",23.50%,23.5
"Ascension Parish, Louisiana",12.40%,12.4
"Ashe County, North Carolina",26.60%,26.6
"Ashland County, Ohio",19.60%,19.6
"Ashland County, Wisconsin",20.40%,20.4
"Ashley County, Arkansas",21.10%,21.1
"Ashtabula County, Ohio",19.60%,19.6
"Asotin County, Washington",23.80%,23.8
"Assumption Parish, Louisiana",19.40%,19.4
"Atascosa County, Texas",14.80%,14.8
"Atchison County, Kansas",17%,17
"Atchison County, Missouri",25.30%,25.3
"Athens County, Ohio",14.30%,14.3
"Atkinson County, Georgia",13.30%,13.3
"Atlantic County, New Jersey",18.80%,18.8
"Atoka County, Oklahoma",18.60%,18.6
"Attala County, Mississippi",19.20%,19.2
"Audrain County, Missouri",18%,18
"Audubon County, Iowa",24.70%,24.7
"Auglaize County, Ohio",18.80%,18.8
"Augusta County, Virginia",21.70%,21.7
"Aurora County, South Dakota",19.30%,19.3
"Austin County, Texas",20%,20
"Autauga County, Alabama",15.60%,15.6
"Avery County, North Carolina",22.70%,22.7
"Avoyelles Parish, Louisiana",17.30%,17.3
"Baca County, Colorado",23.90%,23.9
"Bacon County, Georgia",16.90%,16.9
"Bailey County, Texas",12.40%,12.4
"Baker County, Florida",14.90%,14.9
"Baker County, Georgia",26.50%,26.5
"Baker County, Oregon",27.20%,27.2
"Baldwin County, Alabama",21.20%,21.2
"Baldwin County, Georgia",16.50%,16.5
"Ballard County, Kentucky",22.30%,22.3
"Baltimore city, Maryland",14.80%,14.8
