Geographic Area,With an ambulatory difficulty—Estimate,Amblry diffclty
"Abbeville County, South Carolina",6.80%,6.8
"Acadia Parish, Louisiana",9.90%,9.9
"Accomack County, Virginia",9.30%,9.3
"Ada County, Idaho",4.40%,4.4
"Adair County, Iowa",8.50%,8.5
"Adair County, Kentucky",10.20%,10.2
"Adair County, Missouri",5.10%,5.1
"Adair County, Oklahoma",12.90%,12.9
"Adams County, Colorado",5%,5
"Adams County, Idaho",10.20%,10.2
"Adams County, Illinois",8.20%,8.2
"Adams County, Indiana",6.10%,6.1
"Adams County, Iowa",8.70%,8.7
"Adams County, Mississippi",10.30%,10.3
"Adams County, Nebraska",6.70%,6.7
"Adams County, North Dakota",8.10%,8.1
"Adams County, Ohio",12.60%,12.6
"Adams County, Pennsylvania",7.20%,7.2
"Adams County, Washington",6.70%,6.7
"Adams County, Wisconsin",11.60%,11.6
"Addison County, Vermont",6.70%,6.7
"Adjuntas Municipio, Puerto Rico",8.90%,8.9
"Aguada Municipio, Puerto Rico",19.70%,19.7
"Aguadilla Municipio, Puerto Rico",13.90%,13.9
"Aguas Buenas Municipio, Puerto Rico",18.70%,18.7
"Aibonito Municipio, Puerto Rico",7.60%,7.6
"Aiken County, South Carolina",9%,9
"Aitkin County, Minnesota",9.90%,9.9
"Alachua County, Florida",5.80%,5.8
"Alamance County, North Carolina",7%,7
"Alameda County, California",4.90%,4.9
"Alamosa County, Colorado",8.40%,8.4
"Albany County, New York",5.30%,5.3
"Albany County, Wyoming",3.40%,3.4
"Albemarle County, Virginia",4.60%,4.6
"Alcona County, Michigan",12.70%,12.7
"Alcorn County, Mississippi",13.50%,13.5
"Aleutians East Borough, Alaska",5.60%,5.6
"Aleutians West Census Area, Alaska",3.70%,3.7
"Alexander County, Illinois",14.40%,14.4
"Alexander County, North Carolina",8.90%,8.9
"Alexandria city, Virginia",3.50%,3.5
"Alfalfa County, Oklahoma",8.60%,8.6
"Alger County, Michigan",8.30%,8.3
"Allamakee County, Iowa",6%,6
"Allegan County, Michigan",5.10%,5.1
"Allegany County, Maryland",10.10%,10.1
"Allegany County, New York",8.60%,8.6
"Alleghany County, North Carolina",10.70%,10.7
"Alleghany County, Virginia",8.90%,8.9
"Allegheny County, Pennsylvania",7%,7
"Allen County, Indiana",6.50%,6.5
