Geographic Area,Percentage Children under 6 years,Child under 6 yrs
"Abbeville County, South Carolina",20%,20
"Acadia Parish, Louisiana",23.30%,23.3
"Accomack County, Virginia",19.10%,19.1
"Ada County, Idaho",21.60%,21.6
"Adair County, Iowa",25.80%,25.8
"Adair County, Kentucky",16.80%,16.8
"Adair County, Missouri",21.90%,21.9
"Adair County, Oklahoma",18.30%,18.3
"Adams County, Colorado",19.70%,19.7
"Adams County, Idaho",25.50%,25.5
"Adams County, Illinois",21.70%,21.7
"Adams County, Indiana",27.30%,27.3
"Adams County, Iowa",22%,22
"Adams County, Mississippi",20.50%,20.5
"Adams County, Nebraska",23.90%,23.9
"Adams County, North Dakota",15.80%,15.8
"Adams County, Ohio",21.60%,21.6
"Adams County, Pennsylvania",20.50%,20.5
"Adams County, Washington",14.90%,14.9
"Adams County, Wisconsin",16.70%,16.7
"Addison County, Vermont",23.40%,23.4
"Adjuntas Municipio, Puerto Rico",11.90%,11.9
"Aguada Municipio, Puerto Rico",17.70%,17.7
"Aguadilla Municipio, Puerto Rico",17.40%,17.4
"Aguas Buenas Municipio, Puerto Rico",18.40%,18.4
"Aibonito Municipio, Puerto Rico",8.90%,8.9
"Aiken County, South Carolina",20.70%,20.7
"Aitkin County, Minnesota",19.40%,19.4
"Alachua County, Florida",20.50%,20.5
"Alamance County, North Carolina",18.70%,18.7
"Alameda County, California",23.80%,23.8
"Alamosa County, Colorado",17.50%,17.5
"Albany County, New York",25.50%,25.5
"Albany County, Wyoming",27.20%,27.2
"Albemarle County, Virginia",21.90%,21.9
"Alcona County, Michigan",21.60%,21.6
"Alcorn County, Mississippi",21%,21
"Aleutians East Borough, Alaska",21.80%,21.8
"Aleutians West Census Area, Alaska",16.60%,16.6
"Alexander County, Illinois",17.50%,17.5
"Alexander County, North Carolina",24%,24
"Alexandria city, Virginia",35.50%,35.5
"Alfalfa County, Oklahoma",23.40%,23.4
"Alger County, Michigan",21%,21
"Allamakee County, Iowa",22%,22
"Allegan County, Michigan",19.10%,19.1
"Allegany County, Maryland",26.60%,26.6
"Allegany County, New York",21.50%,21.5
"Alleghany County, North Carolina",30.10%,30.1
"Alleghany County, Virginia",27.60%,27.6
"Allegheny County, Pennsylvania",25.10%,25.1
"Allen County, Indiana",22.10%,22.1
"Allen County, Kansas",30.80%,30.8
"Allen County, Kentucky",20.30%,20.3
"Allen County, Ohio",19.90%,19.9
"Allen Parish, Louisiana",30.40%,30.4
"Allendale County, South Carolina",9.60%,9.6
"Alpena County, Michigan",17.70%,17.7
"Alpine County, California",21%,21
"Amador County, California",21.40%,21.4
"Amelia County, Virginia",14.30%,14.3
"Amherst County, Virginia",21.90%,21.9
"Amite County, Mississippi",12.30%,12.3
"Añasco Municipio, Puerto Rico",14%,14
"Anchorage Municipality, Alaska",25%,25
"Anderson County, Kansas",15.70%,15.7
"Anderson County, Kentucky",23.90%,23.9
"Anderson County, South Carolina",20.40%,20.4
"Anderson County, Tennessee",22.20%,22.2
"Anderson County, Texas",15.20%,15.2
"Andrew County, Missouri",25.70%,25.7
"Andrews County, Texas",18.90%,18.9
"Androscoggin County, Maine",20.60%,20.6
"Angelina County, Texas",18.60%,18.6
"Anne Arundel County, Maryland",23.20%,23.2
"Anoka County, Minnesota",22.10%,22.1
"Anson County, North Carolina",23.20%,23.2
"Antelope County, Nebraska",16.70%,16.7
"Antrim County, Michigan",25.90%,25.9
"Apache County, Arizona",11.40%,11.4
"Appanoose County, Iowa",21.60%,21.6
"Appling County, Georgia",30.60%,30.6
"Appomattox County, Virginia",17.80%,17.8
"Aransas County, Texas",15.90%,15.9
"Arapahoe County, Colorado",20.50%,20.5
"Archer County, Texas",18.90%,18.9
"Archuleta County, Colorado",24.10%,24.1
"Arecibo Municipio, Puerto Rico",17%,17
"Arenac County, Michigan",21.50%,21.5
"Arkansas County, Arkansas",14.50%,14.5
"Arlington County, Virginia",29%,29
"Armstrong County, Pennsylvania",23%,23
"Armstrong County, Texas",15.10%,15.1
"Aroostook County, Maine",19.60%,19.6
"Arroyo Municipio, Puerto Rico",16.30%,16.3
"Arthur County, Nebraska",29.50%,29.5
"Ascension Parish, Louisiana",19.20%,19.2
"Ashe County, North Carolina",24.60%,24.6
"Ashland County, Ohio",22.70%,22.7
"Ashland County, Wisconsin",19.80%,19.8
"Ashley County, Arkansas",14.90%,14.9
"Ashtabula County, Ohio",21.80%,21.8
"Asotin County, Washington",18.70%,18.7
"Assumption Parish, Louisiana",20.70%,20.7
"Atascosa County, Texas",15.60%,15.6
"Atchison County, Kansas",21.80%,21.8
"Atchison County, Missouri",17.60%,17.6
"Athens County, Ohio",23.30%,23.3
"Atkinson County, Georgia",26.50%,26.5
"Atlantic County, New Jersey",21%,21
"Atoka County, Oklahoma",18.80%,18.8
"Attala County, Mississippi",18.30%,18.3
"Audrain County, Missouri",25.90%,25.9
"Audubon County, Iowa",30.50%,30.5
"Auglaize County, Ohio",21.50%,21.5
"Augusta County, Virginia",22.70%,22.7
"Aurora County, South Dakota",22.30%,22.3
"Austin County, Texas",24.90%,24.9
"Autauga County, Alabama",16.20%,16.2
"Avery County, North Carolina",13.70%,13.7
"Avoyelles Parish, Louisiana",23.10%,23.1
"Baca County, Colorado",18.70%,18.7
"Bacon County, Georgia",23.10%,23.1
"Bailey County, Texas",13.20%,13.2
"Baker County, Florida",19.50%,19.5
"Baker County, Georgia",12.90%,12.9
"Baker County, Oregon",15.60%,15.6
"Baldwin County, Alabama",19.10%,19.1
"Baldwin County, Georgia",12.20%,12.2
"Ballard County, Kentucky",15.50%,15.5
"Baltimore city, Maryland",24%,24
"Baltimore County, Maryland",19.30%,19.3
"Bamberg County, South Carolina",18.40%,18.4
"Bandera County, Texas",12.40%,12.4
"Banks County, Georgia",29%,29
"Banner County, Nebraska",42.40%,42.4
"Bannock County, Idaho",18.10%,18.1
"Baraga County, Michigan",16.80%,16.8
"Barber County, Kansas",29.80%,29.8
"Barbour County, Alabama",26.40%,26.4
"Barbour County, West Virginia",31.90%,31.9
"Barceloneta Municipio, Puerto Rico",21.50%,21.5
"Barnes County, North Dakota",24.10%,24.1
"Barnstable County, Massachusetts",20.80%,20.8
"Barnwell County, South Carolina",16.60%,16.6
"Barranquitas Municipio, Puerto Rico",16.60%,16.6
"Barren County, Kentucky",21.80%,21.8
"Barron County, Wisconsin",17.30%,17.3
"Barrow County, Georgia",22.10%,22.1
"Barry County, Michigan",19.90%,19.9
"Barry County, Missouri",20%,20
"Bartholomew County, Indiana",26.20%,26.2
"Barton County, Kansas",26.30%,26.3
"Barton County, Missouri",24.40%,24.4
"Bartow County, Georgia",18.30%,18.3
"Bastrop County, Texas",20.60%,20.6
"Bates County, Missouri",17%,17
"Bath County, Kentucky",9.90%,9.9
"Bath County, Virginia",37.20%,37.2
"Baxter County, Arkansas",18.50%,18.5
"Bay County, Florida",23.70%,23.7
"Bay County, Michigan",22.80%,22.8
"Bayamón Municipio, Puerto Rico",17.60%,17.6
"Bayfield County, Wisconsin",25.70%,25.7
"Baylor County, Texas",14.60%,14.6
"Beadle County, South Dakota",14.80%,14.8
"Bear Lake County, Idaho",23.80%,23.8
"Beaufort County, North Carolina",15.60%,15.6
"Beaufort County, South Carolina",22.90%,22.9
"Beauregard Parish, Louisiana",18.90%,18.9
"Beaver County, Oklahoma",17.40%,17.4
"Beaver County, Pennsylvania",23.30%,23.3
"Beaver County, Utah",21.60%,21.6
"Beaverhead County, Montana",28.40%,28.4
"Becker County, Minnesota",20.40%,20.4
"Beckham County, Oklahoma",27.70%,27.7
"Bedford County, Pennsylvania",21.30%,21.3
"Bedford County, Tennessee",17%,17
"Bedford County, Virginia",19.60%,19.6
"Bee County, Texas",12.90%,12.9
"Belknap County, New Hampshire",18.50%,18.5
"Bell County, Kentucky",34.80%,34.8
"Bell County, Texas",23%,23
"Belmont County, Ohio",17.30%,17.3
"Beltrami County, Minnesota",24.60%,24.6
"Ben Hill County, Georgia",19.70%,19.7
"Benewah County, Idaho",26.20%,26.2
"Bennett County, South Dakota",17.30%,17.3
"Bennington County, Vermont",21.30%,21.3
"Benson County, North Dakota",23.50%,23.5
"Bent County, Colorado",26.40%,26.4
"Benton County, Arkansas",19.90%,19.9
"Benton County, Indiana",25.70%,25.7
"Benton County, Iowa",20.50%,20.5
"Benton County, Minnesota",17.80%,17.8
"Benton County, Mississippi",13.20%,13.2
"Benton County, Missouri",24%,24
"Benton County, Oregon",19.50%,19.5
"Benton County, Tennessee",19.70%,19.7
"Benton County, Washington",19.60%,19.6
"Benzie County, Michigan",19.70%,19.7
"Bergen County, New Jersey",20.50%,20.5
"Berkeley County, South Carolina",23.20%,23.2
"Berkeley County, West Virginia",24.80%,24.8
"Berks County, Pennsylvania",20.10%,20.1
"Berkshire County, Massachusetts",22.20%,22.2
"Bernalillo County, New Mexico",22.10%,22.1
"Berrien County, Georgia",21.50%,21.5
"Berrien County, Michigan",21.70%,21.7
"Bertie County, North Carolina",22.40%,22.4
"Bethel Census Area, Alaska",12.50%,12.5
"Bexar County, Texas",20.90%,20.9
"Bibb County, Alabama",16.50%,16.5
"Bibb County, Georgia",19.80%,19.8
"Bienville Parish, Louisiana",14.50%,14.5
"Big Horn County, Montana",16.20%,16.2
"Big Horn County, Wyoming",14%,14
"Big Stone County, Minnesota",21.30%,21.3
"Billings County, North Dakota",38.20%,38.2
"Bingham County, Idaho",18.80%,18.8
"Black Hawk County, Iowa",23.30%,23.3
"Blackford County, Indiana",16.60%,16.6
"Bladen County, North Carolina",20.30%,20.3
"Blaine County, Idaho",8.10%,8.1
"Blaine County, Montana",23%,23
"Blaine County, Nebraska",40%,40
"Blaine County, Oklahoma",26.40%,26.4
"Blair County, Pennsylvania",22.90%,22.9
"Blanco County, Texas",15.50%,15.5
"Bland County, Virginia",32.10%,32.1
"Bleckley County, Georgia",19.60%,19.6
"Bledsoe County, Tennessee",12.90%,12.9
"Blount County, Alabama",16.50%,16.5
"Blount County, Tennessee",19.70%,19.7
"Blue Earth County, Minnesota",30.30%,30.3
"Boise County, Idaho",20.80%,20.8
"Bolivar County, Mississippi",15.30%,15.3
"Bollinger County, Missouri",9.10%,9.1
"Bon Homme County, South Dakota",30.50%,30.5
"Bond County, Illinois",16.90%,16.9
"Bonner County, Idaho",15.30%,15.3
"Bonneville County, Idaho",21.20%,21.2
