Geographic Area,"9th to 12th grade, no diploma—Estimate",No diploma
"Abbeville County, South Carolina",10%,10
"Acadia Parish, Louisiana",11.30%,11.3
"Accomack County, Virginia",11.90%,11.9
"Ada County, Idaho",3.10%,3.1
"Adair County, Iowa",2.80%,2.8
"Adair County, Kentucky",7.30%,7.3
"Adair County, Missouri",5.50%,5.5
"Adair County, Oklahoma",13.40%,13.4
"Adams County, Colorado",8.30%,8.3
"Adams County, Idaho",4%,4
"Adams County, Illinois",5.10%,5.1
"Adams County, Indiana",3.80%,3.8
"Adams County, Iowa",3.10%,3.1
"Adams County, Mississippi",11.40%,11.4
"Adams County, Nebraska",4.60%,4.6
"Adams County, North Dakota",4.60%,4.6
"Adams County, Ohio",11%,11
"Adams County, Pennsylvania",6.40%,6.4
"Adams County, Washington",7.30%,7.3
"Adams County, Wisconsin",9.20%,9.2
"Addison County, Vermont",4.20%,4.2
"Adjuntas Municipio, Puerto Rico",10.60%,10.6
"Aguada Municipio, Puerto Rico",9.20%,9.2
"Aguadilla Municipio, Puerto Rico",9.30%,9.3
"Aguas Buenas Municipio, Puerto Rico",10.20%,10.2
"Aibonito Municipio, Puerto Rico",7.50%,7.5
"Aiken County, South Carolina",6.80%,6.8
"Aitkin County, Minnesota",5.80%,5.8
"Alachua County, Florida",4.40%,4.4
"Alamance County, North Carolina",7%,7
"Alameda County, California",4.80%,4.8
"Alamosa County, Colorado",4.60%,4.6
"Albany County, New York",4.50%,4.5
"Albany County, Wyoming",2.30%,2.3
"Albemarle County, Virginia",3.80%,3.8
"Alcona County, Michigan",6.80%,6.8
"Alcorn County, Mississippi",11.10%,11.1
"Aleutians East Borough, Alaska",9.20%,9.2
"Aleutians West Census Area, Alaska",4.20%,4.2
"Alexander County, Illinois",8.90%,8.9
"Alexander County, North Carolina",9.60%,9.6
"Alexandria city, Virginia",2.80%,2.8
"Alfalfa County, Oklahoma",8.90%,8.9
"Alger County, Michigan",4.40%,4.4
"Allamakee County, Iowa",4.80%,4.8
"Allegan County, Michigan",5.90%,5.9
"Allegany County, Maryland",7.30%,7.3
"Allegany County, New York",5.10%,5.1
"Alleghany County, North Carolina",13.20%,13.2
"Alleghany County, Virginia",8.40%,8.4
"Allegheny County, Pennsylvania",3.30%,3.3
"Allen County, Indiana",5.40%,5.4
"Allen County, Kansas",5.50%,5.5
"Allen County, Kentucky",6.60%,6.6
"Allen County, Ohio",6.10%,6.1
"Allen Parish, Louisiana",15%,15
"Allendale County, South Carolina",17.50%,17.5
"Alpena County, Michigan",5.20%,5.2
"Alpine County, California",2.60%,2.6
"Amador County, California",6.90%,6.9
"Amelia County, Virginia",8.40%,8.4
"Amherst County, Virginia",8%,8
"Amite County, Mississippi",10.80%,10.8
"Añasco Municipio, Puerto Rico",7.80%,7.8
"Anchorage Municipality, Alaska",3.70%,3.7
"Anderson County, Kansas",4.70%,4.7
"Anderson County, Kentucky",5.10%,5.1
"Anderson County, South Carolina",9.40%,9.4
"Anderson County, Tennessee",5.70%,5.7
"Anderson County, Texas",9.70%,9.7
"Andrew County, Missouri",3.50%,3.5
"Andrews County, Texas",11.70%,11.7
"Androscoggin County, Maine",4.70%,4.7
"Angelina County, Texas",8.60%,8.6
"Anne Arundel County, Maryland",4.20%,4.2
"Anoka County, Minnesota",3.50%,3.5
"Anson County, North Carolina",12.90%,12.9
"Antelope County, Nebraska",4.50%,4.5
"Antrim County, Michigan",4%,4
"Apache County, Arizona",9%,9
"Appanoose County, Iowa",3.90%,3.9
"Appling County, Georgia",13.50%,13.5
"Appomattox County, Virginia",6.30%,6.3
"Aransas County, Texas",6%,6
"Arapahoe County, Colorado",4.20%,4.2
"Archer County, Texas",6.40%,6.4
"Archuleta County, Colorado",4%,4
"Arecibo Municipio, Puerto Rico",7.50%,7.5
"Arenac County, Michigan",8.40%,8.4
"Arkansas County, Arkansas",9.70%,9.7
"Arlington County, Virginia",1.70%,1.7
"Armstrong County, Pennsylvania",5.40%,5.4
"Armstrong County, Texas",3.20%,3.2
"Aroostook County, Maine",5.50%,5.5
"Arroyo Municipio, Puerto Rico",10.30%,10.3
"Arthur County, Nebraska",2.90%,2.9
"Ascension Parish, Louisiana",7.50%,7.5
"Ashe County, North Carolina",9.70%,9.7
"Ashland County, Ohio",7.40%,7.4
"Ashland County, Wisconsin",3.80%,3.8
"Ashley County, Arkansas",8.60%,8.6
"Ashtabula County, Ohio",9.20%,9.2
"Asotin County, Washington",5.50%,5.5
"Assumption Parish, Louisiana",12.90%,12.9
"Atascosa County, Texas",11%,11
"Atchison County, Kansas",4%,4
"Atchison County, Missouri",6.30%,6.3
"Athens County, Ohio",6.60%,6.6
"Atkinson County, Georgia",12.50%,12.5
"Atlantic County, New Jersey",6.80%,6.8
"Atoka County, Oklahoma",13.70%,13.7
"Attala County, Mississippi",10.60%,10.6
"Audrain County, Missouri",7.60%,7.6
"Audubon County, Iowa",6.50%,6.5
"Auglaize County, Ohio",5.10%,5.1
"Augusta County, Virginia",6.50%,6.5
"Aurora County, South Dakota",4.10%,4.1
"Austin County, Texas",6.20%,6.2
"Autauga County, Alabama",7.90%,7.9
"Avery County, North Carolina",8.20%,8.2
"Avoyelles Parish, Louisiana",15.20%,15.2
"Baca County, Colorado",9.80%,9.8
"Bacon County, Georgia",9.40%,9.4
"Bailey County, Texas",16.70%,16.7
"Baker County, Florida",11.40%,11.4
"Baker County, Georgia",10.10%,10.1
"Baker County, Oregon",6.60%,6.6
"Baldwin County, Alabama",6.40%,6.4
"Baldwin County, Georgia",10.60%,10.6
"Ballard County, Kentucky",5.20%,5.2
"Baltimore city, Maryland",9%,9
"Baltimore County, Maryland",5%,5
"Bamberg County, South Carolina",16.30%,16.3
"Bandera County, Texas",5.30%,5.3
"Banks County, Georgia",14.20%,14.2
"Banner County, Nebraska",2.90%,2.9
"Bannock County, Idaho",5.10%,5.1
"Baraga County, Michigan",6.50%,6.5
"Barber County, Kansas",7.10%,7.1
"Barbour County, Alabama",16.20%,16.2
"Barbour County, West Virginia",8.50%,8.5
"Barceloneta Municipio, Puerto Rico",6.90%,6.9
"Barnes County, North Dakota",3.10%,3.1
"Barnstable County, Massachusetts",2.60%,2.6
"Barnwell County, South Carolina",9.90%,9.9
"Barranquitas Municipio, Puerto Rico",9.10%,9.1
"Barren County, Kentucky",8.60%,8.6
"Barron County, Wisconsin",5.90%,5.9
"Barrow County, Georgia",7.40%,7.4
"Barry County, Michigan",4.80%,4.8
"Barry County, Missouri",10.10%,10.1
"Bartholomew County, Indiana",5.80%,5.8
"Barton County, Kansas",7.60%,7.6
"Barton County, Missouri",9.70%,9.7
"Bartow County, Georgia",8%,8
"Bastrop County, Texas",7.70%,7.7
"Bates County, Missouri",8.40%,8.4
"Bath County, Kentucky",8.80%,8.8
"Bath County, Virginia",7.50%,7.5
"Baxter County, Arkansas",8%,8
"Bay County, Florida",6.40%,6.4
"Bay County, Michigan",6.80%,6.8
"Bayamón Municipio, Puerto Rico",6.50%,6.5
"Bayfield County, Wisconsin",3.20%,3.2
"Baylor County, Texas",10.70%,10.7
"Beadle County, South Dakota",5.50%,5.5
"Bear Lake County, Idaho",6%,6
"Beaufort County, North Carolina",7.90%,7.9
"Beaufort County, South Carolina",4.30%,4.3
"Beauregard Parish, Louisiana",8%,8
"Beaver County, Oklahoma",6.30%,6.3
"Beaver County, Pennsylvania",3.90%,3.9
"Beaver County, Utah",4.60%,4.6
"Beaverhead County, Montana",4%,4
"Becker County, Minnesota",4.80%,4.8
"Beckham County, Oklahoma",11.30%,11.3
"Bedford County, Pennsylvania",6.90%,6.9
"Bedford County, Tennessee",9.30%,9.3
"Bedford County, Virginia",5%,5
"Bee County, Texas",12%,12
"Belknap County, New Hampshire",5.10%,5.1
"Bell County, Kentucky",12.60%,12.6
"Bell County, Texas",5.70%,5.7
"Belmont County, Ohio",6.60%,6.6
"Beltrami County, Minnesota",5.70%,5.7
"Ben Hill County, Georgia",11.10%,11.1
"Benewah County, Idaho",12.40%,12.4
"Bennett County, South Dakota",8.10%,8.1
"Bennington County, Vermont",4%,4
"Benson County, North Dakota",10.20%,10.2
"Bent County, Colorado",12%,12
"Benton County, Arkansas",5%,5
"Benton County, Indiana",7.90%,7.9
"Benton County, Iowa",4%,4
"Benton County, Minnesota",6.30%,6.3
"Benton County, Mississippi",12.80%,12.8
"Benton County, Missouri",8.50%,8.5
"Benton County, Oregon",2.50%,2.5
"Benton County, Tennessee",9.40%,9.4
"Benton County, Washington",4.80%,4.8
"Benzie County, Michigan",4.50%,4.5
"Bergen County, New Jersey",3%,3
"Berkeley County, South Carolina",6.90%,6.9
"Berkeley County, West Virginia",6.50%,6.5
"Berks County, Pennsylvania",7.20%,7.2
"Berkshire County, Massachusetts",4.50%,4.5
"Bernalillo County, New Mexico",6%,6
"Berrien County, Georgia",12.40%,12.4
"Berrien County, Michigan",5.80%,5.8
"Bertie County, North Carolina",14.80%,14.8
"Bethel Census Area, Alaska",11%,11
"Bexar County, Texas",7.50%,7.5
"Bibb County, Alabama",14.70%,14.7
"Bibb County, Georgia",9.80%,9.8
"Bienville Parish, Louisiana",10.90%,10.9
"Big Horn County, Montana",8.30%,8.3
"Big Horn County, Wyoming",8.30%,8.3
"Big Stone County, Minnesota",3.40%,3.4
"Billings County, North Dakota",3.30%,3.3
"Bingham County, Idaho",6.50%,6.5
"Black Hawk County, Iowa",4.60%,4.6
"Blackford County, Indiana",7.20%,7.2
"Bladen County, North Carolina",8.40%,8.4
"Blaine County, Idaho",4.90%,4.9
