Geographic Area,"Natural resources, construction, and maintenance occupations",Natural rescs
"Abbeville County, South Carolina",10.70%,10.7
"Acadia Parish, Louisiana",13.60%,13.6
"Accomack County, Virginia",14%,14
"Ada County, Idaho",8.50%,8.5
"Adair County, Iowa",14.70%,14.7
"Adair County, Kentucky",10.60%,10.6
"Adair County, Missouri",9.50%,9.5
"Adair County, Oklahoma",14.70%,14.7
"Adams County, Colorado",13.30%,13.3
"Adams County, Idaho",21.90%,21.9
"Adams County, Illinois",8.40%,8.4
"Adams County, Indiana",14.10%,14.1
"Adams County, Iowa",4.80%,4.8
"Adams County, Mississippi",10.70%,10.7
"Adams County, Nebraska",10.70%,10.7
"Adams County, North Dakota",19.40%,19.4
"Adams County, Ohio",9.70%,9.7
"Adams County, Pennsylvania",11.10%,11.1
"Adams County, Washington",28.90%,28.9
"Adams County, Wisconsin",11.40%,11.4
"Addison County, Vermont",12.60%,12.6
"Adjuntas Municipio, Puerto Rico",11.70%,11.7
"Aguada Municipio, Puerto Rico",13.40%,13.4
"Aguadilla Municipio, Puerto Rico",9.80%,9.8
"Aguas Buenas Municipio, Puerto Rico",13.30%,13.3
"Aibonito Municipio, Puerto Rico",12.80%,12.8
"Aiken County, South Carolina",9.90%,9.9
"Aitkin County, Minnesota",13.70%,13.7
"Alachua County, Florida",5.30%,5.3
"Alamance County, North Carolina",9.70%,9.7
"Alameda County, California",5.70%,5.7
"Alamosa County, Colorado",15.30%,15.3
"Albany County, New York",4.50%,4.5
"Albany County, Wyoming",10.30%,10.3
"Albemarle County, Virginia",5.20%,5.2
"Alcona County, Michigan",12.50%,12.5
"Alcorn County, Mississippi",8.20%,8.2
"Aleutians East Borough, Alaska",14.20%,14.2
"Aleutians West Census Area, Alaska",12.50%,12.5
"Alexander County, Illinois",6.50%,6.5
"Alexander County, North Carolina",10.70%,10.7
"Alexandria city, Virginia",4.50%,4.5
"Alfalfa County, Oklahoma",17.30%,17.3
"Alger County, Michigan",9.70%,9.7
"Allamakee County, Iowa",18.10%,18.1
"Allegan County, Michigan",11.30%,11.3
"Allegany County, Maryland",8.60%,8.6
"Allegany County, New York",11.30%,11.3
"Alleghany County, North Carolina",14.20%,14.2
"Alleghany County, Virginia",11.90%,11.9
"Allegheny County, Pennsylvania",5.80%,5.8
"Allen County, Indiana",6.80%,6.8
"Allen County, Kansas",13.10%,13.1
"Allen County, Kentucky",10.50%,10.5
"Allen County, Ohio",9%,9
"Allen Parish, Louisiana",14.20%,14.2
"Allendale County, South Carolina",8.20%,8.2
"Alpena County, Michigan",11.20%,11.2
"Alpine County, California",7.30%,7.3
"Amador County, California",12.30%,12.3
"Amelia County, Virginia",21.30%,21.3
"Amherst County, Virginia",11.40%,11.4
"Amite County, Mississippi",13.70%,13.7
"Añasco Municipio, Puerto Rico",9.40%,9.4
"Anchorage Municipality, Alaska",8.10%,8.1
"Anderson County, Kansas",22%,22
"Anderson County, Kentucky",9.40%,9.4
"Anderson County, South Carolina",8.70%,8.7
"Anderson County, Tennessee",10.80%,10.8
"Anderson County, Texas",14%,14
"Andrew County, Missouri",12%,12
"Andrews County, Texas",18%,18
"Androscoggin County, Maine",10%,10
"Angelina County, Texas",12.40%,12.4
"Anne Arundel County, Maryland",7.90%,7.9
"Anoka County, Minnesota",8.50%,8.5
"Anson County, North Carolina",10.80%,10.8
"Antelope County, Nebraska",19.20%,19.2
"Antrim County, Michigan",13.50%,13.5
"Apache County, Arizona",13.60%,13.6
"Appanoose County, Iowa",11.50%,11.5
"Appling County, Georgia",16.20%,16.2
"Appomattox County, Virginia",12.60%,12.6
"Aransas County, Texas",12.30%,12.3
"Arapahoe County, Colorado",7.90%,7.9
"Archer County, Texas",14.20%,14.2
"Archuleta County, Colorado",15.90%,15.9
"Arecibo Municipio, Puerto Rico",10.50%,10.5
"Arenac County, Michigan",13%,13
"Arkansas County, Arkansas",12.40%,12.4
"Arlington County, Virginia",2.50%,2.5
"Armstrong County, Pennsylvania",13.90%,13.9
"Armstrong County, Texas",16.90%,16.9
"Aroostook County, Maine",13.50%,13.5
"Arroyo Municipio, Puerto Rico",4.50%,4.5
"Arthur County, Nebraska",17.90%,17.9
"Ascension Parish, Louisiana",10.10%,10.1
"Ashe County, North Carolina",16.60%,16.6
"Ashland County, Ohio",10%,10
"Ashland County, Wisconsin",15.20%,15.2
"Ashley County, Arkansas",12.30%,12.3
"Ashtabula County, Ohio",12.30%,12.3
"Asotin County, Washington",10.40%,10.4
"Assumption Parish, Louisiana",15.70%,15.7
"Atascosa County, Texas",19.10%,19.1
"Atchison County, Kansas",10%,10
"Atchison County, Missouri",12.80%,12.8
"Athens County, Ohio",7.60%,7.6
"Atkinson County, Georgia",17.40%,17.4
"Atlantic County, New Jersey",7.70%,7.7
"Atoka County, Oklahoma",15.90%,15.9
"Attala County, Mississippi",10.90%,10.9
"Audrain County, Missouri",10.60%,10.6
"Audubon County, Iowa",15.50%,15.5
"Auglaize County, Ohio",8.10%,8.1
"Augusta County, Virginia",11.20%,11.2
"Aurora County, South Dakota",14.40%,14.4
"Austin County, Texas",14.20%,14.2
"Autauga County, Alabama",10%,10
"Avery County, North Carolina",13%,13
"Avoyelles Parish, Louisiana",15.90%,15.9
"Baca County, Colorado",17.10%,17.1
"Bacon County, Georgia",20.90%,20.9
"Bailey County, Texas",20.40%,20.4
"Baker County, Florida",9.40%,9.4
"Baker County, Georgia",11.90%,11.9
"Baker County, Oregon",10.80%,10.8
"Baldwin County, Alabama",9.90%,9.9
"Baldwin County, Georgia",10%,10
"Ballard County, Kentucky",14.80%,14.8
"Baltimore city, Maryland",5%,5
"Baltimore County, Maryland",6.30%,6.3
"Bamberg County, South Carolina",10.70%,10.7
"Bandera County, Texas",13.40%,13.4
"Banks County, Georgia",12.50%,12.5
"Banner County, Nebraska",15.50%,15.5
"Bannock County, Idaho",9.10%,9.1
"Baraga County, Michigan",13.60%,13.6
"Barber County, Kansas",16.70%,16.7
"Barbour County, Alabama",12.50%,12.5
"Barbour County, West Virginia",18.10%,18.1
"Barceloneta Municipio, Puerto Rico",9.90%,9.9
"Barnes County, North Dakota",13.90%,13.9
"Barnstable County, Massachusetts",10.80%,10.8
"Barnwell County, South Carolina",9.50%,9.5
"Barranquitas Municipio, Puerto Rico",14.90%,14.9
"Barren County, Kentucky",10.60%,10.6
"Barron County, Wisconsin",11.70%,11.7
"Barrow County, Georgia",12.30%,12.3
"Barry County, Michigan",13.10%,13.1
"Barry County, Missouri",13.40%,13.4
"Bartholomew County, Indiana",5.60%,5.6
"Barton County, Kansas",11.40%,11.4
"Barton County, Missouri",15%,15
"Bartow County, Georgia",11%,11
"Bastrop County, Texas",15.60%,15.6
"Bates County, Missouri",18.90%,18.9
"Bath County, Kentucky",7.60%,7.6
"Bath County, Virginia",17.80%,17.8
"Baxter County, Arkansas",9.10%,9.1
"Bay County, Florida",10.80%,10.8
"Bay County, Michigan",10.50%,10.5
"Bayamón Municipio, Puerto Rico",7.50%,7.5
"Bayfield County, Wisconsin",12.10%,12.1
"Baylor County, Texas",16.50%,16.5
"Beadle County, South Dakota",11.30%,11.3
"Bear Lake County, Idaho",18.10%,18.1
"Beaufort County, North Carolina",14.70%,14.7
"Beaufort County, South Carolina",9.40%,9.4
"Beauregard Parish, Louisiana",18.50%,18.5
"Beaver County, Oklahoma",23.20%,23.2
"Beaver County, Pennsylvania",10.20%,10.2
"Beaver County, Utah",14.50%,14.5
"Beaverhead County, Montana",14.60%,14.6
"Becker County, Minnesota",11.80%,11.8
"Beckham County, Oklahoma",20.80%,20.8
"Bedford County, Pennsylvania",12.70%,12.7
"Bedford County, Tennessee",14.10%,14.1
"Bedford County, Virginia",9.70%,9.7
"Bee County, Texas",12.30%,12.3
"Belknap County, New Hampshire",9.90%,9.9
"Bell County, Kentucky",7.80%,7.8
"Bell County, Texas",10.40%,10.4
"Belmont County, Ohio",12.80%,12.8
"Beltrami County, Minnesota",9.50%,9.5
"Ben Hill County, Georgia",10.90%,10.9
"Benewah County, Idaho",19.60%,19.6
"Bennett County, South Dakota",12.10%,12.1
"Bennington County, Vermont",7.50%,7.5
"Benson County, North Dakota",10%,10
"Bent County, Colorado",15%,15
"Benton County, Arkansas",9.40%,9.4
"Benton County, Indiana",12.30%,12.3
"Benton County, Iowa",14.80%,14.8
"Benton County, Minnesota",10.30%,10.3
"Benton County, Mississippi",15.60%,15.6
"Benton County, Missouri",15.60%,15.6
"Benton County, Oregon",5.90%,5.9
"Benton County, Tennessee",10.50%,10.5
"Benton County, Washington",12.20%,12.2
"Benzie County, Michigan",9.20%,9.2
"Bergen County, New Jersey",5.30%,5.3
"Berkeley County, South Carolina",11.60%,11.6
"Berkeley County, West Virginia",8.80%,8.8
"Berks County, Pennsylvania",9%,9
"Berkshire County, Massachusetts",8.10%,8.1
"Bernalillo County, New Mexico",8.10%,8.1
"Berrien County, Georgia",15.60%,15.6
"Berrien County, Michigan",9.10%,9.1
"Bertie County, North Carolina",12.10%,12.1
"Bethel Census Area, Alaska",12.50%,12.5
"Bexar County, Texas",9.50%,9.5
"Bibb County, Alabama",16.40%,16.4
"Bibb County, Georgia",7%,7
"Bienville Parish, Louisiana",16.80%,16.8
"Big Horn County, Montana",12%,12
"Big Horn County, Wyoming",19.60%,19.6
"Big Stone County, Minnesota",10.70%,10.7
"Billings County, North Dakota",18%,18
"Bingham County, Idaho",15.40%,15.4
"Black Hawk County, Iowa",7.40%,7.4
"Blackford County, Indiana",10.70%,10.7
"Bladen County, North Carolina",13.80%,13.8
"Blaine County, Idaho",14.80%,14.8
"Blaine County, Montana",15%,15
"Blaine County, Nebraska",30.10%,30.1
"Blaine County, Oklahoma",16.40%,16.4
"Blair County, Pennsylvania",9.50%,9.5
"Blanco County, Texas",15.50%,15.5
"Bland County, Virginia",14.40%,14.4
"Bleckley County, Georgia",10.60%,10.6
"Bledsoe County, Tennessee",23.10%,23.1
"Blount County, Alabama",15.80%,15.8
"Blount County, Tennessee",10.90%,10.9
"Blue Earth County, Minnesota",7.50%,7.5
"Boise County, Idaho",13.30%,13.3
"Bolivar County, Mississippi",10.30%,10.3
"Bollinger County, Missouri",20.70%,20.7
"Bon Homme County, South Dakota",12.40%,12.4
"Bond County, Illinois",12.90%,12.9
"Bonner County, Idaho",13.40%,13.4
"Bonneville County, Idaho",9.90%,9.9
"Boone County, Arkansas",9.30%,9.3
"Boone County, Illinois",9.40%,9.4
"Boone County, Indiana",5.80%,5.8
"Boone County, Iowa",12.30%,12.3
"Boone County, Kentucky",8.40%,8.4
"Boone County, Missouri",6.60%,6.6
"Boone County, Nebraska",15.20%,15.2
"Boone County, West Virginia",15.40%,15.4
"Borden County, Texas",17.20%,17.2
"Bosque County, Texas",15.90%,15.9
"Bossier Parish, Louisiana",9.80%,9.8
"Botetourt County, Virginia",8.70%,8.7
"Bottineau County, North Dakota",20.70%,20.7
"Boulder County, Colorado",5%,5
"Boundary County, Idaho",18.50%,18.5
"Bourbon County, Kansas",9.80%,9.8
"Bourbon County, Kentucky",10.60%,10.6
"Bowie County, Texas",9.60%,9.6
"Bowman County, North Dakota",19.30%,19.3
"Box Butte County, Nebraska",10.60%,10.6
"Box Elder County, Utah",11.10%,11.1
"Boyd County, Kentucky",9%,9
"Boyd County, Nebraska",14.40%,14.4
"Boyle County, Kentucky",8.70%,8.7
"Bracken County, Kentucky",11.40%,11.4
"Bradford County, Florida",10.40%,10.4
"Bradford County, Pennsylvania",11.60%,11.6
"Bradley County, Arkansas",12%,12
"Bradley County, Tennessee",7.10%,7.1
"Branch County, Michigan",10.90%,10.9
"Brantley County, Georgia",15.40%,15.4
"Braxton County, West Virginia",13.80%,13.8
"Brazoria County, Texas",11.50%,11.5
"Brazos County, Texas",8%,8
"Breathitt County, Kentucky",11.70%,11.7
"Breckinridge County, Kentucky",11.20%,11.2
"Bremer County, Iowa",8.30%,8.3
"Brevard County, Florida",8.50%,8.5
"Brewster County, Texas",7.80%,7.8
"Briscoe County, Texas",22.40%,22.4
