Geographic Area,VEHICLES AVAILABLE—No vehicle available—Estimate,No vhcl
"Abbeville County, South Carolina",6.50%,6.5
"Acadia Parish, Louisiana",9.20%,9.2
"Accomack County, Virginia",8%,8
"Ada County, Idaho",3.50%,3.5
"Adair County, Iowa",4.50%,4.5
"Adair County, Kentucky",5.50%,5.5
"Adair County, Missouri",7%,7
"Adair County, Oklahoma",10.10%,10.1
"Adams County, Colorado",4.60%,4.6
"Adams County, Idaho",1.10%,1.1
"Adams County, Illinois",7.20%,7.2
"Adams County, Indiana",14%,14
"Adams County, Iowa",4.40%,4.4
"Adams County, Mississippi",8.60%,8.6
"Adams County, Nebraska",5%,5
"Adams County, North Dakota",7.10%,7.1
"Adams County, Ohio",7.80%,7.8
"Adams County, Pennsylvania",4.70%,4.7
"Adams County, Washington",7.40%,7.4
"Adams County, Wisconsin",5.10%,5.1
"Addison County, Vermont",4.10%,4.1
"Adjuntas Municipio, Puerto Rico",11.60%,11.6
"Aguada Municipio, Puerto Rico",12%,12
"Aguadilla Municipio, Puerto Rico",16.30%,16.3
"Aguas Buenas Municipio, Puerto Rico",13.30%,13.3
"Aibonito Municipio, Puerto Rico",13.20%,13.2
"Aiken County, South Carolina",5.80%,5.8
"Aitkin County, Minnesota",5.20%,5.2
"Alachua County, Florida",7.10%,7.1
"Alamance County, North Carolina",5%,5
"Alameda County, California",9.30%,9.3
"Alamosa County, Colorado",6.20%,6.2
"Albany County, New York",12.50%,12.5
"Albany County, Wyoming",4.90%,4.9
"Albemarle County, Virginia",4.70%,4.7
"Alcona County, Michigan",3.50%,3.5
"Alcorn County, Mississippi",7.70%,7.7
"Aleutians East Borough, Alaska",25%,25
"Aleutians West Census Area, Alaska",9.90%,9.9
"Alexander County, Illinois",10.60%,10.6
"Alexander County, North Carolina",2.80%,2.8
"Alexandria city, Virginia",11%,11
"Alfalfa County, Oklahoma",1.90%,1.9
"Alger County, Michigan",5.90%,5.9
"Allamakee County, Iowa",4%,4
"Allegan County, Michigan",3.10%,3.1
"Allegany County, Maryland",9.60%,9.6
"Allegany County, New York",7.30%,7.3
