Geographic Area,Percent below poverty level,Povrty lvl
"Abbeville County, South Carolina",15.90%,15.9
"Acadia Parish, Louisiana",23.70%,23.7
"Accomack County, Virginia",15.90%,15.9
"Ada County, Idaho",8.80%,8.8
"Adair County, Iowa",10.10%,10.1
"Adair County, Kentucky",19.80%,19.8
"Adair County, Missouri",23.60%,23.6
"Adair County, Oklahoma",22.30%,22.3
"Adams County, Colorado",9.60%,9.6
"Adams County, Idaho",14.60%,14.6
"Adams County, Illinois",12.10%,12.1
"Adams County, Indiana",11.50%,11.5
"Adams County, Iowa",9.50%,9.5
"Adams County, Mississippi",27.20%,27.2
"Adams County, Nebraska",12%,12
"Adams County, North Dakota",13.40%,13.4
"Adams County, Ohio",19.60%,19.6
"Adams County, Pennsylvania",7.90%,7.9
"Adams County, Washington",20.90%,20.9
"Adams County, Wisconsin",14.60%,14.6
"Addison County, Vermont",7.50%,7.5
"Adjuntas Municipio, Puerto Rico",63.40%,63.4
"Aguada Municipio, Puerto Rico",47.20%,47.2
"Aguadilla Municipio, Puerto Rico",48.70%,48.7
"Aguas Buenas Municipio, Puerto Rico",42.90%,42.9
"Aibonito Municipio, Puerto Rico",42.50%,42.5
"Aiken County, South Carolina",14.20%,14.2
"Aitkin County, Minnesota",12.40%,12.4
"Alachua County, Florida",20.20%,20.2
"Alamance County, North Carolina",14.20%,14.2
"Alameda County, California",9.20%,9.2
"Alamosa County, Colorado",15.50%,15.5
"Albany County, New York",12.50%,12.5
"Albany County, Wyoming",23%,23
"Albemarle County, Virginia",7.10%,7.1
"Alcona County, Michigan",15.80%,15.8
"Alcorn County, Mississippi",17.10%,17.1
"Aleutians East Borough, Alaska",12.60%,12.6
"Aleutians West Census Area, Alaska",9.60%,9.6
"Alexander County, Illinois",21.40%,21.4
"Alexander County, North Carolina",12.20%,12.2
"Alexandria city, Virginia",8.80%,8.8
"Alfalfa County, Oklahoma",11.80%,11.8
"Alger County, Michigan",10.30%,10.3
"Allamakee County, Iowa",11.60%,11.6
"Allegan County, Michigan",9.50%,9.5
"Allegany County, Maryland",15.90%,15.9
"Allegany County, New York",17.10%,17.1
"Alleghany County, North Carolina",19.50%,19.5
"Alleghany County, Virginia",13.70%,13.7
"Allegheny County, Pennsylvania",11.10%,11.1
"Allen County, Indiana",12%,12
"Allen County, Kansas",15.20%,15.2
"Allen County, Kentucky",16.50%,16.5
"Allen County, Ohio",12.30%,12.3
"Allen Parish, Louisiana",19.60%,19.6
