Geographic Area,Service occupations,Service job
"Abbeville County, South Carolina",13.30%,13.3
"Acadia Parish, Louisiana",20%,20
"Accomack County, Virginia",19.50%,19.5
"Ada County, Idaho",14.30%,14.3
"Adair County, Iowa",13.90%,13.9
"Adair County, Kentucky",14.10%,14.1
"Adair County, Missouri",15.70%,15.7
"Adair County, Oklahoma",18%,18
"Adams County, Colorado",16.60%,16.6
"Adams County, Idaho",22.60%,22.6
"Adams County, Illinois",18.40%,18.4
"Adams County, Indiana",12.40%,12.4
"Adams County, Iowa",17.80%,17.8
"Adams County, Mississippi",23.10%,23.1
"Adams County, Nebraska",21.10%,21.1
"Adams County, North Dakota",13.50%,13.5
"Adams County, Ohio",16%,16
"Adams County, Pennsylvania",17.60%,17.6
"Adams County, Washington",13.70%,13.7
"Adams County, Wisconsin",21%,21
"Addison County, Vermont",13.50%,13.5
"Adjuntas Municipio, Puerto Rico",30.30%,30.3
"Aguada Municipio, Puerto Rico",23.80%,23.8
"Aguadilla Municipio, Puerto Rico",21.20%,21.2
"Aguas Buenas Municipio, Puerto Rico",23.50%,23.5
"Aibonito Municipio, Puerto Rico",22.40%,22.4
"Aiken County, South Carolina",16.90%,16.9
"Aitkin County, Minnesota",18.30%,18.3
"Alachua County, Florida",18.40%,18.4
"Alamance County, North Carolina",15.90%,15.9
"Alameda County, California",13.80%,13.8
"Alamosa County, Colorado",17.30%,17.3
"Albany County, New York",16.40%,16.4
"Albany County, Wyoming",14.90%,14.9
"Albemarle County, Virginia",15.20%,15.2
"Alcona County, Michigan",18.20%,18.2
"Alcorn County, Mississippi",17.10%,17.1
"Aleutians East Borough, Alaska",8.70%,8.7
"Aleutians West Census Area, Alaska",14.60%,14.6
"Alexander County, Illinois",20.10%,20.1
"Alexander County, North Carolina",13.30%,13.3
"Alexandria city, Virginia",13.80%,13.8
"Alfalfa County, Oklahoma",12.40%,12.4
"Alger County, Michigan",22.30%,22.3
"Allamakee County, Iowa",12.90%,12.9
"Allegan County, Michigan",14.90%,14.9
"Allegany County, Maryland",21.40%,21.4
"Allegany County, New York",18.20%,18.2
"Alleghany County, North Carolina",17.50%,17.5
"Alleghany County, Virginia",19.80%,19.8
"Allegheny County, Pennsylvania",15.60%,15.6
"Allen County, Indiana",15.40%,15.4
"Allen County, Kansas",15.90%,15.9
"Allen County, Kentucky",15.50%,15.5
"Allen County, Ohio",17.80%,17.8
"Allen Parish, Louisiana",22.50%,22.5
"Allendale County, South Carolina",19.70%,19.7
"Alpena County, Michigan",20.20%,20.2
"Alpine County, California",9.90%,9.9
"Amador County, California",23.60%,23.6
"Amelia County, Virginia",14.90%,14.9
"Amherst County, Virginia",16.90%,16.9
"Amite County, Mississippi",16.10%,16.1
"Añasco Municipio, Puerto Rico",25.70%,25.7
"Anchorage Municipality, Alaska",18.10%,18.1
"Anderson County, Kansas",19.30%,19.3
"Anderson County, Kentucky",13%,13
"Anderson County, South Carolina",15.30%,15.3
"Anderson County, Tennessee",14.60%,14.6
"Anderson County, Texas",21.30%,21.3
"Andrew County, Missouri",12.40%,12.4
"Andrews County, Texas",19.30%,19.3
"Androscoggin County, Maine",17.20%,17.2
"Angelina County, Texas",19.50%,19.5
"Anne Arundel County, Maryland",13.60%,13.6
"Anoka County, Minnesota",14.70%,14.7
"Anson County, North Carolina",19%,19
"Antelope County, Nebraska",13.60%,13.6
"Antrim County, Michigan",17.30%,17.3
"Apache County, Arizona",21.30%,21.3
"Appanoose County, Iowa",14.50%,14.5
"Appling County, Georgia",15.90%,15.9
"Appomattox County, Virginia",14.70%,14.7
"Aransas County, Texas",23.10%,23.1
"Arapahoe County, Colorado",15.30%,15.3
"Archer County, Texas",16.10%,16.1
"Archuleta County, Colorado",23.40%,23.4
"Arecibo Municipio, Puerto Rico",21%,21
"Arenac County, Michigan",18%,18
"Arkansas County, Arkansas",15.30%,15.3
"Arlington County, Virginia",8.80%,8.8
"Armstrong County, Pennsylvania",17.50%,17.5
"Armstrong County, Texas",18.60%,18.6
"Aroostook County, Maine",16.70%,16.7
"Arroyo Municipio, Puerto Rico",24%,24
"Arthur County, Nebraska",10.80%,10.8
"Ascension Parish, Louisiana",12.60%,12.6
"Ashe County, North Carolina",16.30%,16.3
"Ashland County, Ohio",13.60%,13.6
"Ashland County, Wisconsin",18.10%,18.1
"Ashley County, Arkansas",19.40%,19.4
"Ashtabula County, Ohio",18.40%,18.4
"Asotin County, Washington",21.40%,21.4
"Assumption Parish, Louisiana",11.40%,11.4
"Atascosa County, Texas",17.80%,17.8
"Atchison County, Kansas",21.10%,21.1
"Atchison County, Missouri",20.50%,20.5
"Athens County, Ohio",22.40%,22.4
"Atkinson County, Georgia",14.30%,14.3
"Atlantic County, New Jersey",25.80%,25.8
"Atoka County, Oklahoma",18.80%,18.8
"Attala County, Mississippi",19.50%,19.5
"Audrain County, Missouri",18.90%,18.9
"Audubon County, Iowa",15.50%,15.5
"Auglaize County, Ohio",15.70%,15.7
"Augusta County, Virginia",14.80%,14.8
"Aurora County, South Dakota",13.70%,13.7
"Austin County, Texas",15.20%,15.2
"Autauga County, Alabama",14.20%,14.2
"Avery County, North Carolina",24%,24
"Avoyelles Parish, Louisiana",28.40%,28.4
"Baca County, Colorado",14.90%,14.9
"Bacon County, Georgia",15.60%,15.6
"Bailey County, Texas",7%,7
"Baker County, Florida",20.10%,20.1
"Baker County, Georgia",14%,14
"Baker County, Oregon",20.80%,20.8
"Baldwin County, Alabama",17.10%,17.1
"Baldwin County, Georgia",20.50%,20.5
"Ballard County, Kentucky",14.20%,14.2
"Baltimore city, Maryland",17.70%,17.7
"Baltimore County, Maryland",15.40%,15.4
"Bamberg County, South Carolina",15.40%,15.4
"Bandera County, Texas",19.40%,19.4
"Banks County, Georgia",15.30%,15.3
"Banner County, Nebraska",8.60%,8.6
"Bannock County, Idaho",17.30%,17.3
"Baraga County, Michigan",20%,20
"Barber County, Kansas",16%,16
"Barbour County, Alabama",20.20%,20.2
"Barbour County, West Virginia",22.30%,22.3
"Barceloneta Municipio, Puerto Rico",19.80%,19.8
"Barnes County, North Dakota",18.70%,18.7
"Barnstable County, Massachusetts",18.80%,18.8
"Barnwell County, South Carolina",23.30%,23.3
"Barranquitas Municipio, Puerto Rico",18.20%,18.2
"Barren County, Kentucky",16%,16
"Barron County, Wisconsin",15.70%,15.7
"Barrow County, Georgia",15.40%,15.4
"Barry County, Michigan",13.20%,13.2
"Barry County, Missouri",16.20%,16.2
"Bartholomew County, Indiana",15.10%,15.1
"Barton County, Kansas",18.80%,18.8
"Barton County, Missouri",17.20%,17.2
"Bartow County, Georgia",14%,14
"Bastrop County, Texas",16.70%,16.7
"Bates County, Missouri",16.60%,16.6
"Bath County, Kentucky",17.80%,17.8
"Bath County, Virginia",22.10%,22.1
"Baxter County, Arkansas",14.70%,14.7
"Bay County, Florida",18.20%,18.2
"Bay County, Michigan",18.40%,18.4
"Bayamón Municipio, Puerto Rico",18.80%,18.8
"Bayfield County, Wisconsin",21.10%,21.1
"Baylor County, Texas",14%,14
"Beadle County, South Dakota",12.70%,12.7
"Bear Lake County, Idaho",20.70%,20.7
"Beaufort County, North Carolina",17.30%,17.3
"Beaufort County, South Carolina",19.80%,19.8
"Beauregard Parish, Louisiana",11.20%,11.2
"Beaver County, Oklahoma",15.70%,15.7
"Beaver County, Pennsylvania",17.10%,17.1
"Beaver County, Utah",16.10%,16.1
"Beaverhead County, Montana",15%,15
"Becker County, Minnesota",17.90%,17.9
"Beckham County, Oklahoma",20.50%,20.5
"Bedford County, Pennsylvania",16.60%,16.6
"Bedford County, Tennessee",17.50%,17.5
"Bedford County, Virginia",12.60%,12.6
"Bee County, Texas",23.30%,23.3
"Belknap County, New Hampshire",18.30%,18.3
"Bell County, Kentucky",21%,21
"Bell County, Texas",19%,19
"Belmont County, Ohio",18.90%,18.9
"Beltrami County, Minnesota",20.90%,20.9
"Ben Hill County, Georgia",16.70%,16.7
"Benewah County, Idaho",19.90%,19.9
"Bennett County, South Dakota",17.40%,17.4
"Bennington County, Vermont",16.80%,16.8
"Benson County, North Dakota",21%,21
"Bent County, Colorado",21.80%,21.8
"Benton County, Arkansas",13.90%,13.9
"Benton County, Indiana",18%,18
"Benton County, Iowa",15%,15
"Benton County, Minnesota",17.30%,17.3
"Benton County, Mississippi",17.20%,17.2
"Benton County, Missouri",16.50%,16.5
"Benton County, Oregon",18.20%,18.2
"Benton County, Tennessee",20%,20
"Benton County, Washington",16.10%,16.1
"Benzie County, Michigan",20.30%,20.3
"Bergen County, New Jersey",12.40%,12.4
"Berkeley County, South Carolina",15.50%,15.5
"Berkeley County, West Virginia",15.30%,15.3
"Berks County, Pennsylvania",15.80%,15.8
"Berkshire County, Massachusetts",18.70%,18.7
"Bernalillo County, New Mexico",17.90%,17.9
"Berrien County, Georgia",14.50%,14.5
"Berrien County, Michigan",17.30%,17.3
"Bertie County, North Carolina",17.20%,17.2
"Bethel Census Area, Alaska",18.40%,18.4
"Bexar County, Texas",18.60%,18.6
"Bibb County, Alabama",15.30%,15.3
"Bibb County, Georgia",18.60%,18.6
"Bienville Parish, Louisiana",22.50%,22.5
"Big Horn County, Montana",22.70%,22.7
"Big Horn County, Wyoming",17.70%,17.7
