Geographic Area,Unemployment rate—Population 16 years and over—Estimate,Unemploymt
"Abbeville County, South Carolina",2.80%,2.8
"Acadia Parish, Louisiana",8.80%,8.8
"Accomack County, Virginia",3.70%,3.7
"Ada County, Idaho",3.20%,3.2
"Adair County, Iowa",3.90%,3.9
"Adair County, Kentucky",6.60%,6.6
"Adair County, Missouri",5.50%,5.5
"Adair County, Oklahoma",6.40%,6.4
"Adams County, Colorado",4.60%,4.6
"Adams County, Idaho",8.70%,8.7
"Adams County, Illinois",3.90%,3.9
"Adams County, Indiana",3.20%,3.2
"Adams County, Iowa",4.20%,4.2
"Adams County, Mississippi",7.10%,7.1
"Adams County, Nebraska",2.70%,2.7
"Adams County, North Dakota",0.70%,0.7
"Adams County, Ohio",5.80%,5.8
"Adams County, Pennsylvania",3.40%,3.4
"Adams County, Washington",6.30%,6.3
"Adams County, Wisconsin",5%,5
"Addison County, Vermont",4.10%,4.1
"Adjuntas Municipio, Puerto Rico",21.90%,21.9
"Aguada Municipio, Puerto Rico",7.60%,7.6
"Aguadilla Municipio, Puerto Rico",15.50%,15.5
"Aguas Buenas Municipio, Puerto Rico",5.20%,5.2
"Aibonito Municipio, Puerto Rico",6.40%,6.4
"Aiken County, South Carolina",6.20%,6.2
"Aitkin County, Minnesota",5.80%,5.8
"Alachua County, Florida",5.10%,5.1
"Alamance County, North Carolina",5%,5
"Alameda County, California",4.90%,4.9
"Alamosa County, Colorado",3.40%,3.4
"Albany County, New York",5.20%,5.2
"Albany County, Wyoming",4.40%,4.4
"Albemarle County, Virginia",3.10%,3.1
"Alcona County, Michigan",6.30%,6.3
"Alcorn County, Mississippi",6.40%,6.4
"Aleutians East Borough, Alaska",4.40%,4.4
"Aleutians West Census Area, Alaska",3%,3
"Alexander County, Illinois",9.30%,9.3
"Alexander County, North Carolina",5.60%,5.6
"Alexandria city, Virginia",3.20%,3.2
"Alfalfa County, Oklahoma",4%,4
"Alger County, Michigan",5.10%,5.1
"Allamakee County, Iowa",3.20%,3.2
"Allegan County, Michigan",3.40%,3.4
"Allegany County, Maryland",6.80%,6.8
"Allegany County, New York",7.30%,7.3
"Alleghany County, North Carolina",5.30%,5.3
"Alleghany County, Virginia",3.70%,3.7
"Allegheny County, Pennsylvania",4.90%,4.9
"Allen County, Indiana",4.80%,4.8
"Allen County, Kansas",7.30%,7.3
"Allen County, Kentucky",7.30%,7.3
"Allen County, Ohio",6.10%,6.1
"Allen Parish, Louisiana",8.90%,8.9
"Allendale County, South Carolina",13.50%,13.5
"Alpena County, Michigan",7.40%,7.4
"Alpine County, California",4.90%,4.9
"Amador County, California",6%,6
"Amelia County, Virginia",4.10%,4.1
"Amherst County, Virginia",4.50%,4.5
"Amite County, Mississippi",7.50%,7.5
"Añasco Municipio, Puerto Rico",8.40%,8.4
"Anchorage Municipality, Alaska",5.20%,5.2
"Anderson County, Kansas",3.30%,3.3
"Anderson County, Kentucky",5.40%,5.4
"Anderson County, South Carolina",5.50%,5.5
"Anderson County, Tennessee",5.40%,5.4
"Anderson County, Texas",3.90%,3.9
"Andrew County, Missouri",4.10%,4.1
"Andrews County, Texas",2.70%,2.7
"Androscoggin County, Maine",4.80%,4.8
"Angelina County, Texas",6%,6
"Anne Arundel County, Maryland",4.20%,4.2
"Anoka County, Minnesota",4%,4
"Anson County, North Carolina",6.40%,6.4
"Antelope County, Nebraska",2.10%,2.1
"Antrim County, Michigan",4.60%,4.6
"Apache County, Arizona",9.50%,9.5
"Appanoose County, Iowa",6.10%,6.1
"Appling County, Georgia",3.30%,3.3
"Appomattox County, Virginia",3.50%,3.5
"Aransas County, Texas",4.40%,4.4
"Arapahoe County, Colorado",4.60%,4.6
"Archer County, Texas",3.10%,3.1
"Archuleta County, Colorado",4.80%,4.8
"Arecibo Municipio, Puerto Rico",17.60%,17.6
"Arenac County, Michigan",7.20%,7.2
"Arkansas County, Arkansas",6.50%,6.5
"Arlington County, Virginia",2.80%,2.8
"Armstrong County, Pennsylvania",5.10%,5.1
"Armstrong County, Texas",0.20%,0.2
"Aroostook County, Maine",5.80%,5.8
"Arroyo Municipio, Puerto Rico",11.20%,11.2
"Arthur County, Nebraska",0.40%,0.4
"Ascension Parish, Louisiana",4.50%,4.5
"Ashe County, North Carolina",5.10%,5.1
"Ashland County, Ohio",3.70%,3.7
"Ashland County, Wisconsin",4.40%,4.4
"Ashley County, Arkansas",6%,6
"Ashtabula County, Ohio",7.60%,7.6
"Asotin County, Washington",5.90%,5.9
"Assumption Parish, Louisiana",8%,8
"Atascosa County, Texas",6.40%,6.4
"Atchison County, Kansas",4.50%,4.5
"Atchison County, Missouri",2.60%,2.6
"Athens County, Ohio",5.70%,5.7
"Atkinson County, Georgia",4.60%,4.6
"Atlantic County, New Jersey",8.30%,8.3
"Atoka County, Oklahoma",5.60%,5.6
"Attala County, Mississippi",7.20%,7.2
"Audrain County, Missouri",3.90%,3.9
"Audubon County, Iowa",0.70%,0.7
"Auglaize County, Ohio",2.90%,2.9
"Augusta County, Virginia",3%,3
"Aurora County, South Dakota",0.80%,0.8
"Austin County, Texas",3.80%,3.8
"Autauga County, Alabama",2.80%,2.8
"Avery County, North Carolina",5%,5
"Avoyelles Parish, Louisiana",7.50%,7.5
"Baca County, Colorado",1.70%,1.7
"Bacon County, Georgia",4.30%,4.3
"Bailey County, Texas",2.10%,2.1
"Baker County, Florida",4.90%,4.9
"Baker County, Georgia",12.20%,12.2
"Baker County, Oregon",5.50%,5.5
"Baldwin County, Alabama",3.40%,3.4
"Baldwin County, Georgia",7%,7
"Ballard County, Kentucky",5.20%,5.2
"Baltimore city, Maryland",6.90%,6.9
"Baltimore County, Maryland",5.20%,5.2
"Bamberg County, South Carolina",11%,11
"Bandera County, Texas",6.70%,6.7
"Banks County, Georgia",2.50%,2.5
"Banner County, Nebraska",3.30%,3.3
"Bannock County, Idaho",5.10%,5.1
"Baraga County, Michigan",4.90%,4.9
"Barber County, Kansas",2.40%,2.4
"Barbour County, Alabama",5.80%,5.8
"Barbour County, West Virginia",10.10%,10.1
"Barceloneta Municipio, Puerto Rico",15.80%,15.8
"Barnes County, North Dakota",3.30%,3.3
"Barnstable County, Massachusetts",4.50%,4.5
"Barnwell County, South Carolina",5.90%,5.9
"Barranquitas Municipio, Puerto Rico",15.50%,15.5
"Barren County, Kentucky",4.90%,4.9
"Barron County, Wisconsin",3.20%,3.2
"Barrow County, Georgia",4%,4
"Barry County, Michigan",5.30%,5.3
"Barry County, Missouri",3.60%,3.6
"Bartholomew County, Indiana",3.60%,3.6
"Barton County, Kansas",4.10%,4.1
"Barton County, Missouri",6.10%,6.1
"Bartow County, Georgia",5.50%,5.5
"Bastrop County, Texas",4.40%,4.4
"Bates County, Missouri",7.50%,7.5
"Bath County, Kentucky",2.90%,2.9
"Bath County, Virginia",2%,2
"Baxter County, Arkansas",5.10%,5.1
"Bay County, Florida",4%,4
"Bay County, Michigan",4.80%,4.8
"Bayamón Municipio, Puerto Rico",9.90%,9.9
"Bayfield County, Wisconsin",3.60%,3.6
"Baylor County, Texas",1.10%,1.1
"Beadle County, South Dakota",2.30%,2.3
"Bear Lake County, Idaho",4.30%,4.3
"Beaufort County, North Carolina",5.60%,5.6
"Beaufort County, South Carolina",3.10%,3.1
"Beauregard Parish, Louisiana",8.10%,8.1
"Beaver County, Oklahoma",1.90%,1.9
"Beaver County, Pennsylvania",5.60%,5.6
"Beaver County, Utah",3.60%,3.6
"Beaverhead County, Montana",2.80%,2.8
"Becker County, Minnesota",4.30%,4.3
"Beckham County, Oklahoma",6.20%,6.2
"Bedford County, Pennsylvania",4.30%,4.3
"Bedford County, Tennessee",4.60%,4.6
"Bedford County, Virginia",2.90%,2.9
"Bee County, Texas",6.40%,6.4
"Belknap County, New Hampshire",2.70%,2.7
"Bell County, Kentucky",10%,10
"Bell County, Texas",7.70%,7.7
"Belmont County, Ohio",6%,6
"Beltrami County, Minnesota",5.40%,5.4
"Ben Hill County, Georgia",5%,5
"Benewah County, Idaho",3.80%,3.8
"Bennett County, South Dakota",7.90%,7.9
"Bennington County, Vermont",4.20%,4.2
"Benson County, North Dakota",2.20%,2.2
"Bent County, Colorado",5.50%,5.5
"Benton County, Arkansas",2.90%,2.9
"Benton County, Indiana",3.70%,3.7
"Benton County, Iowa",2.30%,2.3
"Benton County, Minnesota",3.70%,3.7
"Benton County, Mississippi",4.40%,4.4
"Benton County, Missouri",5%,5
"Benton County, Oregon",6.80%,6.8
"Benton County, Tennessee",6.50%,6.5
"Benton County, Washington",4.80%,4.8
"Benzie County, Michigan",4.50%,4.5
"Bergen County, New Jersey",5.50%,5.5
"Berkeley County, South Carolina",3.80%,3.8
"Berkeley County, West Virginia",4.60%,4.6
"Berks County, Pennsylvania",5.40%,5.4
"Berkshire County, Massachusetts",5.30%,5.3
"Bernalillo County, New Mexico",5.40%,5.4
"Berrien County, Georgia",4.60%,4.6
"Berrien County, Michigan",6.60%,6.6
"Bertie County, North Carolina",6.40%,6.4
"Bethel Census Area, Alaska",16.20%,16.2
"Bexar County, Texas",5.50%,5.5
"Bibb County, Alabama",8.70%,8.7
"Bibb County, Georgia",7.50%,7.5
"Bienville Parish, Louisiana",5.60%,5.6
"Big Horn County, Montana",15%,15
"Big Horn County, Wyoming",6%,6
"Big Stone County, Minnesota",2%,2
"Billings County, North Dakota",2.10%,2.1
"Bingham County, Idaho",6.10%,6.1
"Black Hawk County, Iowa",5.20%,5.2
"Blackford County, Indiana",5.50%,5.5
"Bladen County, North Carolina",5.50%,5.5
"Blaine County, Idaho",2.30%,2.3
"Blaine County, Montana",13.20%,13.2
"Blaine County, Nebraska",1.90%,1.9
"Blaine County, Oklahoma",6.80%,6.8
"Blair County, Pennsylvania",4.20%,4.2
"Blanco County, Texas",3.90%,3.9
"Bland County, Virginia",3.30%,3.3
"Bleckley County, Georgia",6.10%,6.1
"Bledsoe County, Tennessee",6.70%,6.7
"Blount County, Alabama",6%,6
"Blount County, Tennessee",4.10%,4.1
"Blue Earth County, Minnesota",3.70%,3.7
"Boise County, Idaho",3.40%,3.4
"Bolivar County, Mississippi",7.40%,7.4
"Bollinger County, Missouri",4.90%,4.9
"Bon Homme County, South Dakota",2.20%,2.2
"Bond County, Illinois",4.30%,4.3
"Bonner County, Idaho",3.50%,3.5
"Bonneville County, Idaho",4.60%,4.6
"Boone County, Arkansas",4.40%,4.4
"Boone County, Illinois",7.70%,7.7
"Boone County, Indiana",3.10%,3.1
"Boone County, Iowa",1.30%,1.3
"Boone County, Kentucky",2.80%,2.8
"Boone County, Missouri",3.90%,3.9
"Boone County, Nebraska",1%,1
"Boone County, West Virginia",9.80%,9.8
"Borden County, Texas",1.80%,1.8
"Bosque County, Texas",3.90%,3.9
"Bossier Parish, Louisiana",5.60%,5.6
"Botetourt County, Virginia",3.10%,3.1
"Bottineau County, North Dakota",3.50%,3.5
"Boulder County, Colorado",4.40%,4.4
"Boundary County, Idaho",3.80%,3.8
"Bourbon County, Kansas",3.80%,3.8
"Bourbon County, Kentucky",5.50%,5.5
"Bowie County, Texas",4%,4
"Bowman County, North Dakota",4.10%,4.1
"Box Butte County, Nebraska",4%,4
"Box Elder County, Utah",2.60%,2.6
"Boyd County, Kentucky",6.90%,6.9
"Boyd County, Nebraska",1.80%,1.8
"Boyle County, Kentucky",6.20%,6.2
"Bracken County, Kentucky",6.20%,6.2
"Bradford County, Florida",5.80%,5.8
"Bradford County, Pennsylvania",4.80%,4.8
"Bradley County, Arkansas",5.60%,5.6
"Bradley County, Tennessee",5.40%,5.4
"Branch County, Michigan",4.90%,4.9
"Brantley County, Georgia",3.30%,3.3
"Braxton County, West Virginia",14.40%,14.4
"Brazoria County, Texas",4.60%,4.6
"Brazos County, Texas",4.60%,4.6
"Breathitt County, Kentucky",8.90%,8.9
"Breckinridge County, Kentucky",7.70%,7.7
"Bremer County, Iowa",3.20%,3.2
"Brevard County, Florida",4.90%,4.9
"Brewster County, Texas",3%,3
"Briscoe County, Texas",3.30%,3.3
"Bristol Bay Borough, Alaska",2.70%,2.7
"Bristol city, Virginia",4.10%,4.1
"Bristol County, Massachusetts",5.70%,5.7
"Bristol County, Rhode Island",4.10%,4.1
"Broadwater County, Montana",8.20%,8.2
"Bronx County, New York",11.20%,11.2
"Brooke County, West Virginia",5.70%,5.7
"Brookings County, South Dakota",3.90%,3.9
"Brooks County, Georgia",4.90%,4.9
"Brooks County, Texas",2.10%,2.1
"Broome County, New York",6.90%,6.9
"Broomfield County, Colorado",3.20%,3.2
"Broward County, Florida",5.80%,5.8
"Brown County, Illinois",2.10%,2.1
"Brown County, Indiana",3.90%,3.9
"Brown County, Kansas",4.40%,4.4
"Brown County, Minnesota",2.70%,2.7
"Brown County, Nebraska",0.50%,0.5
"Brown County, Ohio",4.40%,4.4
"Brown County, South Dakota",3.60%,3.6
"Brown County, Texas",3.80%,3.8
"Brown County, Wisconsin",2.90%,2.9
"Brule County, South Dakota",3.20%,3.2
"Brunswick County, North Carolina",5%,5
"Brunswick County, Virginia",5.20%,5.2
"Bryan County, Georgia",5.50%,5.5
"Bryan County, Oklahoma",4.80%,4.8
"Buchanan County, Iowa",3%,3
"Buchanan County, Missouri",4.80%,4.8
"Buchanan County, Virginia",6%,6
"Buckingham County, Virginia",5%,5
"Bucks County, Pennsylvania",4.60%,4.6
"Buena Vista city, Virginia",1.30%,1.3
"Buena Vista County, Iowa",5%,5
"Buffalo County, Nebraska",2.90%,2.9
"Buffalo County, South Dakota",14.90%,14.9
"Buffalo County, Wisconsin",2.30%,2.3
"Bullitt County, Kentucky",4.60%,4.6
"Bulloch County, Georgia",8.30%,8.3
"Bullock County, Alabama",3.70%,3.7
"Buncombe County, North Carolina",3.60%,3.6
"Bureau County, Illinois",5.70%,5.7
"Burke County, Georgia",5.20%,5.2
"Burke County, North Carolina",6%,6
"Burke County, North Dakota",2%,2
"Burleigh County, North Dakota",2.70%,2.7
"Burleson County, Texas",3.80%,3.8
"Burlington County, New Jersey",5.10%,5.1
"Burnet County, Texas",3.40%,3.4
"Burnett County, Wisconsin",5.20%,5.2
"Burt County, Nebraska",2.70%,2.7
"Butler County, Alabama",6.80%,6.8
