FID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,CountyName,StateName,POPESTIMATE2022,STATE ABR,Geographic Area
0,31,39,835841,31039,Cuming,Cuming County,Cuming,Nebraska,8929,NE,"Cuming County, Nebraska"
1,53,69,1513275,53069,Wahkiakum,Wahkiakum County,Wahkiakum,Washington,4688,WA,"Wahkiakum County, Washington"
2,35,11,933054,35011,De Baca,De Baca County,De Baca,New Mexico,1693,NM,"De Baca County, New Mexico"
3,31,109,835876,31109,Lancaster,Lancaster County,Lancaster,Nebraska,324756,NE,"Lancaster County, Nebraska"
4,31,129,835886,31129,Nuckolls,Nuckolls County,Nuckolls,Nebraska,4041,NE,"Nuckolls County, Nebraska"
6,46,99,1265772,46099,Minnehaha,Minnehaha County,Minnehaha,South Dakota,203971,SD,"Minnehaha County, South Dakota"
7,48,327,1383949,48327,Menard,Menard County,Menard,Texas,1968,TX,"Menard County, Texas"
8,6,91,277310,6091,Sierra,Sierra County,Sierra,California,3217,CA,"Sierra County, California"
9,21,53,516873,21053,Clinton,Clinton County,Clinton,Kentucky,9123,KY,"Clinton County, Kentucky"
10,39,63,1074044,39063,Hancock,Hancock County,Hancock,Ohio,74861,OH,"Hancock County, Ohio"
11,48,189,1383880,48189,Hale,Hale County,Hale,Texas,31827,TX,"Hale County, Texas"
12,1,27,161539,1027,Clay,Clay County,Clay,Alabama,14198,AL,"Clay County, Alabama"
13,48,11,1383791,48011,Armstrong,Armstrong County,Armstrong,Texas,1850,TX,"Armstrong County, Texas"
14,39,3,1074015,39003,Allen,Allen County,Allen,Ohio,101115,OH,"Allen County, Ohio"
15,13,189,348794,13189,McDuffie,McDuffie County,McDuffie,Georgia,21713,GA,"McDuffie County, Georgia"
16,55,111,1581115,55111,Sauk,Sauk County,Sauk,Wisconsin,65777,WI,"Sauk County, Wisconsin"
17,5,137,69902,5137,Stone,Stone County,Stone,Arkansas,12575,AR,"Stone County, Arkansas"
18,41,63,1155135,41063,Wallowa,Wallowa County,Wallowa,Oregon,7659,OR,"Wallowa County, Oregon"
19,42,7,1214112,42007,Beaver,Beaver County,Beaver,Pennsylvania,165677,PA,"Beaver County, Pennsylvania"
20,28,61,695754,28061,Jasper,Jasper County,Jasper,Mississippi,16167,MS,"Jasper County, Mississippi"
21,29,83,758496,29083,Henry,Henry County,Henry,Missouri,22438,MO,"Henry County, Missouri"
22,8,109,198170,8109,Saguache,Saguache County,Saguache,Colorado,6623,CO,"Saguache County, Colorado"
23,37,37,1008544,37037,Chatham,Chatham County,Chatham,North Carolina,79864,NC,"Chatham County, North Carolina"
24,49,33,1448030,49033,Rich,Rich County,Rich,Utah,2628,UT,"Rich County, Utah"
25,40,1,1101788,40001,Adair,Adair County,Adair,Oklahoma,19576,OK,"Adair County, Oklahoma"
26,39,85,1074055,39085,Lake,Lake County,Lake,Ohio,231842,OH,"Lake County, Ohio"
27,51,775,1789074,51775,Salem,Salem city,Salem,Virginia,25523,VA,"Salem city, Virginia"
28,51,121,1674630,51121,Montgomery,Montgomery County,Montgomery,Virginia,98915,VA,"Montgomery County, Virginia"
29,47,65,1639749,47065,Hamilton,Hamilton County,Hamilton,Tennessee,374682,TN,"Hamilton County, Tennessee"
30,35,35,929104,35035,Otero,Otero County,Otero,New Mexico,68823,NM,"Otero County, New Mexico"
31,35,3,929108,35003,Catron,Catron County,Catron,New Mexico,3827,NM,"Catron County, New Mexico"
32,1,91,161572,1091,Marengo,Marengo County,Marengo,Alabama,18745,AL,"Marengo County, Alabama"
33,56,23,1605076,56023,Lincoln,Lincoln County,Lincoln,Wyoming,20660,WY,"Lincoln County, Wyoming"
34,29,11,758460,29011,Barton,Barton County,Barton,Missouri,11694,MO,"Barton County, Missouri"
35,48,57,1383814,48057,Calhoun,Calhoun County,Calhoun,Texas,19706,TX,"Calhoun County, Texas"
36,51,735,1498436,51735,Poquoson city,Poquoson city,Poquoson city,Virginia,12582,VA,"Poquoson city, Virginia"
37,54,75,1550044,54075,Pocahontas,Pocahontas County,Pocahontas,West Virginia,7819,WV,"Pocahontas County, West Virginia"
38,48,77,1383824,48077,Clay,Clay County,Clay,Texas,10486,TX,"Clay County, Texas"
39,51,95,1480135,51095,James City,James City County,James City,Virginia,81199,VA,"James City County, Virginia"
40,31,101,835872,31101,Keith,Keith County,Keith,Nebraska,8269,NE,"Keith County, Nebraska"
41,31,137,835890,31137,Phelps,Phelps County,Phelps,Nebraska,8988,NE,"Phelps County, Nebraska"
42,22,19,558468,22019,Calcasieu,Calcasieu Parish,Calcasieu,Louisiana,202418,LA,"Calcasieu Parish, Louisiana"
43,22,111,559528,22111,Union,Union Parish,Union,Louisiana,20721,LA,"Union Parish, Louisiana"
44,40,135,1101855,40135,Sequoyah,Sequoyah County,Sequoyah,Oklahoma,39667,OK,"Sequoyah County, Oklahoma"
45,1,49,161550,1049,DeKalb,DeKalb County,DeKalb,Alabama,71998,AL,"DeKalb County, Alabama"
46,36,101,974148,36101,Steuben,Steuben County,Steuben,New York,92599,NY,"Steuben County, New York"
47,42,53,1213669,42053,Forest,Forest County,Forest,Pennsylvania,6626,PA,"Forest County, Pennsylvania"
48,22,105,559500,22105,Tangipahoa,Tangipahoa Parish,Tangipahoa,Louisiana,137048,LA,"Tangipahoa Parish, Louisiana"
49,51,179,1480173,51179,Stafford,Stafford County,Stafford,Virginia,163380,VA,"Stafford County, Virginia"
50,26,109,1622997,26109,Menominee,Menominee County,Menominee,Michigan,23266,MI,"Menominee County, Michigan"
51,18,73,450494,18073,Jasper,Jasper County,Jasper,Indiana,33281,IN,"Jasper County, Indiana"
52,13,25,351605,13025,Brantley,Brantley County,Brantley,Georgia,18183,GA,"Brantley County, Georgia"
53,13,171,326713,13171,Lamar,Lamar County,Lamar,Georgia,19467,GA,"Lamar County, Georgia"
54,18,151,450390,18151,Steuben,Steuben County,Steuben,Indiana,34725,IN,"Steuben County, Indiana"
55,48,361,1383966,48361,Orange,Orange County,Orange,Texas,84934,TX,"Orange County, Texas"
56,39,47,1074036,39047,Fayette,Fayette County,Fayette,Ohio,28839,OH,"Fayette County, Ohio"
57,25,15,606934,25015,Hampshire,Hampshire County,Hampshire,Massachusetts,162588,MA,"Hampshire County, Massachusetts"
58,21,3,516848,21003,Allen,Allen County,Allen,Kentucky,21275,KY,"Allen County, Kentucky"
59,37,1,1008531,37001,Alamance,Alamance County,Alamance,North Carolina,176353,NC,"Alamance County, North Carolina"
60,20,73,485003,20073,Greenwood,Greenwood County,Greenwood,Kansas,5939,KS,"Greenwood County, Kansas"
61,25,25,606939,25025,Suffolk,Suffolk County,Suffolk,Massachusetts,766381,MA,"Suffolk County, Massachusetts"
62,16,51,399751,16051,Jefferson,Jefferson County,Jefferson,Idaho,33428,ID,"Jefferson County, Idaho"
63,48,177,1383874,48177,Gonzales,Gonzales County,Gonzales,Texas,19832,TX,"Gonzales County, Texas"
64,47,115,1639770,47115,Marion,Marion County,Marion,Tennessee,29094,TN,"Marion County, Tennessee"
65,26,7,1622946,26007,Alpena,Alpena County,Alpena,Michigan,28847,MI,"Alpena County, Michigan"
66,21,231,516962,21231,Wayne,Wayne County,Wayne,Kentucky,19681,KY,"Wayne County, Kentucky"
67,47,185,1639800,47185,White,White County,White,Tennessee,28064,TN,"White County, Tennessee"
68,48,147,1383859,48147,Fannin,Fannin County,Fannin,Texas,37125,TX,"Fannin County, Texas"
69,20,43,484991,20043,Doniphan,Doniphan County,Doniphan,Kansas,7440,KS,"Doniphan County, Kansas"
70,48,265,1383918,48265,Kerr,Kerr County,Kerr,Texas,53741,TX,"Kerr County, Texas"
71,12,53,295751,12053,Hernando,Hernando County,Hernando,Florida,206896,FL,"Hernando County, Florida"
72,12,129,306912,12129,Wakulla,Wakulla County,Wakulla,Florida,35178,FL,"Wakulla County, Florida"
73,12,131,295727,12131,Walton,Walton County,Walton,Florida,83304,FL,"Walton County, Florida"
74,28,17,695733,28017,Chickasaw,Chickasaw County,Chickasaw,Mississippi,16812,MS,"Chickasaw County, Mississippi"
75,2,130,1419973,2130,Ketchikan Gateway,Ketchikan Gateway Borough,Ketchikan Gateway,Alaska,13741,AK,"Ketchikan Gateway Borough, Alaska"
76,26,35,1622960,26035,Clare,Clare County,Clare,Michigan,31352,MI,"Clare County, Michigan"
77,20,157,485042,20157,Republic,Republic County,Republic,Kansas,4642,KS,"Republic County, Kansas"
78,12,127,306921,12127,Volusia,Volusia County,Volusia,Florida,579192,FL,"Volusia County, Florida"
79,40,17,1101796,40017,Canadian,Canadian County,Canadian,Oklahoma,169149,OK,"Canadian County, Oklahoma"
82,13,115,353665,13115,Floyd,Floyd County,Floyd,Georgia,99443,GA,"Floyd County, Georgia"
83,32,1,858638,32001,Churchill,Churchill County,Churchill,Nevada,25843,NV,"Churchill County, Nevada"
84,31,181,835912,31181,Webster,Webster County,Webster,Nebraska,3336,NE,"Webster County, Nebraska"
85,17,67,424235,17067,Hancock,Hancock County,Hancock,Illinois,17244,IL,"Hancock County, Illinois"
86,46,67,1265771,46067,Hutchinson,Hutchinson County,Hutchinson,South Dakota,7368,SD,"Hutchinson County, South Dakota"
87,41,13,1155128,41013,Crook,Crook County,Crook,Oregon,26375,OR,"Crook County, Oregon"
88,50,11,1461762,50011,Franklin,Franklin County,Franklin,Vermont,50731,VT,"Franklin County, Vermont"
89,26,103,1622994,26103,Marquette,Marquette County,Marquette,Michigan,66661,MI,"Marquette County, Michigan"
90,9,7,212797,9007,Middlesex,Middlesex County,Middlesex,Connecticut,164759,CT,"Middlesex County, Connecticut"
91,37,57,1008548,37057,Davidson,Davidson County,Davidson,North Carolina,172586,NC,"Davidson County, North Carolina"
92,17,25,424214,17025,Clay,Clay County,Clay,Illinois,13047,IL,"Clay County, Illinois"
93,29,103,758506,29103,Knox,Knox County,Knox,Missouri,3776,MO,"Knox County, Missouri"
94,29,117,758513,29117,Livingston,Livingston County,Livingston,Missouri,14402,MO,"Livingston County, Missouri"
95,42,117,1209189,42117,Tioga,Tioga County,Tioga,Pennsylvania,41106,PA,"Tioga County, Pennsylvania"
96,31,43,835843,31043,Dakota,Dakota County,Dakota,Nebraska,21042,NE,"Dakota County, Nebraska"
97,26,89,1622987,26089,Leelanau,Leelanau County,Leelanau,Michigan,22870,MI,"Leelanau County, Michigan"
98,51,181,1480174,51181,Surry,Surry County,Surry,Virginia,6527,VA,"Surry County, Virginia"
