FID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,CountyName,StateName,POPESTIMATE2022,STATE ABR,Geographic Area,State ANSIG,County ANSIG,Goats Value,State ANSIS,County ANSIS,Sheep Value,State ANSIH,County ANSIH,Hogs Value,State ANSIP,County ANSIP,Poultry Value,State ANSIC,County ANSIC,Cattle Value,FIPS_Code,At risk percentage,CountyFIPS,CASTHMA_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,County Code_x,Diabetes death,County Code_y,Heart D death,County Code,Asthma death,Nurs Hom,Under 5 yrs,Over 65 yrs,Amblry diffclty,Child under 6 yrs,Child under 18yrs,Disability,Educ job,No diploma,Health job,HH size,Lvng alone,Median age ,Median income,Natural rescs,No vhcl,Povrty lvl,Production job,Service job,2unit or more,AreaCode,Establishment,Employment,Total Wages,GeoFIPS,GDP,FIPS,Education_Count,Law_Enforcement_Count,Medical_Emergency_Count,STCOFIPS,HRCN_RISKS,HRCN_RISKR,FIPS code,2013 code,Goats per 1000,Sheep per 1000,Hogs per 1000,Poultry per 1000,Cattle per 1000,All_SVI,HealthPrep_SVI,HealthEvac_SVI,PrepEvac_SVI,Health_SVI,Prep_SVI,Evac_SVI
7,48,327,1383949,48327,Menard,Menard County,Menard,Texas,1968,TX,"Menard County, Texas",48,327,98,48,327,52,48,327,1,48,327,13,48,327,159,48327,6.26,48327,9.2,11.3,18.1,48327,0,48327,508.1,48327,0,1.48,3.9,35.5,19.1,18.1,24.1,29,6.2,13.2,4.6,2.12,24.2,59.4,40945,12.7,4.1,22.5,19.6,16.3,10.8,48327,80,435,14169791,48327,46861,48327,2,1,2,48327,30.19291162,Very Low,48327,6,49.79674797,26.42276423,0.508130081,6.605691057,80.79268293,0.954545455,0.973214286,0.945945946,0.932835821,0.977283951,0.980246914,0.940246914
9,21,53,516873,21053,Clinton,Clinton County,Clinton,Kentucky,9123,KY,"Clinton County, Kentucky",21,53,17,21,53,7,21,53,2,21,53,37,21,53,245,21053,11.71,21053,12.1,10.5,16.4,21053,#VALUE!,21053,383.6,21053,0,0.49,5.6,20,14,16.9,24.8,24.5,5.4,9.9,5.7,2.49,14.7,42.4,41180,12.5,6.1,20.3,19.4,20,5.8,21053,295,3562,132730607,21053,349851,21053,5,2,3,21053,34.81381786,Very Low,21053,6,1.86342212,0.767291461,0.219226132,4.055683437,26.85520114,0.522727273,0.616071429,0.612612613,0.395522388,0.750617284,0.500246914,0.432098765
10,39,63,1074044,39063,Hancock,Hancock County,Hancock,Ohio,74861,OH,"Hancock County, Ohio",39,63,36,39,63,36,39,63,35,39,63,58,39,63,120,39063,5.23,39063,10.3,8,12.8,39063,32.1,39063,208.4,39063,#VALUE!,0.87,6.1,17.9,6,26.2,17.4,12.8,5.4,5,5.6,2.33,13.3,39.4,67006,7.3,4.9,10.5,22.6,17,19.4,39063,1950,44290,2765580963,39063,5273393,39063,35,4,21,39063,47.37550471,Very Low,39063,5,0.480891252,0.480891252,0.467533161,0.774769239,1.602970839,0.295454545,0.357142857,0.333333333,0.373134328,0.159506173,0.462222222,0.420246914
11,48,189,1383880,48189,Hale,Hale County,Hale,Texas,31827,TX,"Hale County, Texas",48,189,23,48,189,39,48,189,28,48,189,16,48,189,134,48189,8.12,48189,9.9,7.7,16.1,48189,#VALUE!,48189,251.4,48189,0,0.4,6.2,13.9,6.6,17.5,25.2,12.3,6.4,11.4,4.1,2.74,12.1,33.4,50721,13.1,3.7,18.5,18.5,19,13.1,48189,863,10929,513925069,48189,1160738,48189,22,9,12,48189,8.209959623,Very Low,48189,5,0.722656864,1.225374682,0.879756182,0.502717818,4.210261727,0.363636364,0.5,0.351351351,0.395522388,0.456296296,0.57382716,0.25382716
12,1,27,161539,1027,Clay,Clay County,Clay,Alabama,14198,AL,"Clay County, Alabama",1,27,21,1,27,2,1,27,8,1,27,108,1,27,274,1027,5.68,1027,11,10.4,16.6,1027,#VALUE!,1027,359.2,1027,#VALUE!,1.17,5.2,20.8,14.6,14.9,25.3,19.6,4,11.6,9.6,2.54,12.2,43.9,48074,11.6,6.4,17.6,28.8,10.8,9.2,1027,247,4233,179652984,1027,433948,1027,5,3,18,1027,59.48855989,Very Low,1027,6,1.479081561,0.140864911,0.563459642,7.60670517,19.29849275,0.568181818,0.491071429,0.675675676,0.671641791,0.600987654,0.270123457,0.807901235
13,48,11,1383791,48011,Armstrong,Armstrong County,Armstrong,Texas,1850,TX,"Armstrong County, Texas",48,11,4,,,,48,11,4,48,11,7,48,11,98,48011,9.38,48011,9.7,8.4,13.4,48011,0,48011,#VALUE!,48011,0,2.22,6.1,28.7,5.9,15.1,13.5,11.7,5.7,3.2,10.4,2.56,10.1,43.9,70417,16.9,0,5.9,9.9,18.6,0,48011,78,484,23385890,48011,43599,48011,1,1,4,48011,,Not Applicable,48011,3,2.162162162,,2.162162162,3.783783784,52.97297297,0.75,0.803571429,0.765765766,0.694029851,0.858765432,0.817283951,0.776790123
14,39,3,1074015,39003,Allen,Allen County,Allen,Ohio,101115,OH,"Allen County, Ohio",39,3,31,39,3,27,39,3,28,39,3,67,39,3,121,39003,7.12,39003,11.6,9.2,15.2,39003,37.6,39003,335.3,39003,#VALUE!,0.95,6,18.4,8.3,19.9,19.6,16.1,4.5,6.1,6.7,2.42,15.1,39.8,58976,9,7.5,12.3,24.9,17.8,15.6,39003,2564,49577,2771270766,39003,8256775,39003,50,10,25,39003,47.42036788,Very Low,39003,4,0.306581615,0.267022697,0.276912426,0.662611878,1.196657271,0.159090909,0.125,0.243243243,0.26119403,0.05382716,0.121975309,0.32345679
15,13,189,348794,13189,McDuffie,McDuffie County,McDuffie,Georgia,21713,GA,"McDuffie County, Georgia",13,189,41,13,189,4,13,189,12,13,189,49,13,189,117,13189,5.47,13189,11.2,8.2,15.6,13189,#VALUE!,13189,322.4,13189,#VALUE!,0.48,6.3,17.9,6.6,19.9,22.9,12.3,8.2,11.4,9.6,2.61,8.8,38.5,54752,11.6,4.8,16.1,17,15.7,10,13189,499,7412,319582026,13189,653813,13189,8,4,10,13189,59.03992822,Very Low,13189,3,1.8882697,0.184221434,0.552664302,2.256712569,5.388476949,0.181818182,0.232142857,0.117117117,0.186567164,0.144197531,0.283950617,0.11308642
17,5,137,69902,5137,Stone,Stone County,Stone,Arkansas,12575,AR,"Stone County, Arkansas",5,137,31,5,137,11,5,137,18,5,137,71,5,137,303,5137,9.62,5137,11.2,12.7,18.1,5137,#VALUE!,5137,437.4,5137,0,0.55,5.1,27.3,18.2,26.1,21.8,27.9,5,9.9,8.1,2.59,20.2,49.5,37664,19.5,7.6,21.2,15.7,19.1,4.2,5137,285,2630,97573095,5137,255235,5137,6,2,25,5137,25.88604755,Very Low,5137,6,2.465208748,0.874751491,1.431411531,5.64612326,24.09542744,0.840909091,0.892857143,0.873873874,0.71641791,0.955555556,0.772345679,0.823703704
19,42,7,1214112,42007,Beaver,Beaver County,Beaver,Pennsylvania,165677,PA,"Beaver County, Pennsylvania",42,7,27,42,7,22,42,7,40,42,7,126,42,7,185,42007,5.38,42007,10.6,8.2,11.8,42007,23.5,42007,369.4,42007,#VALUE!,0.68,4.9,22,8.4,23.3,19.7,15.8,5,3.9,6.9,2.29,15.3,44.9,67194,10.2,8.5,10.4,15.4,17.1,15.1,42007,3607,48262,2739732659,42007,6282303,42007,68,35,65,42007,59.71287573,Very Low,42007,2,0.162967702,0.132788498,0.241433633,0.760515944,1.116630552,0.295454545,0.473214286,0.162162162,0.417910448,0.122962963,0.620246914,0.172839506
