FIPS,Structure_Type,Count
1001.0,Education,17
1001.0,Law Enforcement,2
1001.0,Medical & Emergency,16
1003.0,Education,61
1003.0,Law Enforcement,18
1003.0,Medical & Emergency,63
1005.0,Education,9
1005.0,Law Enforcement,6
1005.0,Medical & Emergency,18
1007.0,Education,13
1007.0,Law Enforcement,5
1007.0,Medical & Emergency,11
1009.0,Education,18
1009.0,Law Enforcement,5
1009.0,Medical & Emergency,31
1011.0,Education,5
1011.0,Law Enforcement,3
1011.0,Medical & Emergency,7
1013.0,Education,8
1013.0,Law Enforcement,3
1013.0,Medical & Emergency,18
1015.0,Education,42
1015.0,Law Enforcement,9
1015.0,Medical & Emergency,34
1017.0,Education,19
1017.0,Law Enforcement,5
1017.0,Medical & Emergency,18
1019.0,Education,8
1019.0,Law Enforcement,4
1019.0,Medical & Emergency,13
1021.0,Education,14
1021.0,Law Enforcement,5
1021.0,Medical & Emergency,17
1023.0,Education,6
1023.0,Law Enforcement,4
1023.0,Medical & Emergency,11
1025.0,Education,11
1025.0,Law Enforcement,4
1025.0,Medical & Emergency,19
1027.0,Education,5
1027.0,Law Enforcement,3
1027.0,Medical & Emergency,18
1029.0,Education,8
1029.0,Law Enforcement,3
1029.0,Medical & Emergency,10
1031.0,Education,19
1031.0,Law Enforcement,5
1031.0,Medical & Emergency,15
1033.0,Education,26
1033.0,Law Enforcement,9
1033.0,Medical & Emergency,24
1035.0,Education,9
1035.0,Law Enforcement,4
1035.0,Medical & Emergency,19
1037.0,Education,2
1037.0,Law Enforcement,1
1037.0,Medical & Emergency,9
1039.0,Education,16
1039.0,Law Enforcement,9
1039.0,Medical & Emergency,26
1041.0,Education,4
1041.0,Law Enforcement,3
1041.0,Medical & Emergency,13
1043.0,Education,37
1043.0,Law Enforcement,3
1043.0,Medical & Emergency,56
1045.0,Education,19
1045.0,Law Enforcement,10
1045.0,Medical & Emergency,20
1047.0,Education,28
1047.0,Law Enforcement,2
1047.0,Medical & Emergency,20
1049.0,Education,20
1049.0,Law Enforcement,14
1049.0,Medical & Emergency,31
1051.0,Education,23
1051.0,Law Enforcement,9
1051.0,Medical & Emergency,35
1053.0,Education,21
1053.0,Law Enforcement,9
1053.0,Medical & Emergency,27
1055.0,Education,46
1055.0,Law Enforcement,11
1055.0,Medical & Emergency,44
1057.0,Education,7
1057.0,Law Enforcement,4
1057.0,Medical & Emergency,15
1059.0,Education,13
1059.0,Law Enforcement,4
1059.0,Medical & Emergency,18
1061.0,Education,12
1061.0,Law Enforcement,5
1061.0,Medical & Emergency,12
1063.0,Education,5
1063.0,Law Enforcement,3
1063.0,Medical & Emergency,11
1065.0,Education,8
1065.0,Law Enforcement,5
1065.0,Medical & Emergency,12
1067.0,Education,8
1067.0,Law Enforcement,3
1067.0,Medical & Emergency,10
1069.0,Education,37
1069.0,Law Enforcement,11
1069.0,Medical & Emergency,31
1071.0,Education,26
1071.0,Law Enforcement,7
1071.0,Medical & Emergency,31
1073.0,Education,224
1073.0,Law Enforcement,31
1073.0,Medical & Emergency,141
1075.0,Education,5
1075.0,Law Enforcement,4
1075.0,Medical & Emergency,10
1077.0,Education,24
1077.0,Law Enforcement,7
1077.0,Medical & Emergency,24
1079.0,Education,14
1079.0,Law Enforcement,5
1079.0,Medical & Emergency,14
1081.0,Education,42
1081.0,Law Enforcement,2
1081.0,Medical & Emergency,27
1083.0,Education,26
1083.0,Law Enforcement,5
1083.0,Medical & Emergency,24
1085.0,Education,9
1085.0,Law Enforcement,2
1085.0,Medical & Emergency,9
1087.0,Education,9
1087.0,Law Enforcement,4
1087.0,Medical & Emergency,12
1089.0,Education,110
1089.0,Law Enforcement,10
1089.0,Medical & Emergency,64
1091.0,Education,13
1091.0,Law Enforcement,4
1091.0,Medical & Emergency,23
1093.0,Education,16
1093.0,Law Enforcement,9
1093.0,Medical & Emergency,16
1095.0,Education,36
1095.0,Law Enforcement,7
1095.0,Medical & Emergency,30
1097.0,Education,138
1097.0,Law Enforcement,18
1097.0,Medical & Emergency,68
1099.0,Education,10
1099.0,Law Enforcement,4
1099.0,Medical & Emergency,19
1101.0,Education,79
1101.0,Law Enforcement,7
1101.0,Medical & Emergency,40
1103.0,Education,47
1103.0,Law Enforcement,9
1103.0,Medical & Emergency,47
1105.0,Education,6
1105.0,Law Enforcement,3
1105.0,Medical & Emergency,11
1107.0,Education,10
1107.0,Law Enforcement,7
1107.0,Medical & Emergency,17
1109.0,Education,13
1109.0,Law Enforcement,2
1109.0,Medical & Emergency,12
1111.0,Education,10
1111.0,Law Enforcement,4
1111.0,Medical & Emergency,20
1113.0,Education,22
1113.0,Law Enforcement,4
1113.0,Medical & Emergency,17
1115.0,Education,29
1115.0,Law Enforcement,12
1115.0,Medical & Emergency,35
1117.0,Education,51
1117.0,Law Enforcement,9
1117.0,Medical & Emergency,51
1119.0,Education,6
1119.0,Law Enforcement,2
1119.0,Medical & Emergency,18
1121.0,Education,34
1121.0,Law Enforcement,8
1121.0,Medical & Emergency,29
1123.0,Education,12
1123.0,Law Enforcement,8
1123.0,Medical & Emergency,23
1125.0,Education,70
1125.0,Law Enforcement,11
1125.0,Medical & Emergency,54
1127.0,Education,25
1127.0,Law Enforcement,8
1127.0,Medical & Emergency,31
1129.0,Education,8
1129.0,Law Enforcement,4
1129.0,Medical & Emergency,23
1131.0,Education,6
1131.0,Law Enforcement,2
1131.0,Medical & Emergency,11
1133.0,Education,14
1133.0,Law Enforcement,5
1133.0,Medical & Emergency,13
2013.0,Education,5
2013.0,Law Enforcement,3
2013.0,Medical & Emergency,8
2016.0,Education,7
2016.0,Law Enforcement,3
2016.0,Medical & Emergency,8
2020.0,Education,115
2020.0,Law Enforcement,8
2020.0,Medical & Emergency,43
2050.0,Education,41
2050.0,Law Enforcement,8
2050.0,Medical & Emergency,29
2060.0,Education,2
2060.0,Law Enforcement,1
2060.0,Medical & Emergency,2
2063.0,Education,10
2063.0,Law Enforcement,5
2063.0,Medical & Emergency,11
2066.0,Education,7
2066.0,Law Enforcement,1
2066.0,Medical & Emergency,15
2068.0,Education,3
2068.0,Law Enforcement,2
2068.0,Medical & Emergency,7
2070.0,Education,13
2070.0,Law Enforcement,3
2070.0,Medical & Emergency,13
2090.0,Education,44
2090.0,Law Enforcement,7
2090.0,Medical & Emergency,30
2100.0,Education,3
2100.0,Law Enforcement,2
2100.0,Medical & Emergency,2
2105.0,Education,7
2105.0,Law Enforcement,3
2105.0,Medical & Emergency,10
2110.0,Education,18
2110.0,Law Enforcement,3
2110.0,Medical & Emergency,9
2122.0,Education,50
2122.0,Law Enforcement,12
2122.0,Medical & Emergency,32
2130.0,Education,13
2130.0,Law Enforcement,3
2130.0,Medical & Emergency,10
2150.0,Education,17
2150.0,Law Enforcement,2
2150.0,Medical & Emergency,13
2158.0,Education,13
2158.0,Law Enforcement,5
2158.0,Medical & Emergency,14
2164.0,Education,14
2164.0,Law Enforcement,1
2164.0,Medical & Emergency,20
2170.0,Education,53
2170.0,Law Enforcement,8
2170.0,Medical & Emergency,44
2180.0,Education,20
2180.0,Law Enforcement,6
2180.0,Medical & Emergency,18
2185.0,Education,12
2185.0,Law Enforcement,10
2185.0,Medical & Emergency,16
2188.0,Education,16
2188.0,Law Enforcement,5
2188.0,Medical & Emergency,11
2195.0,Education,3
2195.0,Law Enforcement,2
2195.0,Medical & Emergency,3
2198.0,Education,19
2198.0,Law Enforcement,4
2198.0,Medical & Emergency,20
2220.0,Education,8
2220.0,Law Enforcement,2
2220.0,Medical & Emergency,5
2230.0,Education,1
2230.0,Law Enforcement,1
2230.0,Medical & Emergency,1
2240.0,Education,15
2240.0,Law Enforcement,4
2240.0,Medical & Emergency,20
2275.0,Education,3
2275.0,Law Enforcement,2
2275.0,Medical & Emergency,4
2282.0,Education,1
2282.0,Law Enforcement,2
2282.0,Medical & Emergency,2
2290.0,Education,33
2290.0,Law Enforcement,7
2290.0,Medical & Emergency,31
4001.0,Education,65
4001.0,Law Enforcement,7
4001.0,Medical & Emergency,20
4003.0,Education,80
4003.0,Law Enforcement,16
4003.0,Medical & Emergency,31
4005.0,Education,73
4005.0,Law Enforcement,15
4005.0,Medical & Emergency,45
4007.0,Education,39
4007.0,Law Enforcement,9
4007.0,Medical & Emergency,29
4009.0,Education,26
4009.0,Law Enforcement,7
4009.0,Medical & Emergency,5
4011.0,Education,6
4011.0,Law Enforcement,2
4011.0,Medical & Emergency,3
4012.0,Education,14
4012.0,Law Enforcement,4
4012.0,Medical & Emergency,10
4013.0,Education,1150
4013.0,Law Enforcement,80
4013.0,Medical & Emergency,269
4015.0,Education,66
4015.0,Law Enforcement,13
4015.0,Medical & Emergency,50
4017.0,Education,91
4017.0,Law Enforcement,15
4017.0,Medical & Emergency,34
4019.0,Education,345
4019.0,Law Enforcement,27
4019.0,Medical & Emergency,90
4021.0,Education,113
4021.0,Law Enforcement,32
4021.0,Medical & Emergency,46
4023.0,Education,27
4023.0,Law Enforcement,3
4023.0,Medical & Emergency,14
4025.0,Education,100
4025.0,Law Enforcement,16
4025.0,Medical & Emergency,51
4027.0,Education,73
4027.0,Law Enforcement,14
4027.0,Medical & Emergency,19
5001.0,Education,11
5001.0,Law Enforcement,7
5001.0,Medical & Emergency,17
5003.0,Education,8
5003.0,Law Enforcement,7
5003.0,Medical & Emergency,14
5005.0,Education,15
5005.0,Law Enforcement,5
5005.0,Medical & Emergency,25
5007.0,Education,76
5007.0,Law Enforcement,19
5007.0,Medical & Emergency,58
5009.0,Education,21
5009.0,Law Enforcement,8
5009.0,Medical & Emergency,27
5011.0,Education,8
5011.0,Law Enforcement,5
5011.0,Medical & Emergency,11
5013.0,Education,3
5013.0,Law Enforcement,3
5013.0,Medical & Emergency,8
5015.0,Education,10
5015.0,Law Enforcement,4
5015.0,Medical & Emergency,20
5017.0,Education,7
5017.0,Law Enforcement,5
5017.0,Medical & Emergency,9
5019.0,Education,11
5019.0,Law Enforcement,6
5019.0,Medical & Emergency,15
5021.0,Education,8
5021.0,Law Enforcement,5
5021.0,Medical & Emergency,11
5023.0,Education,9
5023.0,Law Enforcement,3
5023.0,Medical & Emergency,25
5025.0,Education,5
5025.0,Law Enforcement,1
5025.0,Medical & Emergency,11
5027.0,Education,10
5027.0,Law Enforcement,4
