FIPS_Code,County_FIPS_Code,County,State_FIPS_Code,State,January_2024_Medicare_Benes,January_2024_Power_Dependent_Devices_DME,At risk percentage
1001,1,Autauga ,1,AL ,"11,374",677,5.95
1003,3,Baldwin ,1,AL ,"61,467","2,791",4.54
1005,5,Barbour ,1,AL ,"5,924",337,5.69
1007,7,Bibb ,1,AL ,"4,942",286,5.79
1009,9,Blount ,1,AL ,"9,810",669,6.82
1011,11,Bullock ,1,AL ,"2,480",106,4.27
1013,13,Butler ,1,AL ,"4,914",366,7.45
1015,15,Calhoun ,1,AL ,"29,105","2,026",6.96
1017,17,Chambers ,1,AL ,"9,041",496,5.49
1019,19,Cherokee ,1,AL ,"6,661",389,5.84
1021,21,Chilton ,1,AL ,"9,056",572,6.32
1023,23,Choctaw ,1,AL ,"3,748",179,4.78
1025,25,Clarke ,1,AL ,"6,484",312,4.81
1027,27,Clay ,1,AL ,"3,522",200,5.68
1029,29,Cleburne ,1,AL ,"3,452",301,8.72
1031,31,Coffee ,1,AL ,"11,384",659,5.79
1033,33,Colbert ,1,AL ,"14,048",885,6.30
1035,35,Conecuh ,1,AL ,"3,399",224,6.59
1037,37,Coosa ,1,AL ,"3,162",197,6.23
1039,39,Covington ,1,AL ,"10,010",818,8.17
1041,41,Crenshaw ,1,AL ,"3,666",296,8.07
1043,43,Cullman ,1,AL ,"20,353","1,424",7.00
1045,45,Dale ,1,AL ,"11,359",718,6.32
1047,47,Dallas ,1,AL ,"10,087",500,4.96
1049,49,De Kalb ,1,AL ,"15,358","1,062",6.91
1051,51,Elmore ,1,AL ,"19,969","1,094",5.48
1053,53,Escambia ,1,AL ,"8,774",511,5.82
1055,55,Etowah ,1,AL ,"26,774","1,784",6.66
1057,57,Fayette ,1,AL ,"4,077",247,6.06
1059,59,Franklin ,1,AL ,"7,134",504,7.06
1061,61,Geneva ,1,AL ,"6,963",411,5.90
1063,63,Greene ,1,AL ,"2,259",74,3.28
1065,65,Hale ,1,AL ,"4,337",174,4.01
1067,67,Henry ,1,AL ,"5,185",321,6.19
1069,69,Houston ,1,AL ,"24,784","1,425",5.75
1071,71,Jackson ,1,AL ,"14,540",965,6.64
1073,73,Jefferson ,1,AL ,"142,092","6,419",4.52
1075,75,Lamar ,1,AL ,"4,026",241,5.99
1077,77,Lauderdale ,1,AL ,"23,142","1,398",6.04
1079,79,Lawrence ,1,AL ,"6,304",451,7.15
1081,81,Lee ,1,AL ,"27,693","1,363",4.92
1083,83,Limestone ,1,AL ,"19,751","1,169",5.92
1085,85,Lowndes ,1,AL ,"2,801",127,4.53
1087,87,Macon ,1,AL ,"4,470",226,5.06
1089,89,Madison ,1,AL ,"74,250","3,149",4.24
1091,91,Marengo ,1,AL ,"5,206",232,4.46
1093,93,Marion ,1,AL ,"6,881",487,7.08
1095,95,Marshall ,1,AL ,"22,195","1,444",6.51
1097,97,Mobile ,1,AL ,"87,786","4,934",5.62
1099,99,Monroe ,1,AL ,"5,067",303,5.98
1101,101,Montgomery ,1,AL ,"45,458","2,068",4.55
1103,103,Morgan ,1,AL ,"28,167","1,778",6.31
1105,105,Perry ,1,AL ,"2,263",106,4.68
1107,107,Pickens ,1,AL ,"5,006",220,4.39
1109,109,Pike ,1,AL ,"7,070",506,7.16
1111,111,Randolph ,1,AL ,"6,037",457,7.57
1113,113,Russell ,1,AL ,"11,699",628,5.37
1115,115,Saint Clair ,1,AL ,"18,717","1,196",6.39
1117,117,Shelby ,1,AL ,"40,110","1,743",4.35
1119,119,Sumter ,1,AL ,"3,040",144,4.74
1121,121,Talladega ,1,AL ,"19,548","1,256",6.43
1123,123,Tallapoosa ,1,AL ,"10,747",677,6.30
