Program,Year,Period,Week Ending,Geo Level,State,State ANSIP,Ag District,Ag District Code,County,County ANSIP,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Poultry Value,CV (%)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,44,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,14,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,19,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,64,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,17,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,38,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,42,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,34,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,37,13.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,,,0,,POULTRY TOTALS,POULTRY TOTALS - OPERATIONS WITH INVENTORY,TOTAL,NOT SPECIFIED,44,13.7
