Program,Year,Period,Week Ending,Geo Level,State,State ANSIS,Ag District,Ag District Code,County,County ANSIS,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Sheep Value,CV (%)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,5,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,5,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,5,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,19,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2,(L)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,4,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,7,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,8,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,8,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,5,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,7,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,8,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,29,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,4,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,8,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,5,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,9,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,14,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,32,27.7
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,,,0,,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,10,27.7
