STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
13,13025,Brantley,Brantley County,13025,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12129,Wakulla,Wakulla County,12129,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13049,Charlton,Charlton County,13049,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12051,Hendry,Hendry County,12051,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12011,Broward,Broward County,12011,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12099,Palm Beach,Palm Beach County,12099,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12041,Gilchrist,Gilchrist County,12041,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12086,Miami-Dade,Miami-Dade County,12086,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12017,Citrus,Citrus County,12017,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13183,Long,Long County,13183,34.0,AL142024,al,14.0,000,2024100418,2024101118
45,45015,Berkeley,Berkeley County,45015,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12093,Okeechobee,Okeechobee County,12093,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12109,St. Johns,St. Johns County,12109,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12043,Glades,Glades County,12043,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12037,Franklin,Franklin County,12037,34.0,AL142024,al,14.0,000,2024100418,2024101118
45,45013,Beaufort,Beaufort County,45013,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12007,Bradford,Bradford County,12007,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12031,Duval,Duval County,12031,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12085,Martin,Martin County,12085,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12029,Dixie,Dixie County,12029,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13039,Camden,Camden County,13039,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12087,Monroe,Monroe County,12087,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13229,Pierce,Pierce County,13229,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12071,Lee,Lee County,12071,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12005,Bay,Bay County,12005,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13305,Wayne,Wayne County,13305,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12107,Putnam,Putnam County,12107,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13101,Echols,Echols County,13101,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12065,Jefferson,Jefferson County,12065,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13179,Liberty,Liberty County,13179,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12067,Lafayette,Lafayette County,12067,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12047,Hamilton,Hamilton County,12047,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12075,Levy,Levy County,12075,34.0,AL142024,al,14.0,000,2024100418,2024101118
45,45019,Charleston,Charleston County,45019,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13299,Ware,Ware County,13299,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13001,Appling,Appling County,13001,34.0,AL142024,al,14.0,000,2024100418,2024101118
45,45029,Colleton,Colleton County,45029,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13029,Bryan,Bryan County,13029,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12111,St. Lucie,St. Lucie County,12111,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13065,Clinch,Clinch County,13065,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13185,Lowndes,Lowndes County,13185,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12023,Columbia,Columbia County,12023,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12021,Collier,Collier County,12021,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12003,Baker,Baker County,12003,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13173,Lanier,Lanier County,13173,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12121,Suwannee,Suwannee County,12121,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12123,Taylor,Taylor County,12123,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13051,Chatham,Chatham County,13051,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12125,Union,Union County,12125,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12019,Clay,Clay County,12019,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12079,Madison,Madison County,12079,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13027,Brooks,Brooks County,13027,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12083,Marion,Marion County,12083,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13103,Effingham,Effingham County,13103,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12001,Alachua,Alachua County,12001,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12089,Nassau,Nassau County,12089,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13275,Thomas,Thomas County,13275,34.0,AL142024,al,14.0,000,2024100418,2024101118
45,45053,Jasper,Jasper County,45053,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12077,Liberty,Liberty County,12077,34.0,AL142024,al,14.0,000,2024100418,2024101118
12,12039,Gadsden,Gadsden County,12039,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13191,McIntosh,McIntosh County,13191,34.0,AL142024,al,14.0,000,2024100418,2024101118
13,13127,Glynn,Glynn County,13127,34.0,AL142024,al,14.0,000,2024100418,2024101118
