fips_code,county,state,customers_out,run_start_time,FIPS,total22_customers
5001,Arkansas,Arkansas,3.0,2020-10-07 00:00:00,5001,9409
5007,Benton,Arkansas,4.0,2020-10-07 00:00:00,5007,123593
5009,Boone,Arkansas,1.0,2020-10-07 00:00:00,5009,18659
5031,Craighead,Arkansas,1.0,2020-10-07 00:00:00,5031,75696
5035,Crittenden,Arkansas,2.0,2020-10-07 00:00:00,5035,25574
5085,Lonoke,Arkansas,1.0,2020-10-07 00:00:00,5085,46850
5119,Pulaski,Arkansas,12.0,2020-10-07 00:00:00,5119,247287
5143,Washington,Arkansas,10.0,2020-10-07 00:00:00,5143,149990
5145,White,Arkansas,10.0,2020-10-07 00:00:00,5145,40502
22003,Allen,Louisiana,6.0,2020-10-07 00:00:00,22003,18160
22005,Ascension,Louisiana,47.0,2020-10-07 00:00:00,22005,51706
22009,Avoyelles,Louisiana,4.0,2020-10-07 00:00:00,22009,23447
22011,Beauregard,Louisiana,32.0,2020-10-07 00:00:00,22011,26155
22013,Bienville,Louisiana,4.0,2020-10-07 00:00:00,22013,5075
22015,Bossier,Louisiana,4.0,2020-10-07 00:00:00,22015,94184
22017,Caddo,Louisiana,4.0,2020-10-07 00:00:00,22017,145518
22019,Calcasieu,Louisiana,173.0,2020-10-07 00:00:00,22019,49912
22023,Cameron,Louisiana,27.0,2020-10-07 00:00:00,22023,2695
22033,East Baton Rouge,Louisiana,44.0,2020-10-07 00:00:00,22033,214590
22037,East Feliciana,Louisiana,2.0,2020-10-07 00:00:00,22037,7347
22047,Iberville,Louisiana,5.0,2020-10-07 00:00:00,22047,11710
22051,Jefferson,Louisiana,58.0,2020-10-07 00:00:00,22051,230746
22053,Jefferson Davis,Louisiana,3.0,2020-10-07 00:00:00,22053,11412
22061,Lincoln,Louisiana,1.0,2020-10-07 00:00:00,22061,26566
22063,Livingston,Louisiana,53.0,2020-10-07 00:00:00,22063,56101
22069,Natchitoches,Louisiana,4.0,2020-10-07 00:00:00,22069,32940
22073,Ouachita,Louisiana,15.0,2020-10-07 00:00:00,22073,61793
22075,Plaquemines,Louisiana,4.0,2020-10-07 00:00:00,22075,14010
22079,Rapides,Louisiana,4.0,2020-10-07 00:00:00,22079,110551
22095,St. John the Baptist,Louisiana,2.0,2020-10-07 00:00:00,22095,22092
22099,St. Martin,Louisiana,11.0,2020-10-07 00:00:00,22099,18207
22105,Tangipahoa,Louisiana,7.0,2020-10-07 00:00:00,22105,54543
22111,Union,Louisiana,6.0,2020-10-07 00:00:00,22111,7091
22115,Vernon,Louisiana,2.0,2020-10-07 00:00:00,22115,39210
22117,Washington,Louisiana,2.0,2020-10-07 00:00:00,22117,18396
22119,Webster,Louisiana,1.0,2020-10-07 00:00:00,22119,18880
28001,Adams,Mississippi,1.0,2020-10-07 00:00:00,28001,17358
28003,Alcorn,Mississippi,,2020-10-07 00:00:00,28003,19940
28005,Amite,Mississippi,4.0,2020-10-07 00:00:00,28005,6825
28009,Benton,Mississippi,,2020-10-07 00:00:00,28009,3973
28019,Choctaw,Mississippi,1.0,2020-10-07 00:00:00,28019,3216
28023,Clarke,Mississippi,1.0,2020-10-07 00:00:00,28023,7062
28029,Copiah,Mississippi,2.0,2020-10-07 00:00:00,28029,17728
28031,Covington,Mississippi,72.0,2020-10-07 00:00:00,28031,9565
28037,Franklin,Mississippi,1.0,2020-10-07 00:00:00,28037,4359
28045,Hancock,Mississippi,113.0,2020-10-07 00:00:00,28045,24430
28047,Harrison,Mississippi,1.0,2020-10-07 00:00:00,28047,109081
28049,Hinds,Mississippi,11.0,2020-10-07 00:00:00,28049,122216
28061,Jasper,Mississippi,23.0,2020-10-07 00:00:00,28061,9808
28063,Jefferson,Mississippi,4.0,2020-10-07 00:00:00,28063,4028
28071,Lafayette,Mississippi,2.0,2020-10-07 00:00:00,28071,36780
28077,Lawrence,Mississippi,2.0,2020-10-07 00:00:00,28077,6452
28079,Leake,Mississippi,51.0,2020-10-07 00:00:00,28079,13509
28085,Lincoln,Mississippi,2.0,2020-10-07 00:00:00,28085,20482
28089,Madison,Mississippi,22.0,2020-10-07 00:00:00,28089,32775
28105,Oktibbeha,Mississippi,1.0,2020-10-07 00:00:00,28105,33356
28121,Rankin,Mississippi,2.0,2020-10-07 00:00:00,28121,84285
28133,Sunflower,Mississippi,16.0,2020-10-07 00:00:00,28133,11919
28139,Tippah,Mississippi,,2020-10-07 00:00:00,28139,15158
28145,Union,Mississippi,,2020-10-07 00:00:00,28145,7351
28149,Warren,Mississippi,29.0,2020-10-07 00:00:00,28149,22742
28163,Yazoo,Mississippi,175.0,2020-10-07 00:00:00,28163,10785
48015,Austin,Texas,1.0,2020-10-07 00:00:00,48015,9780
48027,Bell,Texas,1.0,2020-10-07 00:00:00,48027,171225
48029,Bexar,Texas,6.0,2020-10-07 00:00:00,48029,1024586
48039,Brazoria,Texas,5.0,2020-10-07 00:00:00,48039,144164
48041,Brazos,Texas,29.0,2020-10-07 00:00:00,48041,73982
48055,Caldwell,Texas,19.0,2020-10-07 00:00:00,48055,21268
48061,Cameron,Texas,14.0,2020-10-07 00:00:00,48061,262299
48071,Chambers,Texas,2.0,2020-10-07 00:00:00,48071,26381
48085,Collin,Texas,10.0,2020-10-07 00:00:00,48085,417242
48097,Cooke,Texas,10.0,2020-10-07 00:00:00,48097,16852
48113,Dallas,Texas,55.0,2020-10-07 00:00:00,48113,948355
48121,Denton,Texas,74.0,2020-10-07 00:00:00,48121,332707
48127,Dimmit,Texas,61.0,2020-10-07 00:00:00,48127,3368
48131,Duval,Texas,8.0,2020-10-07 00:00:00,48131,4633
48139,Ellis,Texas,24.0,2020-10-07 00:00:00,48139,80952
48141,El Paso,Texas,1.0,2020-10-07 00:00:00,48141,349484
48157,Fort Bend,Texas,40.0,2020-10-07 00:00:00,48157,694780
48161,Freestone,Texas,1.0,2020-10-07 00:00:00,48161,8915
48167,Galveston,Texas,3.0,2020-10-07 00:00:00,48167,144421
48201,Harris,Texas,151.0,2020-10-07 00:00:00,48201,1827686
48245,Jefferson,Texas,4.0,2020-10-07 00:00:00,48245,51659
48249,Jim Wells,Texas,1.0,2020-10-07 00:00:00,48249,17612
48251,Johnson,Texas,4.0,2020-10-07 00:00:00,48251,76674
48289,Leon,Texas,2.0,2020-10-07 00:00:00,48289,7489
48291,Liberty,Texas,1.0,2020-10-07 00:00:00,48291,44189
48309,McLennan,Texas,20.0,2020-10-07 00:00:00,48309,101960
48327,Menard,Texas,4.0,2020-10-07 00:00:00,48327,1142
48337,Montague,Texas,1.0,2020-10-07 00:00:00,48337,8303
48339,Montgomery,Texas,16.0,2020-10-07 00:00:00,48339,230040
48341,Moore,Texas,31.0,2020-10-07 00:00:00,48341,6456
48351,Newton,Texas,2.0,2020-10-07 00:00:00,48351,4202
48355,Nueces,Texas,12.0,2020-10-07 00:00:00,48355,162267
48367,Parker,Texas,2.0,2020-10-07 00:00:00,48367,87476
48373,Polk,Texas,13.0,2020-10-07 00:00:00,48373,11122
48397,Rockwall,Texas,1.0,2020-10-07 00:00:00,48397,77029
48439,Tarrant,Texas,44.0,2020-10-07 00:00:00,48439,1040761
48441,Taylor,Texas,4.0,2020-10-07 00:00:00,48441,18703
48451,Tom Green,Texas,3.0,2020-10-07 00:00:00,48451,58381
48453,Travis,Texas,4.0,2020-10-07 00:00:00,48453,641926
48461,Upton,Texas,1.0,2020-10-07 00:00:00,48461,2542
48479,Webb,Texas,13.0,2020-10-07 00:00:00,48479,110210
48491,Williamson,Texas,2.0,2020-10-07 00:00:00,48491,299583
48493,Wilson,Texas,2.0,2020-10-07 00:00:00,48493,33619
48499,Wood,Texas,14.0,2020-10-07 00:00:00,48499,16030
5001,Arkansas,Arkansas,3.0,2020-10-07 00:15:00,5001,9409
5007,Benton,Arkansas,3.0,2020-10-07 00:15:00,5007,123593
5009,Boone,Arkansas,1.0,2020-10-07 00:15:00,5009,18659
5031,Craighead,Arkansas,1.0,2020-10-07 00:15:00,5031,75696
5035,Crittenden,Arkansas,10.0,2020-10-07 00:15:00,5035,25574
5055,Greene,Arkansas,1.0,2020-10-07 00:15:00,5055,31433
5085,Lonoke,Arkansas,1.0,2020-10-07 00:15:00,5085,46850
5119,Pulaski,Arkansas,12.0,2020-10-07 00:15:00,5119,247287
5145,White,Arkansas,10.0,2020-10-07 00:15:00,5145,40502
22003,Allen,Louisiana,6.0,2020-10-07 00:15:00,22003,18160
22005,Ascension,Louisiana,48.0,2020-10-07 00:15:00,22005,51706
22009,Avoyelles,Louisiana,4.0,2020-10-07 00:15:00,22009,23447
22011,Beauregard,Louisiana,32.0,2020-10-07 00:15:00,22011,26155
22013,Bienville,Louisiana,4.0,2020-10-07 00:15:00,22013,5075
