fips_code,county,state,customers_out,run_start_time,FIPS,total22_customers
37001,Alamance,North Carolina,1.0,2019-09-01 00:00:00,37001.0,925.0
37021,Buncombe,North Carolina,1.0,2019-09-01 00:00:00,37021.0,32499.0
37027,Caldwell,North Carolina,1.0,2019-09-01 00:00:00,37027.0,43296.0
37031,Carteret,North Carolina,1.0,2019-09-01 00:00:00,37031.0,39432.0
37035,Catawba,North Carolina,3.0,2019-09-01 00:00:00,37035.0,8165.0
37041,Chowan,North Carolina,2.0,2019-09-01 00:00:00,37041.0,12047.0
37049,Craven,North Carolina,1.0,2019-09-01 00:00:00,37049.0,35033.0
37063,Durham,North Carolina,1.0,2019-09-01 00:00:00,37063.0,6008.0
37065,Edgecombe,North Carolina,2.0,2019-09-01 00:00:00,37065.0,19560.0
37067,Forsyth,North Carolina,4.0,2019-09-01 00:00:00,37067.0,27915.0
37071,Gaston,North Carolina,1.0,2019-09-01 00:00:00,37071.0,47215.0
37091,Hertford,North Carolina,3.0,2019-09-01 00:00:00,37091.0,14012.0
37097,Iredell,North Carolina,1.0,2019-09-01 00:00:00,37097.0,35197.0
37099,Jackson,North Carolina,1.0,2019-09-01 00:00:00,,
37101,Johnston,North Carolina,1.0,2019-09-01 00:00:00,37101.0,13828.0
37113,Macon,North Carolina,140.0,2019-09-01 00:00:00,,
37115,Madison,North Carolina,1.0,2019-09-01 00:00:00,37115.0,2231.0
37119,Mecklenburg,North Carolina,40.0,2019-09-01 00:00:00,37119.0,28172.0
37125,Moore,North Carolina,2.0,2019-09-01 00:00:00,37125.0,5708.0
37137,Pamlico,North Carolina,11.0,2019-09-01 00:00:00,37137.0,1811.0
37153,Richmond,North Carolina,4.0,2019-09-01 00:00:00,37153.0,12592.0
37157,Rockingham,North Carolina,2.0,2019-09-01 00:00:00,37157.0,9416.0
37159,Rowan,North Carolina,564.0,2019-09-01 00:00:00,37159.0,16951.0
37163,Sampson,North Carolina,1.0,2019-09-01 00:00:00,37163.0,19420.0
37181,Vance,North Carolina,37.0,2019-09-01 00:00:00,37181.0,863.0
37183,Wake,North Carolina,58.0,2019-09-01 00:00:00,37183.0,46622.0
45001,Abbeville,South Carolina,1.0,2019-09-01 00:00:00,45001.0,9846.0
45007,Anderson,South Carolina,4.0,2019-09-01 00:00:00,45007.0,101520.0
45009,Bamberg,South Carolina,2.0,2019-09-01 00:00:00,45009.0,8728.0
45011,Barnwell,South Carolina,10.0,2019-09-01 00:00:00,45011.0,10628.0
45015,Berkeley,South Carolina,50.0,2019-09-01 00:00:00,45015.0,162211.0
45021,Cherokee,South Carolina,1.0,2019-09-01 00:00:00,45021.0,39741.0
45025,Chesterfield,South Carolina,1.0,2019-09-01 00:00:00,45025.0,16153.0
45027,Clarendon,South Carolina,2.0,2019-09-01 00:00:00,45027.0,17809.0
45045,Greenville,South Carolina,24.0,2019-09-01 00:00:00,45045.0,208040.0
45047,Greenwood,South Carolina,1.0,2019-09-01 00:00:00,45047.0,40695.0
45073,Oconee,South Carolina,1.0,2019-09-01 00:00:00,45073.0,40425.0
45091,York,South Carolina,1.0,2019-09-01 00:00:00,45091.0,173488.0
37001,Alamance,North Carolina,2.0,2019-09-01 00:15:00,37001.0,925.0
37021,Buncombe,North Carolina,1.0,2019-09-01 00:15:00,37021.0,32499.0
37027,Caldwell,North Carolina,1.0,2019-09-01 00:15:00,37027.0,43296.0
37031,Carteret,North Carolina,1.0,2019-09-01 00:15:00,37031.0,39432.0
37035,Catawba,North Carolina,1.0,2019-09-01 00:15:00,37035.0,8165.0
37041,Chowan,North Carolina,2.0,2019-09-01 00:15:00,37041.0,12047.0
37049,Craven,North Carolina,1.0,2019-09-01 00:15:00,37049.0,35033.0
37051,Cumberland,North Carolina,1.0,2019-09-01 00:15:00,37051.0,93841.0
37063,Durham,North Carolina,2.0,2019-09-01 00:15:00,37063.0,6008.0
37065,Edgecombe,North Carolina,2.0,2019-09-01 00:15:00,37065.0,19560.0
37067,Forsyth,North Carolina,3.0,2019-09-01 00:15:00,37067.0,27915.0
37071,Gaston,North Carolina,1.0,2019-09-01 00:15:00,37071.0,47215.0
37081,Guilford,North Carolina,1.0,2019-09-01 00:15:00,37081.0,41756.0
37091,Hertford,North Carolina,3.0,2019-09-01 00:15:00,37091.0,14012.0
37099,Jackson,North Carolina,1.0,2019-09-01 00:15:00,,
37101,Johnston,North Carolina,3.0,2019-09-01 00:15:00,37101.0,13828.0
37113,Macon,North Carolina,140.0,2019-09-01 00:15:00,,
37115,Madison,North Carolina,1.0,2019-09-01 00:15:00,37115.0,2231.0
37119,Mecklenburg,North Carolina,33.0,2019-09-01 00:15:00,37119.0,28172.0
37125,Moore,North Carolina,2.0,2019-09-01 00:15:00,37125.0,5708.0
37135,Orange,North Carolina,3.0,2019-09-01 00:15:00,37135.0,19163.0
37137,Pamlico,North Carolina,11.0,2019-09-01 00:15:00,37137.0,1811.0
37151,Randolph,North Carolina,14.0,2019-09-01 00:15:00,37151.0,31255.0
37157,Rockingham,North Carolina,2.0,2019-09-01 00:15:00,37157.0,9416.0
37159,Rowan,North Carolina,563.0,2019-09-01 00:15:00,37159.0,16951.0
37163,Sampson,North Carolina,1.0,2019-09-01 00:15:00,37163.0,19420.0
37181,Vance,North Carolina,37.0,2019-09-01 00:15:00,37181.0,863.0
37183,Wake,North Carolina,58.0,2019-09-01 00:15:00,37183.0,46622.0
45001,Abbeville,South Carolina,1.0,2019-09-01 00:15:00,45001.0,9846.0
45007,Anderson,South Carolina,3.0,2019-09-01 00:15:00,45007.0,101520.0
45009,Bamberg,South Carolina,2.0,2019-09-01 00:15:00,45009.0,8728.0
45011,Barnwell,South Carolina,10.0,2019-09-01 00:15:00,45011.0,10628.0
45015,Berkeley,South Carolina,50.0,2019-09-01 00:15:00,45015.0,162211.0
45021,Cherokee,South Carolina,1.0,2019-09-01 00:15:00,45021.0,39741.0
45025,Chesterfield,South Carolina,1.0,2019-09-01 00:15:00,45025.0,16153.0
45027,Clarendon,South Carolina,2.0,2019-09-01 00:15:00,45027.0,17809.0
45045,Greenville,South Carolina,24.0,2019-09-01 00:15:00,45045.0,208040.0
45047,Greenwood,South Carolina,1.0,2019-09-01 00:15:00,45047.0,40695.0
45073,Oconee,South Carolina,1.0,2019-09-01 00:15:00,45073.0,40425.0
45091,York,South Carolina,5.0,2019-09-01 00:15:00,45091.0,173488.0
37001,Alamance,North Carolina,2.0,2019-09-01 00:30:00,37001.0,925.0
37021,Buncombe,North Carolina,1.0,2019-09-01 00:30:00,37021.0,32499.0
37031,Carteret,North Carolina,1.0,2019-09-01 00:30:00,37031.0,39432.0
37035,Catawba,North Carolina,1.0,2019-09-01 00:30:00,37035.0,8165.0
37041,Chowan,North Carolina,2.0,2019-09-01 00:30:00,37041.0,12047.0
37049,Craven,North Carolina,1.0,2019-09-01 00:30:00,37049.0,35033.0
37063,Durham,North Carolina,1.0,2019-09-01 00:30:00,37063.0,6008.0
37065,Edgecombe,North Carolina,2.0,2019-09-01 00:30:00,37065.0,19560.0
37067,Forsyth,North Carolina,3.0,2019-09-01 00:30:00,37067.0,27915.0
37071,Gaston,North Carolina,1.0,2019-09-01 00:30:00,37071.0,47215.0
37081,Guilford,North Carolina,1.0,2019-09-01 00:30:00,37081.0,41756.0
37091,Hertford,North Carolina,3.0,2019-09-01 00:30:00,37091.0,14012.0
37099,Jackson,North Carolina,1.0,2019-09-01 00:30:00,,
37101,Johnston,North Carolina,3.0,2019-09-01 00:30:00,37101.0,13828.0
37113,Macon,North Carolina,140.0,2019-09-01 00:30:00,,
37115,Madison,North Carolina,1.0,2019-09-01 00:30:00,37115.0,2231.0
37119,Mecklenburg,North Carolina,33.0,2019-09-01 00:30:00,37119.0,28172.0
37125,Moore,North Carolina,1.0,2019-09-01 00:30:00,37125.0,5708.0
37135,Orange,North Carolina,3.0,2019-09-01 00:30:00,37135.0,19163.0
37137,Pamlico,North Carolina,11.0,2019-09-01 00:30:00,37137.0,1811.0
37151,Randolph,North Carolina,14.0,2019-09-01 00:30:00,37151.0,31255.0
37157,Rockingham,North Carolina,2.0,2019-09-01 00:30:00,37157.0,9416.0
37159,Rowan,North Carolina,561.0,2019-09-01 00:30:00,37159.0,16951.0
37163,Sampson,North Carolina,1.0,2019-09-01 00:30:00,37163.0,19420.0
37181,Vance,North Carolina,37.0,2019-09-01 00:30:00,37181.0,863.0
37183,Wake,North Carolina,58.0,2019-09-01 00:30:00,37183.0,46622.0
45001,Abbeville,South Carolina,1.0,2019-09-01 00:30:00,45001.0,9846.0
45007,Anderson,South Carolina,3.0,2019-09-01 00:30:00,45007.0,101520.0
45009,Bamberg,South Carolina,2.0,2019-09-01 00:30:00,45009.0,8728.0
45011,Barnwell,South Carolina,10.0,2019-09-01 00:30:00,45011.0,10628.0
45015,Berkeley,South Carolina,50.0,2019-09-01 00:30:00,45015.0,162211.0
45021,Cherokee,South Carolina,1.0,2019-09-01 00:30:00,45021.0,39741.0
45025,Chesterfield,South Carolina,1.0,2019-09-01 00:30:00,45025.0,16153.0
45027,Clarendon,South Carolina,2.0,2019-09-01 00:30:00,45027.0,17809.0
45045,Greenville,South Carolina,24.0,2019-09-01 00:30:00,45045.0,208040.0
45047,Greenwood,South Carolina,1.0,2019-09-01 00:30:00,45047.0,40695.0
45073,Oconee,South Carolina,1.0,2019-09-01 00:30:00,45073.0,40425.0
45091,York,South Carolina,5.0,2019-09-01 00:30:00,45091.0,173488.0
37001,Alamance,North Carolina,2.0,2019-09-01 00:45:00,37001.0,925.0
37021,Buncombe,North Carolina,1.0,2019-09-01 00:45:00,37021.0,32499.0
37031,Carteret,North Carolina,1.0,2019-09-01 00:45:00,37031.0,39432.0
37035,Catawba,North Carolina,1.0,2019-09-01 00:45:00,37035.0,8165.0
37041,Chowan,North Carolina,2.0,2019-09-01 00:45:00,37041.0,12047.0
37049,Craven,North Carolina,1.0,2019-09-01 00:45:00,37049.0,35033.0
37063,Durham,North Carolina,1.0,2019-09-01 00:45:00,37063.0,6008.0
37065,Edgecombe,North Carolina,2.0,2019-09-01 00:45:00,37065.0,19560.0
37067,Forsyth,North Carolina,3.0,2019-09-01 00:45:00,37067.0,27915.0
37071,Gaston,North Carolina,1.0,2019-09-01 00:45:00,37071.0,47215.0
37081,Guilford,North Carolina,2.0,2019-09-01 00:45:00,37081.0,41756.0
37091,Hertford,North Carolina,3.0,2019-09-01 00:45:00,37091.0,14012.0
37099,Jackson,North Carolina,1.0,2019-09-01 00:45:00,,
37101,Johnston,North Carolina,3.0,2019-09-01 00:45:00,37101.0,13828.0
37113,Macon,North Carolina,140.0,2019-09-01 00:45:00,,
37115,Madison,North Carolina,1.0,2019-09-01 00:45:00,37115.0,2231.0
37119,Mecklenburg,North Carolina,34.0,2019-09-01 00:45:00,37119.0,28172.0
37125,Moore,North Carolina,1.0,2019-09-01 00:45:00,37125.0,5708.0
37135,Orange,North Carolina,6.0,2019-09-01 00:45:00,37135.0,19163.0
37137,Pamlico,North Carolina,12.0,2019-09-01 00:45:00,37137.0,1811.0
37141,Pender,North Carolina,1.0,2019-09-01 00:45:00,37141.0,14750.0
37151,Randolph,North Carolina,14.0,2019-09-01 00:45:00,37151.0,31255.0
37157,Rockingham,North Carolina,2.0,2019-09-01 00:45:00,37157.0,9416.0
37159,Rowan,North Carolina,561.0,2019-09-01 00:45:00,37159.0,16951.0
37181,Vance,North Carolina,37.0,2019-09-01 00:45:00,37181.0,863.0
37183,Wake,North Carolina,57.0,2019-09-01 00:45:00,37183.0,46622.0
45001,Abbeville,South Carolina,1.0,2019-09-01 00:45:00,45001.0,9846.0
45007,Anderson,South Carolina,7.0,2019-09-01 00:45:00,45007.0,101520.0
45009,Bamberg,South Carolina,2.0,2019-09-01 00:45:00,45009.0,8728.0
45011,Barnwell,South Carolina,10.0,2019-09-01 00:45:00,45011.0,10628.0
45015,Berkeley,South Carolina,50.0,2019-09-01 00:45:00,45015.0,162211.0
45021,Cherokee,South Carolina,1.0,2019-09-01 00:45:00,45021.0,39741.0
45025,Chesterfield,South Carolina,1.0,2019-09-01 00:45:00,45025.0,16153.0
45027,Clarendon,South Carolina,2.0,2019-09-01 00:45:00,45027.0,17809.0
45045,Greenville,South Carolina,24.0,2019-09-01 00:45:00,45045.0,208040.0
45047,Greenwood,South Carolina,1.0,2019-09-01 00:45:00,45047.0,40695.0
45077,Pickens,South Carolina,,2019-09-01 00:45:00,45077.0,74039.0
45091,York,South Carolina,50.0,2019-09-01 00:45:00,45091.0,173488.0
37001,Alamance,North Carolina,2.0,2019-09-01 01:00:00,37001.0,925.0
37019,Brunswick,North Carolina,1.0,2019-09-01 01:00:00,37019.0,82037.0
37021,Buncombe,North Carolina,1.0,2019-09-01 01:00:00,37021.0,32499.0
37031,Carteret,North Carolina,1.0,2019-09-01 01:00:00,37031.0,39432.0
37035,Catawba,North Carolina,1.0,2019-09-01 01:00:00,37035.0,8165.0
37041,Chowan,North Carolina,2.0,2019-09-01 01:00:00,37041.0,12047.0
