fips_code,county,state,customers_out,run_start_time,FIPS,total22_customers
48005,Angelina,Texas,1.0,2020-07-23 00:00:00,48005,47178
48007,Aransas,Texas,4.0,2020-07-23 00:00:00,48007,11991
48025,Bee,Texas,4.0,2020-07-23 00:00:00,48025,10187
48027,Bell,Texas,2.0,2020-07-23 00:00:00,48027,171225
48029,Bexar,Texas,14.0,2020-07-23 00:00:00,48029,1024586
48039,Brazoria,Texas,6.0,2020-07-23 00:00:00,48039,144164
48041,Brazos,Texas,1.0,2020-07-23 00:00:00,48041,73982
48043,Brewster,Texas,2.0,2020-07-23 00:00:00,48043,222
48045,Briscoe,Texas,4.0,2020-07-23 00:00:00,48045,589
48055,Caldwell,Texas,1.0,2020-07-23 00:00:00,48055,21268
48061,Cameron,Texas,1.0,2020-07-23 00:00:00,48061,262299
48071,Chambers,Texas,4.0,2020-07-23 00:00:00,48071,26381
48073,Cherokee,Texas,33.0,2020-07-23 00:00:00,48073,29708
48077,Clay,Texas,1.0,2020-07-23 00:00:00,48077,4905
48081,Coke,Texas,1.0,2020-07-23 00:00:00,48081,1487
48085,Collin,Texas,12.0,2020-07-23 00:00:00,48085,417242
48089,Colorado,Texas,500.0,2020-07-23 00:00:00,48089,8146
48095,Concho,Texas,1.0,2020-07-23 00:00:00,48095,1545
48105,Crockett,Texas,2.0,2020-07-23 00:00:00,48105,383
48113,Dallas,Texas,116.0,2020-07-23 00:00:00,48113,948355
48115,Dawson,Texas,1.0,2020-07-23 00:00:00,48115,8173
48133,Eastland,Texas,1.0,2020-07-23 00:00:00,48133,9278
48135,Ector,Texas,98.0,2020-07-23 00:00:00,48135,156481
48137,Edwards,Texas,175.0,2020-07-23 00:00:00,48137,424
48139,Ellis,Texas,6.0,2020-07-23 00:00:00,48139,80952
48143,Erath,Texas,1.0,2020-07-23 00:00:00,48143,24280
48145,Falls,Texas,1.0,2020-07-23 00:00:00,48145,4156
48157,Fort Bend,Texas,36.0,2020-07-23 00:00:00,48157,694780
48159,Franklin,Texas,11.0,2020-07-23 00:00:00,48159,5481
