fips_code,county,state,customers_out,run_start_time,FIPS,total22_customers
5007,Benton,Arkansas,15.0,2017-08-24 00:00:00,5007,123593
5015,Carroll,Arkansas,8.0,2017-08-24 00:00:00,5015,17602
5035,Crittenden,Arkansas,2.0,2017-08-24 00:00:00,5035,25574
5051,Garland,Arkansas,2.0,2017-08-24 00:00:00,5051,49734
5085,Lonoke,Arkansas,13.0,2017-08-24 00:00:00,5085,46850
5119,Pulaski,Arkansas,3.0,2017-08-24 00:00:00,5119,247287
22003,Allen,Louisiana,2.0,2017-08-24 00:00:00,22003,18160
22005,Ascension,Louisiana,1543.0,2017-08-24 00:00:00,22005,51706
22009,Avoyelles,Louisiana,2.0,2017-08-24 00:00:00,22009,23447
22013,Bienville,Louisiana,13.0,2017-08-24 00:00:00,22013,5075
22015,Bossier,Louisiana,10.0,2017-08-24 00:00:00,22015,94184
22017,Caddo,Louisiana,231.0,2017-08-24 00:00:00,22017,145518
22019,Calcasieu,Louisiana,299.0,2017-08-24 00:00:00,22019,49912
22031,De Soto,Louisiana,110.0,2017-08-24 00:00:00,22031,23052
22033,East Baton Rouge,Louisiana,47.0,2017-08-24 00:00:00,22033,214590
22039,Evangeline,Louisiana,1.0,2017-08-24 00:00:00,22039,22432
22041,Franklin,Louisiana,44.0,2017-08-24 00:00:00,22041,8528
22043,Grant,Louisiana,5.0,2017-08-24 00:00:00,22043,14064
22045,Iberia,Louisiana,5.0,2017-08-24 00:00:00,22045,56791
22049,Jackson,Louisiana,3.0,2017-08-24 00:00:00,22049,4755
22053,Jefferson Davis,Louisiana,3.0,2017-08-24 00:00:00,22053,11412
22057,Lafourche,Louisiana,9.0,2017-08-24 00:00:00,22057,35705
22059,LaSalle,Louisiana,16.0,2017-08-24 00:00:00,22059,6475
22063,Livingston,Louisiana,2.0,2017-08-24 00:00:00,22063,56101
22065,Madison,Louisiana,8.0,2017-08-24 00:00:00,22065,4477
22067,Morehouse,Louisiana,4.0,2017-08-24 00:00:00,22067,11166
22069,Natchitoches,Louisiana,72.0,2017-08-24 00:00:00,22069,32940
22071,Orleans,Louisiana,22.0,2017-08-24 00:00:00,22071,212936
22073,Ouachita,Louisiana,102.0,2017-08-24 00:00:00,22073,61793
22075,Plaquemines,Louisiana,12.0,2017-08-24 00:00:00,22075,14010
22079,Rapides,Louisiana,108.0,2017-08-24 00:00:00,22079,110551
22081,Red River,Louisiana,7.0,2017-08-24 00:00:00,22081,5806
22083,Richland,Louisiana,6.0,2017-08-24 00:00:00,22083,8935
22085,Sabine,Louisiana,4.0,2017-08-24 00:00:00,22085,17148
22097,St. Landry,Louisiana,4.0,2017-08-24 00:00:00,22097,47280
22101,St. Mary,Louisiana,1.0,2017-08-24 00:00:00,22101,27709
22111,Union,Louisiana,13.0,2017-08-24 00:00:00,22111,7091
28031,Covington,Mississippi,36.0,2017-08-24 00:00:00,28031,9565
28037,Franklin,Mississippi,2.0,2017-08-24 00:00:00,28037,4359
28039,George,Mississippi,25.0,2017-08-24 00:00:00,28039,9353
28049,Hinds,Mississippi,5.0,2017-08-24 00:00:00,28049,122216
28059,Jackson,Mississippi,17.0,2017-08-24 00:00:00,28059,57806
28071,Lafayette,Mississippi,18.0,2017-08-24 00:00:00,28071,36780
28085,Lincoln,Mississippi,38.0,2017-08-24 00:00:00,28085,20482
28109,Pearl River,Mississippi,1.0,2017-08-24 00:00:00,28109,28954
28119,Quitman,Mississippi,1.0,2017-08-24 00:00:00,28119,1880
28121,Rankin,Mississippi,39.0,2017-08-24 00:00:00,28121,84285
28145,Union,Mississippi,62.0,2017-08-24 00:00:00,28145,7351
28147,Walthall,Mississippi,78.0,2017-08-24 00:00:00,28147,6910
48005,Angelina,Texas,36.0,2017-08-24 00:00:00,48005,47178
48015,Austin,Texas,9.0,2017-08-24 00:00:00,48015,9780
48029,Bexar,Texas,89.0,2017-08-24 00:00:00,48029,1024586
48037,Bowie,Texas,4.0,2017-08-24 00:00:00,48037,116979
48053,Burnet,Texas,1.0,2017-08-24 00:00:00,48053,13537
48067,Cass,Texas,86.0,2017-08-24 00:00:00,48067,15244
48107,Crosby,Texas,1.0,2017-08-24 00:00:00,48107,2609
48141,El Paso,Texas,12.0,2017-08-24 00:00:00,48141,349484
48169,Garza,Texas,1.0,2017-08-24 00:00:00,48169,2693
48179,Gray,Texas,4.0,2017-08-24 00:00:00,48179,7103
48183,Gregg,Texas,8.0,2017-08-24 00:00:00,48183,64306
48199,Hardin,Texas,40.0,2017-08-24 00:00:00,48199,12194
48213,Henderson,Texas,1.0,2017-08-24 00:00:00,48213,55808
48229,Hudspeth,Texas,1.0,2017-08-24 00:00:00,48229,1141
48257,Kaufman,Texas,41.0,2017-08-24 00:00:00,48257,74765
48303,Lubbock,Texas,2.0,2017-08-24 00:00:00,48303,222871
48325,Medina,Texas,1.0,2017-08-24 00:00:00,48325,15806
48339,Montgomery,Texas,4.0,2017-08-24 00:00:00,48339,230040
48343,Morris,Texas,73.0,2017-08-24 00:00:00,48343,6447
48407,San Jacinto,Texas,5.0,2017-08-24 00:00:00,48407,5355
48449,Titus,Texas,139.0,2017-08-24 00:00:00,48449,16993
48453,Travis,Texas,8.0,2017-08-24 00:00:00,48453,641926
48457,Tyler,Texas,10.0,2017-08-24 00:00:00,48457,4478
48459,Upshur,Texas,189.0,2017-08-24 00:00:00,48459,18224
48491,Williamson,Texas,30.0,2017-08-24 00:00:00,48491,299583
5007,Benton,Arkansas,1.0,2017-08-24 00:15:00,5007,123593
5011,Bradley,Arkansas,1.0,2017-08-24 00:15:00,5011,5463
5015,Carroll,Arkansas,8.0,2017-08-24 00:15:00,5015,17602
5035,Crittenden,Arkansas,2.0,2017-08-24 00:15:00,5035,25574
5051,Garland,Arkansas,2.0,2017-08-24 00:15:00,5051,49734
5119,Pulaski,Arkansas,3.0,2017-08-24 00:15:00,5119,247287
5131,Sebastian,Arkansas,4.0,2017-08-24 00:15:00,5131,77727
22003,Allen,Louisiana,2.0,2017-08-24 00:15:00,22003,18160
22005,Ascension,Louisiana,1543.0,2017-08-24 00:15:00,22005,51706
22009,Avoyelles,Louisiana,2.0,2017-08-24 00:15:00,22009,23447
22013,Bienville,Louisiana,8.0,2017-08-24 00:15:00,22013,5075
22015,Bossier,Louisiana,10.0,2017-08-24 00:15:00,22015,94184
22017,Caddo,Louisiana,273.0,2017-08-24 00:15:00,22017,145518
22019,Calcasieu,Louisiana,299.0,2017-08-24 00:15:00,22019,49912
22031,De Soto,Louisiana,4.0,2017-08-24 00:15:00,22031,23052
22033,East Baton Rouge,Louisiana,14.0,2017-08-24 00:15:00,22033,214590
22037,East Feliciana,Louisiana,1.0,2017-08-24 00:15:00,22037,7347
22039,Evangeline,Louisiana,1.0,2017-08-24 00:15:00,22039,22432
22041,Franklin,Louisiana,44.0,2017-08-24 00:15:00,22041,8528
22043,Grant,Louisiana,5.0,2017-08-24 00:15:00,22043,14064
22045,Iberia,Louisiana,5.0,2017-08-24 00:15:00,22045,56791
22049,Jackson,Louisiana,3.0,2017-08-24 00:15:00,22049,4755
