fips_code,county,state,sum,run_start_time,FIPS,total22_customers
12001,Alachua,Florida,14,2023-08-28 00:00:00,12001.0,218548.0
12009,Brevard,Florida,24,2023-08-28 00:00:00,12009.0,338129.0
12011,Broward,Florida,56,2023-08-28 00:00:00,12011.0,1298256.0
12021,Collier,Florida,22,2023-08-28 00:00:00,12021.0,288895.0
12023,Columbia,Florida,1,2023-08-28 00:00:00,12023.0,38562.0
12033,Escambia,Florida,44,2023-08-28 00:00:00,12033.0,180891.0
12037,Franklin,Florida,1,2023-08-28 00:00:00,12037.0,4460.0
12053,Hernando,Florida,1,2023-08-28 00:00:00,12053.0,108453.0
12057,Hillsborough,Florida,56,2023-08-28 00:00:00,12057.0,998906.0
12069,Lake,Florida,1,2023-08-28 00:00:00,12069.0,199372.0
12071,Lee,Florida,418,2023-08-28 00:00:00,12071.0,628635.0
12077,Liberty,Florida,2,2023-08-28 00:00:00,12077.0,4459.0
12083,Marion,Florida,1,2023-08-28 00:00:00,12083.0,217647.0
12085,Martin,Florida,37,2023-08-28 00:00:00,12085.0,111120.0
12086,Miami-Dade,Florida,132,2023-08-28 00:00:00,12086.0,951391.0
12095,Orange,Florida,1011,2023-08-28 00:00:00,12095.0,402618.0
12099,Palm Beach,Florida,94,2023-08-28 00:00:00,12099.0,539728.0
12103,Pinellas,Florida,44,2023-08-28 00:00:00,12103.0,361147.0
12105,Polk,Florida,305,2023-08-28 00:00:00,12105.0,313954.0
12113,Santa Rosa,Florida,93,2023-08-28 00:00:00,12113.0,96907.0
12115,Sarasota,Florida,72,2023-08-28 00:00:00,12115.0,310646.0
12117,Seminole,Florida,1,2023-08-28 00:00:00,12117.0,201776.0
12109,St. Johns,Florida,6,2023-08-28 00:00:00,12109.0,116593.0
12119,Sumter,Florida,36,2023-08-28 00:00:00,12119.0,102391.0
12127,Volusia,Florida,1,2023-08-28 00:00:00,12127.0,198922.0
12131,Walton,Florida,126,2023-08-28 00:00:00,12131.0,71399.0
12133,Washington,Florida,5,2023-08-28 00:00:00,12133.0,17062.0
13015,Bartow,Georgia,4,2023-08-28 00:00:00,13015.0,32190.0
13021,Bibb,Georgia,14,2023-08-28 00:00:00,13021.0,81732.0
13033,Burke,Georgia,20,2023-08-28 00:00:00,13033.0,16403.0
13035,Butts,Georgia,11,2023-08-28 00:00:00,13035.0,14787.0
13051,Chatham,Georgia,62,2023-08-28 00:00:00,13051.0,143708.0
13057,Cherokee,Georgia,51,2023-08-28 00:00:00,13057.0,178437.0
13059,Clarke,Georgia,4,2023-08-28 00:00:00,13059.0,78630.0
13063,Clayton,Georgia,10,2023-08-28 00:00:00,13063.0,140866.0
13067,Cobb,Georgia,174,2023-08-28 00:00:00,13067.0,322249.0
13069,Coffee,Georgia,1,2023-08-28 00:00:00,13069.0,27859.0
13073,Columbia,Georgia,4,2023-08-28 00:00:00,13073.0,66977.0
13077,Coweta,Georgia,1257,2023-08-28 00:00:00,13077.0,62382.0
13079,Crawford,Georgia,1,2023-08-28 00:00:00,13079.0,7075.0
13087,Decatur,Georgia,4,2023-08-28 00:00:00,13087.0,15925.0
13089,DeKalb,Georgia,547,2023-08-28 00:00:00,13089.0,182341.0
13097,Douglas,Georgia,263,2023-08-28 00:00:00,13097.0,97948.0
13111,Fannin,Georgia,40,2023-08-28 00:00:00,13111.0,22160.0
13117,Forsyth,Georgia,2,2023-08-28 00:00:00,13117.0,134644.0
13119,Franklin,Georgia,31,2023-08-28 00:00:00,13119.0,18696.0
13121,Fulton,Georgia,267,2023-08-28 00:00:00,13121.0,383737.0
13123,Gilmer,Georgia,1,2023-08-28 00:00:00,13123.0,17004.0
13131,Grady,Georgia,16,2023-08-28 00:00:00,13131.0,15452.0
13135,Gwinnett,Georgia,52,2023-08-28 00:00:00,13135.0,224403.0
13147,Hart,Georgia,4,2023-08-28 00:00:00,13147.0,18626.0
13151,Henry,Georgia,22,2023-08-28 00:00:00,13151.0,137362.0
13159,Jasper,Georgia,22,2023-08-28 00:00:00,13159.0,9408.0
13163,Jefferson,Georgia,4,2023-08-28 00:00:00,13163.0,8747.0
13167,Johnson,Georgia,3,2023-08-28 00:00:00,13167.0,4550.0
13169,Jones,Georgia,6,2023-08-28 00:00:00,13169.0,11169.0
13175,Laurens,Georgia,64,2023-08-28 00:00:00,13175.0,24434.0
13181,Lincoln,Georgia,4,2023-08-28 00:00:00,13181.0,4071.0
13185,Lowndes,Georgia,4,2023-08-28 00:00:00,13185.0,70771.0
13193,Macon,Georgia,6,2023-08-28 00:00:00,13193.0,5404.0
13195,Madison,Georgia,4,2023-08-28 00:00:00,13195.0,20879.0
13207,Monroe,Georgia,38,2023-08-28 00:00:00,13207.0,18899.0
13211,Morgan,Georgia,408,2023-08-28 00:00:00,13211.0,16571.0
13215,Muscogee,Georgia,2617,2023-08-28 00:00:00,13215.0,88804.0
13217,Newton,Georgia,3,2023-08-28 00:00:00,13217.0,49305.0
13219,Oconee,Georgia,2,2023-08-28 00:00:00,13219.0,36796.0
13221,Oglethorpe,Georgia,56,2023-08-28 00:00:00,13221.0,8000.0
13223,Paulding,Georgia,9,2023-08-28 00:00:00,13223.0,111785.0
13235,Pulaski,Georgia,4,2023-08-28 00:00:00,13235.0,5122.0
