fips_code,county,state,customers_out,run_start_time,FIPS,total22_customers
1043,Cullman,Alabama,5.0,2017-09-08 00:00:00,1043.0,59296.0
1109,Pike,Alabama,3.0,2017-09-08 00:00:00,1109.0,27989.0
1115,St. Clair,Alabama,3.0,2017-09-08 00:00:00,1115.0,41320.0
12001,Alachua,Florida,15.0,2017-09-08 00:00:00,12001.0,218548.0
12003,Baker,Florida,14.0,2017-09-08 00:00:00,12003.0,15917.0
12009,Brevard,Florida,1.0,2017-09-08 00:00:00,12009.0,338129.0
12011,Broward,Florida,161.0,2017-09-08 00:00:00,12011.0,1298256.0
12015,Charlotte,Florida,251.0,2017-09-08 00:00:00,12015.0,129889.0
12021,Collier,Florida,13.0,2017-09-08 00:00:00,12021.0,288895.0
12029,Dixie,Florida,1.0,2017-09-08 00:00:00,12029.0,14193.0
12031,Duval,Florida,4.0,2017-09-08 00:00:00,12031.0,483034.0
12033,Escambia,Florida,3.0,2017-09-08 00:00:00,12033.0,180891.0
12037,Franklin,Florida,1.0,2017-09-08 00:00:00,12037.0,4460.0
12045,Gulf,Florida,1.0,2017-09-08 00:00:00,12045.0,9722.0
12047,Hamilton,Florida,1.0,2017-09-08 00:00:00,12047.0,8888.0
12055,Highlands,Florida,10.0,2017-09-08 00:00:00,12055.0,39050.0
12057,Hillsborough,Florida,170.0,2017-09-08 00:00:00,12057.0,998906.0
12061,Indian River,Florida,2.0,2017-09-08 00:00:00,12061.0,62070.0
12069,Lake,Florida,1.0,2017-09-08 00:00:00,12069.0,199372.0
12071,Lee,Florida,370.0,2017-09-08 00:00:00,12071.0,628635.0
12073,Leon,Florida,1.0,2017-09-08 00:00:00,12073.0,196858.0
12079,Madison,Florida,1.0,2017-09-08 00:00:00,12079.0,9415.0
12081,Manatee,Florida,83.0,2017-09-08 00:00:00,12081.0,266408.0
12086,Miami-Dade,Florida,118.0,2017-09-08 00:00:00,12086.0,951391.0
12095,Orange,Florida,4.0,2017-09-08 00:00:00,12095.0,402618.0
12097,Osceola,Florida,19.0,2017-09-08 00:00:00,12097.0,179849.0
12099,Palm Beach,Florida,79.0,2017-09-08 00:00:00,12099.0,539728.0
12101,Pasco,Florida,5.0,2017-09-08 00:00:00,12101.0,279260.0
12103,Pinellas,Florida,24.0,2017-09-08 00:00:00,12103.0,361147.0
12105,Polk,Florida,5.0,2017-09-08 00:00:00,12105.0,313954.0
12107,Putnam,Florida,1.0,2017-09-08 00:00:00,12107.0,51839.0
12109,St. Johns,Florida,9.0,2017-09-08 00:00:00,12109.0,116593.0
12111,St. Lucie,Florida,1.0,2017-09-08 00:00:00,12111.0,222165.0
12115,Sarasota,Florida,59.0,2017-09-08 00:00:00,12115.0,310646.0
12117,Seminole,Florida,1.0,2017-09-08 00:00:00,12117.0,201776.0
12125,Union,Florida,1.0,2017-09-08 00:00:00,12125.0,11357.0
12127,Volusia,Florida,188.0,2017-09-08 00:00:00,12127.0,198922.0
13015,Bartow,Georgia,1.0,2017-09-08 00:00:00,13015.0,32190.0
13019,Berrien,Georgia,2.0,2017-09-08 00:00:00,13019.0,8532.0
13045,Carroll,Georgia,2.0,2017-09-08 00:00:00,13045.0,70666.0
13067,Cobb,Georgia,10.0,2017-09-08 00:00:00,13067.0,322249.0
13073,Columbia,Georgia,2.0,2017-09-08 00:00:00,13073.0,66977.0
13089,DeKalb,Georgia,2.0,2017-09-08 00:00:00,13089.0,182341.0
13121,Fulton,Georgia,1.0,2017-09-08 00:00:00,13121.0,383737.0
13131,Grady,Georgia,11.0,2017-09-08 00:00:00,13131.0,15452.0
13135,Gwinnett,Georgia,1.0,2017-09-08 00:00:00,13135.0,224403.0
13139,Hall,Georgia,9.0,2017-09-08 00:00:00,13139.0,97219.0
13189,McDuffie,Georgia,2.0,2017-09-08 00:00:00,13189.0,10984.0
13245,Richmond,Georgia,7.0,2017-09-08 00:00:00,13245.0,117219.0
13287,Turner,Georgia,1.0,2017-09-08 00:00:00,13287.0,4828.0
13299,Ware,Georgia,4.0,2017-09-08 00:00:00,13299.0,21266.0
13313,Whitfield,Georgia,2.0,2017-09-08 00:00:00,13313.0,71130.0
37001,Alamance,North Carolina,1.0,2017-09-08 00:00:00,37001.0,925.0
37021,Buncombe,North Carolina,2.0,2017-09-08 00:00:00,37021.0,32499.0
37035,Catawba,North Carolina,23.0,2017-09-08 00:00:00,37035.0,8165.0
37053,Currituck,North Carolina,2.0,2017-09-08 00:00:00,37053.0,17795.0
37059,Davie,North Carolina,1.0,2017-09-08 00:00:00,37059.0,8950.0
37063,Durham,North Carolina,20.0,2017-09-08 00:00:00,37063.0,6008.0
37067,Forsyth,North Carolina,1.0,2017-09-08 00:00:00,37067.0,27915.0
37071,Gaston,North Carolina,1.0,2017-09-08 00:00:00,37071.0,47215.0
37081,Guilford,North Carolina,1.0,2017-09-08 00:00:00,37081.0,41756.0
37085,Harnett,North Carolina,364.0,2017-09-08 00:00:00,37085.0,22060.0
37087,Haywood,North Carolina,1.0,2017-09-08 00:00:00,,
37089,Henderson,North Carolina,2.0,2017-09-08 00:00:00,37089.0,24.0
37105,Lee,North Carolina,907.0,2017-09-08 00:00:00,37105.0,13067.0
37119,Mecklenburg,North Carolina,4.0,2017-09-08 00:00:00,37119.0,28172.0
