FID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,CountyName,StateName,STATE ABR,Geographic Area,POPESTIMATE2022,Goats per 1000,Sheep per 1000,Hogs per 1000,Poultry per 1000,Cattle per 1000,FIPS_Code,At risk percentage,CountyFIPS,CASTHMA_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,County Code_x,Diabetes death,County Code_y,Heart D death,County Code,Asthma death,Nurs Hom,Under 5 yrs,Over 65 yrs,Amblry diffclty,Child under 6 yrs,Child under 18yrs,Disability,Educ job,No diploma,Lmtd Englsh,Female 18yrs,Health job,HH size,Lvng alone,Median age ,Median income,Natural rescs,No vhcl,Povrty lvl,Production job,Service job,2unit or more
7,48,327,1383949,48327,Menard,Menard County,Menard,Texas,TX,"Menard County, Texas",1968,49.8,26.42,0.51,6.61,80.79,48327,6.26,48327,9.2,11.3,18.1,48327,0,48327,508.1,48327,0,1.48,3.9,35.5,19.1,18.1,24.1,29,6.2,13.2,28.5,84.7,4.6,2.12,24.2,59.4,40945,12.7,4.1,22.5,19.6,16.3,10.8
9,21,53,516873,21053,Clinton,Clinton County,Clinton,Kentucky,KY,"Clinton County, Kentucky",9123,1.86,0.77,0.22,4.06,26.86,21053,11.71,21053,12.1,10.5,16.4,21053,0,21053,383.6,21053,0,0.49,5.6,20,14,16.9,24.8,24.5,5.4,9.9,73.9,79.1,5.7,2.49,14.7,42.4,41180,12.5,6.1,20.3,19.4,20,5.8
10,39,63,1074044,39063,Hancock,Hancock County,Hancock,Ohio,OH,"Hancock County, Ohio",74861,0.48,0.48,0.47,0.77,1.6,39063,5.23,39063,10.3,8,12.8,39063,32.1,39063,208.4,39063,0,0.87,6.1,17.9,6,26.2,17.4,12.8,5.4,5,33.3,78.3,5.6,2.33,13.3,39.4,67006,7.3,4.9,10.5,22.6,17,19.4
11,48,189,1383880,48189,Hale,Hale County,Hale,Texas,TX,"Hale County, Texas",31827,0.72,1.23,0.88,0.5,4.21,48189,8.12,48189,9.9,7.7,16.1,48189,0,48189,251.4,48189,0,0.4,6.2,13.9,6.6,17.5,25.2,12.3,6.4,11.4,27.4,72,4.1,2.74,12.1,33.4,50721,13.1,3.7,18.5,18.5,19,13.1
12,1,27,161539,1027,Clay,Clay County,Clay,Alabama,AL,"Clay County, Alabama",14198,1.48,0.14,0.56,7.61,19.3,1027,5.68,1027,11,10.4,16.6,1027,0,1027,359.2,1027,0,1.17,5.2,20.8,14.6,14.9,25.3,19.6,4,11.6,9.5,79.5,9.6,2.54,12.2,43.9,48074,11.6,6.4,17.6,28.8,10.8,9.2
13,48,11,1383791,48011,Armstrong,Armstrong County,Armstrong,Texas,TX,"Armstrong County, Texas",1850,2.16,0,2.16,3.78,52.97,48011,9.38,48011,9.7,8.4,13.4,48011,0,48011,0,48011,0,2.22,6.1,28.7,5.9,15.1,13.5,11.7,5.7,3.2,24.8,75.4,10.4,2.56,10.1,43.9,70417,16.9,0,5.9,9.9,18.6,0
14,39,3,1074015,39003,Allen,Allen County,Allen,Ohio,OH,"Allen County, Ohio",101115,0.31,0.27,0.28,0.66,1.2,39003,7.12,39003,11.6,9.2,15.2,39003,37.6,39003,335.3,39003,0,0.95,6,18.4,8.3,19.9,19.6,16.1,4.5,6.1,24.5,77.4,6.7,2.42,15.1,39.8,58976,9,7.5,12.3,24.9,17.8,15.6
15,13,189,348794,13189,McDuffie,McDuffie County,McDuffie,Georgia,GA,"McDuffie County, Georgia",21713,1.89,0.18,0.55,2.26,5.39,13189,5.47,13189,11.2,8.2,15.6,13189,0,13189,322.4,13189,0,0.48,6.3,17.9,6.6,19.9,22.9,12.3,8.2,11.4,5.4,77.5,9.6,2.61,8.8,38.5,54752,11.6,4.8,16.1,17,15.7,10
17,5,137,69902,5137,Stone,Stone County,Stone,Arkansas,AR,"Stone County, Arkansas",12575,2.47,0.87,1.43,5.65,24.1,5137,9.62,5137,11.2,12.7,18.1,5137,0,5137,437.4,5137,0,0.55,5.1,27.3,18.2,26.1,21.8,27.9,5,9.9,0,80.6,8.1,2.59,20.2,49.5,37664,19.5,7.6,21.2,15.7,19.1,4.2
19,42,7,1214112,42007,Beaver,Beaver County,Beaver,Pennsylvania,PA,"Beaver County, Pennsylvania",165677,0.16,0.13,0.24,0.76,1.12,42007,5.38,42007,10.6,8.2,11.8,42007,23.5,42007,369.4,42007,0,0.68,4.9,22,8.4,23.3,19.7,15.8,5,3.9,29.4,81.5,6.9,2.29,15.3,44.9,67194,10.2,8.5,10.4,15.4,17.1,15.1
20,28,61,695754,28061,Jasper,Jasper County,Jasper,Mississippi,MS,"Jasper County, Mississippi",16167,1.48,0.37,0.12,5.81,13.17,28061,6.3,28061,10.5,9.6,18.3,28061,136.1,28061,334,28061,0,0.65,5.8,20.7,15.6,12.8,16.4,19.4,5.6,8.6,14.8,80,5.9,2.52,12.4,41.5,43914,12.2,9.4,17.2,27.5,17.5,3
21,29,83,758496,29083,Henry,Henry County,Henry,Missouri,MO,"Henry County, Missouri",22438,0.85,0.53,1.56,3.43,21.79,29083,7.06,29083,10.7,9.7,13.9,29083,0,29083,410,29083,0,0.88,5.8,22.2,11.6,18.9,23.8,19.7,5.6,8.1,45.5,78.9,6.9,2.36,16.6,44.2,54903,11.8,5.1,15,19.5,18.1,12.2
23,37,37,1008544,37037,Chatham,Chatham County,Chatham,North Carolina,NC,"Chatham County, North Carolina",79864,0.86,0.66,0.35,3.16,6.95,37037,3.71,37037,9.5,8.5,13.5,37037,25,37037,214.1,37037,0,0.81,4.5,24.8,6.1,19.2,20,12.9,6.6,5.9,38.9,81,8.3,2.44,16,47.6,84222,9.5,3.1,10.4,9.9,14.8,5.8
25,40,1,1101788,40001,Adair,Adair County,Adair,Oklahoma,OK,"Adair County, Oklahoma",19576,2.61,1.28,1.74,8.58,34.43,40001,7,40001,14.3,10.7,17.6,40001,81.7,40001,388.2,40001,0,0.28,7,15.6,12.9,18.3,23.5,21.1,8.8,13.4,30,74.3,3.9,2.84,13.8,38.1,44955,14.7,10.1,22.3,22.9,18,9.1
26,39,85,1074055,39085,Lake,Lake County,Lake,Ohio,OH,"Lake County, Ohio",231842,0.06,0.07,0.04,0.29,0.11,39085,4.54,39085,10.9,8.7,13.7,39085,32.8,39085,292,39085,0,0.65,4.7,20.7,6.8,23.1,16.6,13.5,5.1,4.7,37.9,81.3,6.8,2.31,14.6,43.9,76835,7,4.4,7.6,16.8,15,18.8
27,51,775,1789074,51775,Salem,Salem city,Salem,Virginia,VA,"Salem city, Virginia",25523,0,0,0,0,0,51775,5.09,51775,10,6.4,11.6,51775,58.8,51775,344.8,51775,0,1.65,4,19.3,5.7,21.5,24.1,11.4,7.9,4,25,82.7,8.1,2.26,14.1,40.8,68402,6.9,5.8,9.6,13.4,17.2,21.9
28,51,121,1674630,51121,Montgomery,Montgomery County,Montgomery,Virginia,VA,"Montgomery County, Virginia",98915,0.51,0.35,0.16,1.03,2.85,51121,6.8,51121,10.4,5.6,9.8,51121,19.2,51121,159.7,51121,0,0.4,3.8,13.2,5.1,23.5,16.7,10.3,15.3,3.5,22.3,84.5,5,2.47,9.8,29.7,65270,6,5.5,24.9,9.1,17.1,28.9
29,47,65,1639749,47065,Hamilton,Hamilton County,Hamilton,Tennessee,TN,"Hamilton County, Tennessee",374682,0.12,0.03,0.05,0.31,0.57,47065,5.3,47065,11,7.1,13.3,47065,34.7,47065,249.8,47065,0,0.74,5.7,18.1,8.6,25,18.7,14.7,5.5,5.7,44.4,80.3,7.8,2.39,12.4,39.7,69069,6.9,5.9,12.3,14.4,15.8,23.4
32,1,91,161572,1091,Marengo,Marengo County,Marengo,Alabama,AL,"Marengo County, Alabama",18745,1.01,0.43,0.16,1.97,12.48,1091,4.46,1091,11.3,9.9,19.1,1091,0,1091,229.4,1091,0,0.81,6.4,19.9,14.9,15.8,21.5,22.6,7.4,7.8,38,79.3,6.4,2.56,15.6,41.7,42975,11.4,8.6,21.5,20.4,18.7,13.8
34,29,11,758460,29011,Barton,Barton County,Barton,Missouri,MO,"Barton County, Missouri",11694,1.88,2.22,2.48,6.07,39.85,29011,8.24,29011,11.4,10.4,15,29011,0,29011,325,29011,0,0,5.9,20.6,12.4,24.4,12.5,21.3,6,9.7,16.5,77.7,4.3,2.58,15,40.7,48105,15,7.8,22.2,13.3,17.2,8.9
35,48,57,1383814,48057,Calhoun,Calhoun County,Calhoun,Texas,TX,"Calhoun County, Texas",19706,1.17,0.81,0.61,2.33,7.31,48057,4.07,48057,8.9,7.9,15.2,48057,0,48057,279.1,48057,0,0.7,6.2,18.4,11.9,21.8,17.9,18.8,7.6,8.1,34.8,76.3,5.4,2.46,12.7,38.4,62267,18.6,4.1,9.2,17.3,15,11.4
36,51,735,1498436,51735,Poquoson city,Poquoson city,Poquoson city,Virginia,VA,"Poquoson city, Virginia",12582,0,0,0,0,0,51735,4.47,51735,9.4,6.7,11.2,51735,0,51735,262.3,51735,0,0.72,4.6,19.7,6.1,15.8,16.9,12.9,6.5,2.4,32.6,77.8,8.5,2.67,8.8,42.4,114503,6.8,1.7,4.5,10.4,12.2,6.8
37,54,75,1550044,54075,Pocahontas,Pocahontas County,Pocahontas,West Virginia,WV,"Pocahontas County, West Virginia",7819,2.43,4.22,1.41,11.38,25.45,54075,9.31,54075,11.9,12.4,19.5,54075,0,54075,358.1,54075,0,0.83,4.4,26.4,16.6,31.5,7.6,24,4.4,13.5,0,80.8,5.3,2.57,22,49.4,41680,12.3,7.2,20.3,19.1,21.5,3
38,48,77,1383824,48077,Clay,Clay County,Clay,Texas,TX,"Clay County, Texas",10486,4.48,3.24,1.34,8.2,63.99,48077,8.23,48077,9.6,8.7,13.8,48077,0,48077,286.1,48077,0,0.55,4.5,22.3,11.3,14.7,20.4,20.5,8.5,4.3,36.6,79.9,6.8,2.43,13.2,46.8,75227,12.8,3.3,9.1,17.9,10.1,2.7
39,51,95,1480135,51095,James City,James City County,James City,Virginia,VA,"James City County, Virginia",81199,0.04,0.06,0.02,0.26,0.16,51095,2.51,51095,9.6,8.2,13.5,51095,20.9,51095,242.6,51095,0,0.71,4.9,26.1,6.7,13.8,15,13.1,9.3,2.8,31.1,81.4,8,2.53,13.3,47.1,100711,6.3,4.2,7.3,8.1,15.6,15.2
42,22,19,558468,22019,Calcasieu,Calcasieu Parish,Calcasieu,Louisiana,LA,"Calcasieu Parish, Louisiana",202418,0.35,0.31,0.12,0.63,2.41,22019,4.43,22019,10.6,7.5,15.2,22019,10.9,22019,314.7,22019,0,0.38,6.9,15.3,7.4,20.8,21.1,14.1,7.1,8.1,25.1,76,7.4,2.7,10.9,36.7,64370,13.8,6.2,17.1,12.5,19.8,13.5
43,22,111,559528,22111,Union,Union Parish,Union,Louisiana,LA,"Union Parish, Louisiana",20721,2.17,0.72,0.82,5.65,11.2,22111,6.21,22111,10.9,9.8,17.2,22111,91.7,22111,260.6,22111,0,1.24,5.7,21.4,10.5,23.7,27.2,15.9,2.7,10.6,51.3,79.6,8,2.51,14.6,42.5,47068,17,6.4,26.8,16,12.1,6.1
44,40,135,1101855,40135,Sequoyah,Sequoyah County,Sequoyah,Oklahoma,OK,"Sequoyah County, Oklahoma",39667,2.37,0.68,1.18,4.66,16.99,40135,8.19,40135,13.4,10.9,16.8,40135,58,40135,489.1,40135,0,0.67,6.2,18.4,14.5,20.5,18.5,23.6,6.7,11.5,25.3,77.3,5.3,2.62,14.4,40.8,47494,11.7,4.7,19.5,17.1,20.1,6.5
