STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
22,22019,Calcasieu,Calcasieu Parish,22019,64.0,AL262020,al,26.0,000,2020100418,2020101118
22,22053,Jefferson Davis,Jefferson Davis Parish,22053,64.0,AL262020,al,26.0,000,2020100418,2020101118
22,22113,Vermilion,Vermilion Parish,22113,64.0,AL262020,al,26.0,000,2020100418,2020101118
22,22039,Evangeline,Evangeline Parish,22039,64.0,AL262020,al,26.0,000,2020100418,2020101118
22,22097,St. Landry,St. Landry Parish,22097,64.0,AL262020,al,26.0,000,2020100418,2020101118
22,22079,Rapides,Rapides Parish,22079,64.0,AL262020,al,26.0,000,2020100418,2020101118
22,22023,Cameron,Cameron Parish,22023,64.0,AL262020,al,26.0,000,2020100418,2020101118
22,22003,Allen,Allen Parish,22003,64.0,AL262020,al,26.0,000,2020100418,2020101118
22,22001,Acadia,Acadia Parish,22001,64.0,AL262020,al,26.0,000,2020100418,2020101118
22,22019,Calcasieu,Calcasieu Parish,22019,50.0,AL262020,al,26.0,000,2020100418,2020101118
48,48361,Orange,Orange County,48361,50.0,AL262020,al,26.0,000,2020100418,2020101118
22,22107,Tensas,Tensas Parish,22107,50.0,AL262020,al,26.0,000,2020100418,2020101118
48,48245,Jefferson,Jefferson County,48245,50.0,AL262020,al,26.0,000,2020100418,2020101118
22,22053,Jefferson Davis,Jefferson Davis Parish,22053,50.0,AL262020,al,26.0,000,2020100418,2020101118
22,22055,Lafayette,Lafayette Parish,22055,50.0,AL262020,al,26.0,000,2020100418,2020101118
22,22113,Vermilion,Vermilion Parish,22113,50.0,AL262020,al,26.0,000,2020100418,2020101118
22,22099,St. Martin,St. Martin Parish,22099,50.0,AL262020,al,26.0,000,2020100418,2020101118
22,22039,Evangeline,Evangeline Parish,22039,50.0,AL262020,al,26.0,000,2020100418,2020101118
22,22097,St. Landry,St. Landry Parish,22097,50.0,AL262020,al,26.0,000,2020100418,2020101118
22,22077,Pointe Coupee,Pointe Coupee Parish,22077,50.0,AL262020,al,26.0,000,2020100418,2020101118
22,22059,LaSalle,LaSalle Parish,22059,50.0,AL262020,al,26.0,000,2020100418,2020101118
22,22079,Rapides,Rapides Parish,22079,50.0,AL262020,al,26.0,000,2020100418,2020101118
22,22009,Avoyelles,Avoyelles Parish,22009,50.0,AL262020,al,26.0,000,2020100418,2020101118
