STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
37,37037,Chatham,Chatham County,37037,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45023,Chester,Chester County,45023,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37069,Franklin,Franklin County,37069,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37155,Robeson,Robeson County,37155,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45081,Saluda,Saluda County,45081,34.0,AL062018,al,6.0,000,2018083006,2018091812
13,13251,Screven,Screven County,13251,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45089,Williamsburg,Williamsburg County,45089,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37131,Northampton,Northampton County,37131,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37013,Beaufort,Beaufort County,37013,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37051,Cumberland,Cumberland County,37051,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37153,Richmond,Richmond County,37153,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37093,Hoke,Hoke County,37093,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45035,Dorchester,Dorchester County,45035,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45015,Berkeley,Berkeley County,45015,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37029,Camden,Camden County,37029,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45047,Greenwood,Greenwood County,45047,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45069,Marlboro,Marlboro County,45069,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45009,Bamberg,Bamberg County,45009,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37139,Pasquotank,Pasquotank County,37139,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45031,Darlington,Darlington County,45031,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37083,Halifax,Halifax County,37083,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37163,Sampson,Sampson County,37163,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45003,Aiken,Aiken County,45003,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45063,Lexington,Lexington County,45063,34.0,AL062018,al,6.0,000,2018083006,2018091812
37,37125,Moore,Moore County,37125,34.0,AL062018,al,6.0,000,2018083006,2018091812
13,13033,Burke,Burke County,13033,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45013,Beaufort,Beaufort County,45013,34.0,AL062018,al,6.0,000,2018083006,2018091812
45,45055,Kershaw,Kershaw County,45055,34.0,AL062018,al,6.0,000,2018083006,2018091812
