STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
37,37037,Chatham,Chatham County,37037,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13025,Brantley,Brantley County,13025,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12053,Hernando,Hernando County,12053,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12129,Wakulla,Wakulla County,12129,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12127,Volusia,Volusia County,12127,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13049,Charlton,Charlton County,13049,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37069,Franklin,Franklin County,37069,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12051,Hendry,Hendry County,12051,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37155,Robeson,Robeson County,37155,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37063,Durham,Durham County,37063,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12011,Broward,Broward County,12011,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13279,Toombs,Toombs County,13279,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12099,Palm Beach,Palm Beach County,12099,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12041,Gilchrist,Gilchrist County,12041,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12086,Miami-Dade,Miami-Dade County,12086,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13251,Screven,Screven County,13251,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12017,Citrus,Citrus County,12017,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45089,Williamsburg,Williamsburg County,45089,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13183,Long,Long County,13183,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37131,Northampton,Northampton County,37131,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37013,Beaufort,Beaufort County,37013,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37051,Cumberland,Cumberland County,37051,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37153,Richmond,Richmond County,37153,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37093,Hoke,Hoke County,37093,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45035,Dorchester,Dorchester County,45035,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12109,St. Johns,St. Johns County,12109,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45069,Marlboro,Marlboro County,45069,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37031,Carteret,Carteret County,37031,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45009,Bamberg,Bamberg County,45009,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13019,Berrien,Berrien County,13019,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45031,Darlington,Darlington County,45031,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12069,Lake,Lake County,12069,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37083,Halifax,Halifax County,37083,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37163,Sampson,Sampson County,37163,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12103,Pinellas,Pinellas County,12103,34.0,AL092022,al,9.0,000,2022092218,2022100106
13,13043,Candler,Candler County,13043,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45003,Aiken,Aiken County,45003,34.0,AL092022,al,9.0,000,2022092218,2022100106
12,12037,Franklin,Franklin County,12037,34.0,AL092022,al,9.0,000,2022092218,2022100106
