STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
72,72085,Las Piedras,Las Piedras Municipio,72085,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22111,Union,Union Parish,22111,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48361,Orange,Orange County,48361,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72115,Quebradillas,Quebradillas Municipio,72115,34.0,AL132020,al,13.0,000,2020082000,2020082906
78,78030,St. Thomas,St. Thomas Island,78030,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22021,Caldwell,Caldwell Parish,22021,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22107,Tensas,Tensas Parish,22107,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05085,Lonoke,Lonoke County,5085,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48245,Jefferson,Jefferson County,48245,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05019,Clark,Clark County,5019,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72105,Naranjito,Naranjito Municipio,72105,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72053,Fajardo,Fajardo Municipio,72053,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72151,Yabucoa,Yabucoa Municipio,72151,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72067,Hormigueros,Hormigueros Municipio,72067,34.0,AL132020,al,13.0,000,2020082000,2020082906
28,28151,Washington,Washington County,28151,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48005,Angelina,Angelina County,48005,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05001,Arkansas,Arkansas County,5001,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72127,San Juan,San Juan Municipio,72127,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72049,Culebra,Culebra Municipio,72049,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72051,Dorado,Dorado Municipio,72051,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72121,Sabana Grande,Sabana Grande Municipio,72121,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72039,Ciales,Ciales Municipio,72039,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22049,Jackson,Jackson Parish,22049,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72133,Santa Isabel,Santa Isabel Municipio,72133,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22043,Grant,Grant Parish,22043,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72139,Trujillo Alto,Trujillo Alto Municipio,72139,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72073,Jayuya,Jayuya Municipio,72073,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72097,Mayagüez,Mayagüez Municipio,72097,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05141,Van Buren,Van Buren County,5141,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72029,Canóvanas,Canóvanas Municipio,72029,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72123,Salinas,Salinas Municipio,72123,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72103,Naguabo,Naguabo Municipio,72103,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05051,Garland,Garland County,5051,34.0,AL132020,al,13.0,000,2020082000,2020082906
48,48403,Sabine,Sabine County,48403,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05069,Jefferson,Jefferson County,5069,34.0,AL132020,al,13.0,000,2020082000,2020082906
05,05079,Lincoln,Lincoln County,5079,34.0,AL132020,al,13.0,000,2020082000,2020082906
28,28011,Bolivar,Bolivar County,28011,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22055,Lafayette,Lafayette Parish,22055,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22113,Vermilion,Vermilion Parish,22113,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22035,East Carroll,East Carroll Parish,22035,34.0,AL132020,al,13.0,000,2020082000,2020082906
22,22037,East Feliciana,East Feliciana Parish,22037,34.0,AL132020,al,13.0,000,2020082000,2020082906
72,72003,Aguada,Aguada Municipio,72003,34.0,AL132020,al,13.0,000,2020082000,2020082906
