STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
48,48057,Calhoun,Calhoun County,48057,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48005,Angelina,Angelina County,48005,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48157,Fort Bend,Fort Bend County,48157,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48477,Washington,Washington County,48477,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48225,Houston,Houston County,48225,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48407,San Jacinto,San Jacinto County,48407,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48481,Wharton,Wharton County,48481,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48473,Waller,Waller County,48473,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48471,Walker,Walker County,48471,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48167,Galveston,Galveston County,48167,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48201,Harris,Harris County,48201,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48239,Jackson,Jackson County,48239,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48089,Colorado,Colorado County,48089,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48185,Grimes,Grimes County,48185,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48373,Polk,Polk County,48373,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48073,Cherokee,Cherokee County,48073,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48291,Liberty,Liberty County,48291,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48071,Chambers,Chambers County,48071,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48039,Brazoria,Brazoria County,48039,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48321,Matagorda,Matagorda County,48321,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48015,Austin,Austin County,48015,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48455,Trinity,Trinity County,48455,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48339,Montgomery,Montgomery County,48339,50.0,AL022024,al,2.0,000,2024062812,2024071112
48,48057,Calhoun,Calhoun County,48057,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48361,Orange,Orange County,48361,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48391,Refugio,Refugio County,48391,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48041,Brazos,Brazos County,48041,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48245,Jefferson,Jefferson County,48245,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48123,DeWitt,DeWitt County,48123,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48005,Angelina,Angelina County,48005,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48289,Leon,Leon County,48289,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48149,Fayette,Fayette County,48149,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48477,Washington,Washington County,48477,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48225,Houston,Houston County,48225,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48401,Rusk,Rusk County,48401,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48007,Aransas,Aransas County,48007,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48407,San Jacinto,San Jacinto County,48407,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48481,Wharton,Wharton County,48481,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48473,Waller,Waller County,48473,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48469,Victoria,Victoria County,48469,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48457,Tyler,Tyler County,48457,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48471,Walker,Walker County,48471,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48167,Galveston,Galveston County,48167,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48347,Nacogdoches,Nacogdoches County,48347,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48239,Jackson,Jackson County,48239,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48089,Colorado,Colorado County,48089,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48185,Grimes,Grimes County,48185,34.0,AL022024,al,2.0,000,2024062812,2024071112
22,22023,Cameron,Cameron Parish,22023,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48373,Polk,Polk County,48373,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48073,Cherokee,Cherokee County,48073,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48313,Madison,Madison County,48313,34.0,AL022024,al,2.0,000,2024062812,2024071112
48,48355,Nueces,Nueces County,48355,34.0,AL022024,al,2.0,000,2024062812,2024071112
