STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
13,13025,Brantley,Brantley County,13025,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12127,Volusia,Volusia County,12127,34.0,AL052019,al,5.0,000,2019082406,2019090900
78,78030,St. Thomas,St. Thomas Island,78030,34.0,AL052019,al,5.0,000,2019082406,2019090900
13,13049,Charlton,Charlton County,13049,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37155,Robeson,Robeson County,37155,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12095,Orange,Orange County,12095,34.0,AL052019,al,5.0,000,2019082406,2019090900
72,72053,Fajardo,Fajardo Municipio,72053,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12011,Broward,Broward County,12011,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12099,Palm Beach,Palm Beach County,12099,34.0,AL052019,al,5.0,000,2019082406,2019090900
25,25001,Barnstable,Barnstable County,25001,34.0,AL052019,al,5.0,000,2019082406,2019090900
72,72049,Culebra,Culebra Municipio,72049,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45089,Williamsburg,Williamsburg County,45089,34.0,AL052019,al,5.0,000,2019082406,2019090900
13,13183,Long,Long County,13183,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37013,Beaufort,Beaufort County,37013,34.0,AL052019,al,5.0,000,2019082406,2019090900
23,23029,Washington,Washington County,23029,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37051,Cumberland,Cumberland County,37051,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45035,Dorchester,Dorchester County,45035,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45015,Berkeley,Berkeley County,45015,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12093,Okeechobee,Okeechobee County,12093,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37029,Camden,Camden County,37029,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12109,St. Johns,St. Johns County,12109,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45069,Marlboro,Marlboro County,45069,34.0,AL052019,al,5.0,000,2019082406,2019090900
25,25019,Nantucket,Nantucket County,25019,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45009,Bamberg,Bamberg County,45009,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37139,Pasquotank,Pasquotank County,37139,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45031,Darlington,Darlington County,45031,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12069,Lake,Lake County,12069,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37083,Halifax,Halifax County,37083,34.0,AL052019,al,5.0,000,2019082406,2019090900
25,25007,Dukes,Dukes County,25007,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37163,Sampson,Sampson County,37163,34.0,AL052019,al,5.0,000,2019082406,2019090900
51,51550,Chesapeake,Chesapeake city,51550,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12117,Seminole,Seminole County,12117,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45013,Beaufort,Beaufort County,45013,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12031,Duval,Duval County,12031,34.0,AL052019,al,5.0,000,2019082406,2019090900
78,78010,St. Croix,St. Croix Island,78010,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37107,Lenoir,Lenoir County,37107,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12085,Martin,Martin County,12085,34.0,AL052019,al,5.0,000,2019082406,2019090900
13,13039,Camden,Camden County,13039,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37073,Gates,Gates County,37073,34.0,AL052019,al,5.0,000,2019082406,2019090900
72,72037,Ceiba,Ceiba Municipio,72037,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45041,Florence,Florence County,45041,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37195,Wilson,Wilson County,37195,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37061,Duplin,Duplin County,37061,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12035,Flagler,Flagler County,12035,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45085,Sumter,Sumter County,45085,34.0,AL052019,al,5.0,000,2019082406,2019090900
45,45075,Orangeburg,Orangeburg County,45075,34.0,AL052019,al,5.0,000,2019082406,2019090900
13,13305,Wayne,Wayne County,13305,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37091,Hertford,Hertford County,37091,34.0,AL052019,al,5.0,000,2019082406,2019090900
72,72147,Vieques,Vieques Municipio,72147,34.0,AL052019,al,5.0,000,2019082406,2019090900
51,51740,Portsmouth,Portsmouth city,51740,34.0,AL052019,al,5.0,000,2019082406,2019090900
12,12107,Putnam,Putnam County,12107,34.0,AL052019,al,5.0,000,2019082406,2019090900
13,13179,Liberty,Liberty County,13179,34.0,AL052019,al,5.0,000,2019082406,2019090900
37,37017,Bladen,Bladen County,37017,34.0,AL052019,al,5.0,000,2019082406,2019090900
