STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
13,13025,Brantley,Brantley County,13025,50.0,AL102023,al,10.0,000,2023082612,2023090806
12,12129,Wakulla,Wakulla County,12129,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13049,Charlton,Charlton County,13049,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13075,Cook,Cook County,13075,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13279,Toombs,Toombs County,13279,50.0,AL102023,al,10.0,000,2023082612,2023090806
12,12041,Gilchrist,Gilchrist County,12041,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13251,Screven,Screven County,13251,50.0,AL102023,al,10.0,000,2023082612,2023090806
12,12017,Citrus,Citrus County,12017,50.0,AL102023,al,10.0,000,2023082612,2023090806
45,45089,Williamsburg,Williamsburg County,45089,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13183,Long,Long County,13183,50.0,AL102023,al,10.0,000,2023082612,2023090806
45,45035,Dorchester,Dorchester County,45035,50.0,AL102023,al,10.0,000,2023082612,2023090806
45,45015,Berkeley,Berkeley County,45015,50.0,AL102023,al,10.0,000,2023082612,2023090806
45,45009,Bamberg,Bamberg County,45009,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13019,Berrien,Berrien County,13019,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13043,Candler,Candler County,13043,50.0,AL102023,al,10.0,000,2023082612,2023090806
12,12037,Franklin,Franklin County,12037,50.0,AL102023,al,10.0,000,2023082612,2023090806
45,45013,Beaufort,Beaufort County,45013,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13003,Atkinson,Atkinson County,13003,50.0,AL102023,al,10.0,000,2023082612,2023090806
12,12029,Dixie,Dixie County,12029,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13039,Camden,Camden County,13039,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13031,Bulloch,Bulloch County,13031,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13309,Wheeler,Wheeler County,13309,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13109,Evans,Evans County,13109,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13229,Pierce,Pierce County,13229,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13071,Colquitt,Colquitt County,13071,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13305,Wayne,Wayne County,13305,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13101,Echols,Echols County,13101,50.0,AL102023,al,10.0,000,2023082612,2023090806
12,12065,Jefferson,Jefferson County,12065,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13179,Liberty,Liberty County,13179,50.0,AL102023,al,10.0,000,2023082612,2023090806
12,12067,Lafayette,Lafayette County,12067,50.0,AL102023,al,10.0,000,2023082612,2023090806
12,12047,Hamilton,Hamilton County,12047,50.0,AL102023,al,10.0,000,2023082612,2023090806
12,12075,Levy,Levy County,12075,50.0,AL102023,al,10.0,000,2023082612,2023090806
45,45019,Charleston,Charleston County,45019,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13069,Coffee,Coffee County,13069,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13299,Ware,Ware County,13299,50.0,AL102023,al,10.0,000,2023082612,2023090806
37,37129,New Hanover,New Hanover County,37129,50.0,AL102023,al,10.0,000,2023082612,2023090806
13,13001,Appling,Appling County,13001,50.0,AL102023,al,10.0,000,2023082612,2023090806
45,45029,Colleton,Colleton County,45029,50.0,AL102023,al,10.0,000,2023082612,2023090806
