STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,STARTDTG,ENDDTG
72,72085,Las Piedras,Las Piedras Municipio,72085,34.0,al112017,AL,11.0,2017083006,2017091200
01,01027,Clay,Clay County,1027,34.0,al112017,AL,11.0,2017083006,2017091200
13,13189,McDuffie,McDuffie County,13189,34.0,al112017,AL,11.0,2017083006,2017091200
37,37037,Chatham,Chatham County,37037,34.0,al112017,AL,11.0,2017083006,2017091200
47,47065,Hamilton,Hamilton County,47065,34.0,al112017,AL,11.0,2017083006,2017091200
01,01091,Marengo,Marengo County,1091,34.0,al112017,AL,11.0,2017083006,2017091200
01,01049,DeKalb,DeKalb County,1049,34.0,al112017,AL,11.0,2017083006,2017091200
13,13025,Brantley,Brantley County,13025,34.0,al112017,AL,11.0,2017083006,2017091200
13,13171,Lamar,Lamar County,13171,34.0,al112017,AL,11.0,2017083006,2017091200
37,37001,Alamance,Alamance County,37001,34.0,al112017,AL,11.0,2017083006,2017091200
47,47115,Marion,Marion County,47115,34.0,al112017,AL,11.0,2017083006,2017091200
12,12053,Hernando,Hernando County,12053,34.0,al112017,AL,11.0,2017083006,2017091200
12,12129,Wakulla,Wakulla County,12129,34.0,al112017,AL,11.0,2017083006,2017091200
12,12131,Walton,Walton County,12131,34.0,al112017,AL,11.0,2017083006,2017091200
12,12127,Volusia,Volusia County,12127,34.0,al112017,AL,11.0,2017083006,2017091200
72,72115,Quebradillas,Quebradillas Municipio,72115,34.0,al112017,AL,11.0,2017083006,2017091200
78,78030,St. Thomas,St. Thomas Island,78030,34.0,al112017,AL,11.0,2017083006,2017091200
13,13115,Floyd,Floyd County,13115,34.0,al112017,AL,11.0,2017083006,2017091200
37,37057,Davidson,Davidson County,37057,34.0,al112017,AL,11.0,2017083006,2017091200
13,13273,Terrell,Terrell County,13273,34.0,al112017,AL,11.0,2017083006,2017091200
13,13063,Clayton,Clayton County,13063,34.0,al112017,AL,11.0,2017083006,2017091200
13,13073,Columbia,Columbia County,13073,34.0,al112017,AL,11.0,2017083006,2017091200
13,13193,Macon,Macon County,13193,34.0,al112017,AL,11.0,2017083006,2017091200
45,45023,Chester,Chester County,45023,34.0,al112017,AL,11.0,2017083006,2017091200
13,13049,Charlton,Charlton County,13049,34.0,al112017,AL,11.0,2017083006,2017091200
13,13233,Polk,Polk County,13233,34.0,al112017,AL,11.0,2017083006,2017091200
13,13089,DeKalb,DeKalb County,13089,34.0,al112017,AL,11.0,2017083006,2017091200
13,13227,Pickens,Pickens County,13227,34.0,al112017,AL,11.0,2017083006,2017091200
47,47123,Monroe,Monroe County,47123,34.0,al112017,AL,11.0,2017083006,2017091200
13,13119,Franklin,Franklin County,13119,34.0,al112017,AL,11.0,2017083006,2017091200
12,12051,Hendry,Hendry County,12051,34.0,al112017,AL,11.0,2017083006,2017091200
