STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
72,72085,Las Piedras,Las Piedras Municipio,72085,34.0,AL092020,al,9.0,000,2020072812,2020080506
51,51179,Stafford,Stafford County,51179,34.0,AL092020,al,9.0,000,2020072812,2020080506
25,25015,Hampshire,Hampshire County,25015,34.0,AL092020,al,9.0,000,2020072812,2020080506
25,25025,Suffolk,Suffolk County,25025,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72115,Quebradillas,Quebradillas Municipio,72115,34.0,AL092020,al,9.0,000,2020072812,2020080506
78,78030,St. Thomas,St. Thomas Island,78030,34.0,AL092020,al,9.0,000,2020072812,2020080506
50,50011,Franklin,Franklin County,50011,34.0,AL092020,al,9.0,000,2020072812,2020080506
09,09007,Middlesex,Middlesex County,9007,34.0,AL092020,al,9.0,000,2020072812,2020080506
24,24047,Worcester,Worcester County,24047,34.0,AL092020,al,9.0,000,2020072812,2020080506
23,23001,Androscoggin,Androscoggin County,23001,34.0,AL092020,al,9.0,000,2020072812,2020080506
42,42127,Wayne,Wayne County,42127,34.0,AL092020,al,9.0,000,2020072812,2020080506
36,36091,Saratoga,Saratoga County,36091,34.0,AL092020,al,9.0,000,2020072812,2020080506
37,37069,Franklin,Franklin County,37069,34.0,AL092020,al,9.0,000,2020072812,2020080506
24,24510,Baltimore,Baltimore city,24510,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72105,Naranjito,Naranjito Municipio,72105,34.0,AL092020,al,9.0,000,2020072812,2020080506
36,36111,Ulster,Ulster County,36111,34.0,AL092020,al,9.0,000,2020072812,2020080506
51,51085,Hanover,Hanover County,51085,34.0,AL092020,al,9.0,000,2020072812,2020080506
37,37155,Robeson,Robeson County,37155,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72053,Fajardo,Fajardo Municipio,72053,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72151,Yabucoa,Yabucoa Municipio,72151,34.0,AL092020,al,9.0,000,2020072812,2020080506
51,51510,Alexandria,Alexandria city,51510,34.0,AL092020,al,9.0,000,2020072812,2020080506
12,12011,Broward,Broward County,12011,34.0,AL092020,al,9.0,000,2020072812,2020080506
12,12099,Palm Beach,Palm Beach County,12099,34.0,AL092020,al,9.0,000,2020072812,2020080506
51,51097,King and Queen,King and Queen County,51097,34.0,AL092020,al,9.0,000,2020072812,2020080506
24,24015,Cecil,Cecil County,24015,34.0,AL092020,al,9.0,000,2020072812,2020080506
51,51595,Emporia,Emporia city,51595,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72127,San Juan,San Juan Municipio,72127,34.0,AL092020,al,9.0,000,2020072812,2020080506
33,33009,Grafton,Grafton County,33009,34.0,AL092020,al,9.0,000,2020072812,2020080506
50,50017,Orange,Orange County,50017,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72049,Culebra,Culebra Municipio,72049,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72051,Dorado,Dorado Municipio,72051,34.0,AL092020,al,9.0,000,2020072812,2020080506
51,51057,Essex,Essex County,51057,34.0,AL092020,al,9.0,000,2020072812,2020080506
45,45089,Williamsburg,Williamsburg County,45089,34.0,AL092020,al,9.0,000,2020072812,2020080506
36,36031,Essex,Essex County,36031,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72121,Sabana Grande,Sabana Grande Municipio,72121,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72039,Ciales,Ciales Municipio,72039,34.0,AL092020,al,9.0,000,2020072812,2020080506
36,36103,Suffolk,Suffolk County,36103,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72133,Santa Isabel,Santa Isabel Municipio,72133,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72139,Trujillo Alto,Trujillo Alto Municipio,72139,34.0,AL092020,al,9.0,000,2020072812,2020080506
37,37131,Northampton,Northampton County,37131,34.0,AL092020,al,9.0,000,2020072812,2020080506
37,37013,Beaufort,Beaufort County,37013,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72073,Jayuya,Jayuya Municipio,72073,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72097,Mayagüez,Mayagüez Municipio,72097,34.0,AL092020,al,9.0,000,2020072812,2020080506
36,36041,Hamilton,Hamilton County,36041,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72029,Canóvanas,Canóvanas Municipio,72029,34.0,AL092020,al,9.0,000,2020072812,2020080506
25,25027,Worcester,Worcester County,25027,34.0,AL092020,al,9.0,000,2020072812,2020080506
72,72123,Salinas,Salinas Municipio,72123,34.0,AL092020,al,9.0,000,2020072812,2020080506
