FIPS,MedianAge,pop65,PerCapitaIncome,PercentWithoutDiploma,UnemploymentPercentage,PercentBelowPovertyLevel,pop18,H_dia,D_disability,D_fertility,H_health,Householdswithoneormorepeopleunder18,LackingCompletePlumbingFacilities,RenterOccupied,CrowdedHouseholdPercentage,HousesBuiltBefore2000,SingleParentHousehold,H_hypertension,H_NoInsurance,H_kidney,H_mental
1001,38.5,0.15,30968,0.08,0.02,0.14,0.24,12.3,0.17,5.14,18.4,7461,716,5629,0.26,16426,3306,40.7,0.08,3.2,17.1
1003,43.4,0.21,35384,0.07,0.02,0.09,0.22,12.6,0.14,3.76,17,23375,1347,19948,0.15,71753,7950,39.2,0.1,3.4,15.7
1005,40.2,0.19,21325,0.17,0.04,0.27,0.21,18.4,0.19,7.64,29.1,2816,558,3434,0.18,10146,2235,48.8,0.1,4.4,19.3
1007,39.7,0.16,24787,0.13,0.05,0.17,0.21,14.1,0.2,12.91,23.2,2297,859,1503,0.25,7057,907,42.8,0.1,3.5,18.7
1009,41.1,0.18,27309,0.1,0.03,0.13,0.23,12.8,0.16,5.66,20.2,6986,1020,4435,0.04,18390,2843,40.3,0.1,3.5,17.6
1011,38.7,0.16,21012,0.16,0.01,0.31,0.22,21.3,0.14,1.42,32.3,1018,155,1199,0,3684,889,52.7,0.1,4.7,19.6
1013,41.2,0.21,23897,0.11,0.03,0.18,0.23,17.3,0.16,3.63,25.6,1702,1885,1803,0,9006,1109,48.1,0.11,4.3,18.2
1015,39.7,0.18,26440,0.11,0.04,0.18,0.22,14.1,0.2,4.97,22.1,13036,1935,12854,0.05,44220,7060,42.4,0.11,3.6,18.1
1017,42,0.2,24840,0.11,0.02,0.15,0.21,16.5,0.19,8.7,24.1,3902,750,4034,1.74,13342,2906,46.5,0.1,4.1,18
1019,46.7,0.23,26867,0.13,0.02,0.15,0.19,15.1,0.18,6.06,23.5,2450,632,2085,0,10930,901,45,0.1,4,17.9
1021,39.8,0.16,26426,0.12,0.03,0.16,0.24,13.7,0.2,3.47,22.1,4911,477,4341,0.08,14158,2684,41.9,0.12,3.5,18.7
1023,46.5,0.23,25163,0.13,0.03,0.22,0.2,19.3,0.23,7.56,27.3,1318,849,869,0.1,6074,750,51,0.11,4.7,18.2
1025,42.6,0.2,25263,0.12,0.06,0.22,0.22,17.6,0.2,3.53,25.9,2274,1227,2267,0.08,9880,1475,47.7,0.11,4.3,18.2
1027,43.3,0.2,26255,0.11,0.03,0.17,0.21,15.3,0.19,3.96,23.7,1420,591,1268,0.67,5846,655,44.7,0.08,4,18.1
1029,41.9,0.19,27026,0.11,0.02,0.14,0.23,13.8,0.21,3.18,21.8,1403,624,1276,0,5238,684,41.7,0.11,3.7,18.3
1031,39.1,0.17,29688,0.09,0.03,0.16,0.24,13.2,0.18,5.88,20.6,6497,920,6325,0.04,17377,3718,40.4,0.11,3.5,17.9
1033,42.1,0.2,28090,0.09,0.02,0.15,0.21,13.5,0.18,5.02,20.5,6291,2512,6317,0.04,21169,4268,42.2,0.07,3.6,17.6
1035,45.4,0.23,22841,0.09,0.02,0.13,0.21,19.4,0.22,4.05,27.5,812,1341,899,0,5939,897,50.4,0.08,4.6,17.8
1037,49.8,0.24,26718,0.12,0.02,0.11,0.16,16.4,0.24,4.95,23.2,820,784,742,0,4907,551,46.9,0.07,4.2,16.7
1039,42.9,0.21,26138,0.1,0.04,0.18,0.22,15,0.2,5.55,23,4175,1801,3615,0.15,15920,2196,42.9,0.11,3.9,18
1041,42.1,0.19,28097,0.12,0.02,0.13,0.23,15.1,0.19,4.55,23.5,1278,1015,1160,0,5529,758,44.1,0.07,3.9,18
1043,41.2,0.18,26508,0.11,0.03,0.12,0.23,12.4,0.18,4.2,19.7,10134,1498,8369,0.15,30967,4129,40.3,0.11,3.4,17.6
1045,37.9,0.17,26469,0.11,0.04,0.17,0.23,14.1,0.21,6.02,21.8,5538,995,7853,0.05,18801,3826,41.8,0.1,3.6,18.5
